sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
19, 5, horizontal, practice, NA, 999, 999, 0, 1, 143, 162, 121, 138, 164, 115, 11309.7, 60, 7853.98, 50, 6082.12, 44, 16.1251
19, 5, horizontal, practice, NA, 999, 999, 0, 2, 154, 163, 59, 114, 96, 80, 14102.6, 67, 2642.08, 29, 3216.99, 32, 16.0251
19, 5, horizontal, practice, NA, 999, 999, 0, 3, 169, 129, 171, 163, 170, 189, 2827.43, 30, 14102.6, 67, 12076.3, 62, 16.6583
19, 5, horizontal, calibration, NA, 999, 999, 1, 1, 62, 141, 178, 97, 124, 180, 1963.5, 25, 4071.5, 36, 13684.8, 66, 11.7586
19, 5, horizontal, calibration, NA, 999, 999, 1, 2, 116, 160, 96, 163, 83, 93, 12076.3, 62, 8824.73, 53, 3019.07, 31, 12.3587
19, 5, horizontal, calibration, NA, 999, 999, 1, 3, 93, 125, 121, 148, 73, 76, 24884.6, 89, 34636.1, 105, 12868, 64, 17.8585
19, 5, horizontal, attraction, a-b-db, 5, 3, 1, 1, 117, 190, 120, 195, 195, 120, 14957.1, 69, 20612, 81, 12868, 64, 11.4252
19, 5, horizontal, catch, NA, 999, 999, 1, 2, 75, 120, 130, 65, 146, 169, 12469, 63, 3848.45, 35, 24884.6, 89, 10.5252
19, 5, horizontal, attraction, a-b-da, 14, 1, 1, 3, 125, 56, 60, 135, 135, 60, 5541.77, 42, 6361.73, 45, 4778.36, 39, 10.7585
19, 5, horizontal, attraction, a-b-da, 14, 3, 1, 4, 120, 195, 195, 120, 181, 111, 16286, 72, 9503.32, 55, 10207, 57, 14.2918
19, 5, horizontal, attraction, a-b-db, 9, 3, 1, 5, 120, 195, 195, 120, 114, 186, 12469, 63, 14102.6, 67, 12076.3, 62, 10.6252
19, 5, horizontal, attraction, a-b-da, 5, 3, 1, 6, 195, 120, 190, 117, 120, 195, 14526.7, 68, 14102.6, 67, 14957.1, 69, 14.4252
19, 5, horizontal, filler, NA, 999, 999, 1, 7, 98, 116, 138, 104, 142, 194, 12469, 63, 17203.4, 74, 30790.7, 99, 9.95851
19, 5, horizontal, attraction, a-b-da, 5, 2, 1, 8, 90, 165, 161, 88, 165, 90, 9160.88, 54, 7853.98, 50, 8494.87, 52, 9.22528
19, 5, horizontal, attraction, a-b-db, 2, 1, 1, 9, 60, 135, 135, 60, 59, 134, 7853.98, 50, 9503.32, 55, 3631.68, 34, 17.8251
19, 5, horizontal, catch, NA, 999, 999, 1, 10, 125, 70, 165, 150, 94, 101, 14102.6, 67, 40828.1, 114, 9852.03, 56, 13.9918
19, 5, horizontal, filler, NA, 999, 999, 1, 11, 186, 93, 128, 168, 72, 166, 17671.5, 75, 31415.9, 100, 20612, 81, 10.2585
19, 5, horizontal, filler, NA, 999, 999, 1, 12, 160, 101, 95, 174, 163, 81, 10935.9, 59, 10935.9, 59, 15393.8, 70, 10.7252
19, 5, horizontal, attraction, a-b-db, 14, 2, 1, 13, 165, 90, 83, 153, 90, 165, 32047.4, 101, 12868, 64, 15836.8, 71, 8.59185
19, 5, horizontal, attraction, a-b-da, 9, 3, 1, 14, 120, 195, 195, 120, 186, 114, 17671.5, 75, 10207, 57, 10207, 57, 12.6919
19, 5, horizontal, filler, NA, 999, 999, 1, 15, 101, 170, 61, 154, 175, 95, 14526.7, 68, 6939.78, 47, 10568.3, 58, 14.0919
19, 5, horizontal, attraction, a-b-db, 14, 1, 1, 16, 60, 135, 56, 125, 135, 60, 12868, 64, 10935.9, 59, 4300.84, 37, 10.2918
19, 5, horizontal, attraction, a-b-db, 9, 1, 1, 17, 135, 60, 60, 135, 57, 129, 5808.8, 43, 5026.55, 40, 4071.5, 36, 9.69177
19, 5, horizontal, attraction, a-b-da, 9, 2, 1, 18, 165, 90, 157, 86, 90, 165, 4778.36, 39, 7542.96, 49, 5808.8, 43, 6.2585
19, 5, horizontal, attraction, a-b-db, 2, 3, 1, 19, 120, 195, 195, 120, 119, 193, 6082.12, 44, 10935.9, 59, 7238.23, 48, 8.72515
19, 5, horizontal, filler, NA, 999, 999, 1, 20, 113, 57, 107, 106, 62, 113, 8494.87, 52, 15836.8, 71, 5808.8, 43, 6.99181
19, 5, horizontal, attraction, a-b-db, 2, 2, 1, 21, 89, 163, 165, 90, 90, 165, 6939.78, 47, 15393.8, 70, 8824.73, 53, 7.75859
19, 5, horizontal, filler, NA, 999, 999, 1, 22, 132, 63, 163, 163, 170, 68, 7238.23, 48, 11689.9, 61, 6361.73, 45, 6.65858
19, 5, horizontal, attraction, a-b-da, 2, 2, 1, 23, 163, 89, 90, 165, 165, 90, 6361.73, 45, 12868, 64, 8824.73, 53, 6.52527
19, 5, horizontal, filler, NA, 999, 999, 1, 24, 72, 72, 187, 125, 179, 105, 5026.55, 40, 17671.5, 75, 14957.1, 69, 6.85851
19, 5, horizontal, filler, NA, 999, 999, 1, 25, 75, 71, 97, 69, 153, 112, 2642.08, 29, 2642.08, 29, 5026.55, 40, 6.55857
19, 5, horizontal, attraction, a-b-da, 14, 2, 1, 26, 165, 90, 90, 165, 153, 83, 10207, 57, 16286, 72, 10935.9, 59, 13.3252
19, 5, horizontal, filler, NA, 999, 999, 1, 27, 124, 144, 68, 116, 192, 110, 9852.03, 56, 1385.44, 21, 4536.46, 38, 9.79186
19, 5, horizontal, filler, NA, 999, 999, 1, 28, 175, 168, 142, 56, 173, 132, 49875.9, 126, 2290.22, 27, 14102.6, 67, 10.9918
19, 5, horizontal, filler, NA, 999, 999, 1, 29, 77, 64, 87, 81, 187, 170, 3631.68, 34, 12076.3, 62, 44488.1, 119, 10.2252
19, 5, horizontal, filler, NA, 999, 999, 1, 30, 187, 181, 155, 121, 113, 165, 45238.9, 120, 15393.8, 70, 19606.7, 79, 7.69202
19, 5, horizontal, attraction, a-b-db, 5, 2, 1, 31, 90, 165, 88, 161, 165, 90, 18145.8, 76, 20106.2, 80, 16741.5, 73, 6.62521
19, 5, horizontal, attraction, a-b-da, 5, 1, 1, 32, 60, 135, 132, 58, 135, 60, 28352.9, 95, 21642.4, 83, 15393.8, 70, 5.52512
19, 5, horizontal, attraction, a-b-da, 2, 3, 1, 33, 193, 119, 120, 195, 195, 120, 26015.5, 91, 35968.1, 107, 7542.96, 49, 5.59183
19, 5, horizontal, attraction, a-b-db, 5, 1, 1, 34, 58, 132, 60, 135, 135, 60, 3848.45, 35, 4778.36, 39, 1256.64, 20, 9.89178
19, 5, horizontal, attraction, a-b-da, 2, 1, 1, 35, 135, 60, 60, 135, 134, 59, 3019.07, 31, 3019.07, 31, 5808.8, 43, 12.7592
19, 5, horizontal, filler, NA, 999, 999, 1, 36, 169, 63, 71, 158, 105, 150, 2290.22, 27, 2463.01, 28, 15836.8, 71, 9.69185
19, 5, horizontal, filler, NA, 999, 999, 1, 37, 144, 78, 150, 103, 76, 61, 2463.01, 28, 9503.32, 55, 3019.07, 31, 25.5917
19, 5, horizontal, attraction, a-b-db, 14, 3, 1, 38, 120, 195, 195, 120, 111, 181, 24884.6, 89, 6939.78, 47, 23778.7, 87, 6.2252
19, 5, horizontal, attraction, a-b-db, 9, 2, 1, 39, 86, 157, 165, 90, 90, 165, 8171.28, 51, 9160.88, 54, 5026.55, 40, 10.9585
19, 5, horizontal, attraction, a-b-da, 9, 1, 1, 40, 129, 57, 135, 60, 60, 135, 4778.36, 39, 5541.77, 42, 8494.87, 52, 7.15837
19, 5, horizontal, calibration, NA, 999, 999, 2, 1, 118, 61, 107, 152, 195, 110, 5541.77, 42, 19606.7, 79, 23778.7, 87, 9.82519
19, 5, horizontal, calibration, NA, 999, 999, 2, 2, 96, 153, 86, 118, 194, 113, 25446.9, 90, 12868, 64, 18626.5, 77, 15.8918
19, 5, horizontal, calibration, NA, 999, 999, 2, 3, 124, 176, 193, 93, 163, 138, 14102.6, 67, 9852.03, 56, 16286, 72, 12.0918
19, 5, horizontal, attraction, a-b-db, 14, 1, 2, 1, 56, 125, 60, 135, 135, 60, 12469, 63, 15393.8, 70, 2827.43, 30, 15.3252
