name,diag,distance,w,h
a,1,NA,60,135
b,1,NA,135,60
da,1,2,59,134
da,1,5,58,132
da,1,9,57,129
da,1,14,56,125
db,1,2,134,59
db,1,5,132,58
db,1,9,129,57
db,1,14,125,56
a,2,NA,90,165
b,2,NA,165,90
da,2,2,89,163
da,2,5,88,161
da,2,9,86,157
da,2,14,83,153
db,2,2,163,89
db,2,5,161,88
db,2,9,157,86
db,2,14,153,83
a,3,NA,120,195
b,3,NA,195,120
da,3,2,119,193
da,3,5,117,190
da,3,9,114,186
da,3,14,111,181
db,3,2,193,119
db,3,5,190,117
db,3,9,186,114
db,3,14,181,111
