sub_n,disp_cond,block_n,trial_n,computer_n,set,distance,diag,d_identity,t_identity,c_identity,d,c,t,rt
50301,horizontal,1,35,1,a-b-da,5,1,1,3,2,8.802012678827591,8.75805486539004,8.75805486539004,14.163
50301,horizontal,1,36,1,a-b-db,5,3,3,2,1,9.883625590783444,9.982411101442596,9.933628195194277,49.8406
50301,horizontal,1,38,1,a-b-da,5,2,1,3,2,9.366477614196022,9.398998655939582,9.398998655939582,63.3616
50301,horizontal,1,39,1,a-b-da,14,3,1,3,2,9.832340729556767,9.883625590783444,9.832340729556767,28.8673
50301,horizontal,1,40,1,a-b-db,14,2,1,3,2,9.2308324215185,9.299804773660838,9.159396256314341,24.6494
50301,horizontal,2,1,1,a-b-db,2,3,1,2,3,10.252483669050482,10.18830703994748,10.273426268785073,17.864
50301,horizontal,2,2,1,a-b-db,2,2,1,2,3,9.583745296201613,9.583745296201613,9.583745296201613,14.1629
50301,horizontal,2,4,1,a-b-da,14,3,1,3,2,9.982411101442596,10.030032398830032,9.933628195194277,28.1506
50301,horizontal,2,7,1,a-b-db,5,2,1,3,2,9.75286007225774,9.670089639932032,9.641720369948118,30.4176
50301,horizontal,2,8,1,a-b-da,9,1,2,1,3,9.333419010293602,9.299804773660838,9.430999338632466,11.5455
50301,horizontal,2,9,1,a-b-db,14,3,2,3,1,10.252483669050482,10.314664843190544,10.18830703994748,22.7154
50301,horizontal,2,10,1,a-b-da,5,3,1,2,3,10.006363483536028,9.982411101442596,10.030032398830032,20.2652
50301,horizontal,2,11,1,a-b-db,9,1,1,3,2,8.968775896705692,9.047217323012255,9.047217323012255,61.7779
50301,horizontal,2,15,1,a-b-db,5,3,2,1,3,10.099403514805813,10.076546123158568,10.14434922650993,46.9065
50301,horizontal,2,16,1,a-b-da,14,2,1,3,2,9.333419010293602,9.493504425640674,9.430999338632466,20.0813
50301,horizontal,2,17,1,a-b-da,5,1,2,3,1,9.195433267319698,9.2308324215185,9.122697978977948,19.6977
50301,horizontal,2,19,1,a-b-da,5,2,1,3,2,9.612942895043918,9.554115124631332,9.641720369948118,35.7364
50301,horizontal,2,22,1,a-b-da,14,1,2,1,3,8.968775896705692,9.008381151298051,9.008381151298051,22.3987
50301,horizontal,2,23,1,a-b-da,9,3,1,2,3,10.14434922650993,10.030032398830032,10.099403514805813,24.8164
50301,horizontal,2,24,1,a-b-da,2,1,3,1,2,8.887131907665182,8.887131907665182,8.928370482070653,29.8678
