sub_n,disp_cond,block_n,trial_n,set,distance,diag,rsq,d,c,t
50301,horizontal,2,33,w,14,1,0.8887394290756992,7542.96396126909,9160.884177867829,8171.28249198705
50301,horizontal,2,35,h,2,3,0.8887394290756992,32047.38665926946,25446.90049407734,26015.52876437708
50301,horizontal,2,36,w,14,2,0.8887394290756992,17671.458676442588,16286.0163162095,16741.547250980013
50301,horizontal,2,37,w,9,3,0.8887394290756992,24884.555409084758,27171.63486089811,24328.49350939935
50301,horizontal,2,39,w,5,1,0.8887394290756992,9503.31777710912,9852.034561657589,10207.034531513229
50301,horizontal,2,40,w,9,2,0.8887394290756992,14526.724430199196,16741.547250980013,17203.361371057705
50301,horizontal,3,2,h,9,2,0.8887394290756992,13273.228961416877,13273.228961416877,15393.80400258998
50301,horizontal,3,3,w,2,2,0.8887394290756992,14102.609421964582,15393.80400258998,16286.0163162095
50301,horizontal,3,4,w,14,2,0.8887394290756992,14957.122623740997,16286.0163162095,14526.724430199196
50301,horizontal,3,5,w,2,3,0.8887394290756992,25446.90049407734,24328.49350939935,22698.00692218624
50301,horizontal,3,6,w,5,2,0.8887394290756992,13684.77759903714,16286.0163162095,15836.76856674616
50301,horizontal,3,7,h,2,2,0.8887394290756992,17671.458676442588,16741.547250980013,16286.0163162095
50301,horizontal,3,9,h,5,2,0.8887394290756992,14957.122623740997,14526.724430199196,14957.122623740997
50301,horizontal,3,10,w,2,1,0.8887394290756992,11689.86626400761,12076.282160399154,10568.317686676066
50301,horizontal,3,11,w,9,3,0.8887394290756992,20611.989400202627,19113.449704440314,22167.077763729583
50301,horizontal,3,12,w,5,1,0.8887394290756992,11689.86626400761,10207.034531513229,10568.317686676066
50301,horizontal,3,13,w,5,3,0.8887394290756992,25446.90049407734,27171.63486089811,24328.49350939935
50301,horizontal,3,14,w,9,2,0.8887394290756992,14102.609421964582,14102.609421964582,14526.724430199196
50301,horizontal,3,15,h,14,2,0.8887394290756992,13273.228961416877,14526.724430199196,12867.963509103793
50301,horizontal,3,17,h,5,3,0.8887394290756992,28952.917895483544,25446.90049407734,26590.44021998399
50301,horizontal,3,18,h,2,3,0.8887394290756992,22698.00692218624,23235.21926595011,23235.21926595011
50301,horizontal,3,21,w,9,1,0.8887394290756992,9852.034561657589,10207.034531513229,9503.31777710912
50301,horizontal,3,22,h,9,1,0.8887394290756992,8494.866535306803,7542.96396126909,7238.229473870885
50301,horizontal,3,23,h,2,1,0.8887394290756992,8494.866535306803,10207.034531513229,9160.884177867829
50301,horizontal,3,29,h,14,3,0.8887394290756992,27171.63486089811,25446.90049407734,26590.44021998399
50301,horizontal,3,30,h,14,1,0.8887394290756992,7853.981633974479,9503.31777710912,9503.31777710912
50301,horizontal,3,32,h,9,3,0.8887394290756992,20106.192982974673,19113.449704440314,21642.431790580074
50301,horizontal,3,34,w,14,1,0.8887394290756992,9503.31777710912,8494.866535306803,9160.884177867829
50301,horizontal,3,37,h,5,1,0.8887394290756992,10935.884027146063,9160.884177867829,9503.31777710912
50301,horizontal,3,38,w,14,3,0.8887394290756992,20106.192982974673,22698.00692218624,22167.077763729583
50301,horizontal,4,3,w,5,1,0.8887394290756992,7853.981633974479,8824.73376393373,8171.28249198705
50301,horizontal,4,4,h,5,2,0.8887394290756992,16286.0163162095,13684.77759903714,15393.80400258998
50301,horizontal,4,8,h,9,3,0.8887394290756992,21642.431790580074,21642.431790580074,23235.21926595011
50301,horizontal,4,11,w,14,2,0.8887394290756992,14957.122623740997,15836.76856674616,15393.80400258998
50301,horizontal,4,13,w,2,1,0.8887394290756992,8494.866535306803,8171.28249198705,8824.73376393373
50301,horizontal,4,14,h,14,3,0.8887394290756992,23235.21926595011,22698.00692218624,22698.00692218624
50301,horizontal,4,17,w,14,3,0.8887394290756992,21642.431790580074,20106.192982974673,22167.077763729583
50301,horizontal,4,18,h,5,1,0.8887394290756992,6939.778171779855,7238.229473870885,6361.7251235193335
50301,horizontal,4,19,h,9,1,0.8887394290756992,6082.123377349836,6082.123377349836,6082.123377349836
50301,horizontal,4,20,h,2,1,0.8887394290756992,5808.804816487526,6361.7251235193335,6647.610054996007
50301,horizontal,4,21,w,9,3,0.8887394290756992,20611.989400202627,22698.00692218624,21124.069002737757
50301,horizontal,4,26,w,2,2,0.8887394290756992,11309.733552923257,12867.963509103793,12468.981242097894
50301,horizontal,4,27,w,9,1,0.8887394290756992,6939.778171779855,7542.96396126909,6939.778171779855
50301,horizontal,4,29,h,2,2,0.8887394290756992,12468.981242097894,11309.733552923257,13273.228961416877
50301,horizontal,4,30,h,2,3,0.8887394290756992,19113.449704440314,23235.21926595011,22698.00692218624
50301,horizontal,4,31,w,2,3,0.8887394290756992,24328.49350939935,27759.11268711943,25446.90049407734
50301,horizontal,4,32,h,14,1,0.8887394290756992,8171.28249198705,7238.229473870885,6939.778171779855
50301,horizontal,4,34,h,9,2,0.8887394290756992,9852.034561657589,10568.317686676066,11309.733552923257
50301,horizontal,4,35,h,5,3,0.8887394290756992,20611.989400202627,18626.502843133872,21642.431790580074
50301,horizontal,4,36,w,5,2,0.8887394290756992,12468.981242097894,14102.609421964582,13273.228961416877
50301,horizontal,4,37,w,14,1,0.8887394290756992,6939.778171779855,7542.96396126909,8171.28249198705
