sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
251, 1, horizontal, practice, NA, 999, 999, 0, 1, 61, 180, 71, 105, 172, 154, 6939.78, 47, 5541.77, 42, 21124.1, 82, 41.8554
251, 1, horizontal, practice, NA, 999, 999, 0, 2, 183, 125, 165, 72, 75, 66, 23235.2, 86, 14102.6, 67, 7853.98, 50, 13.9794
251, 1, horizontal, practice, NA, 999, 999, 0, 3, 181, 89, 126, 165, 171, 106, 14102.6, 67, 19606.7, 79, 17203.4, 74, 15.6796
251, 1, horizontal, calibration, NA, 999, 999, 1, 1, 146, 113, 186, 132, 61, 192, 12469, 63, 18145.8, 76, 11689.9, 61, 15.3798
251, 1, horizontal, calibration, NA, 999, 999, 1, 2, 163, 81, 119, 145, 163, 157, 10935.9, 59, 14526.7, 68, 27171.6, 93, 14.9129
251, 1, horizontal, calibration, NA, 999, 999, 1, 3, 133, 182, 184, 166, 112, 153, 20106.2, 80, 24328.5, 88, 18626.5, 77, 16.2965
251, 1, horizontal, attraction, a-b-da, 14, 2, 1, 1, 90, 165, 165, 90, 153, 83, 19113.4, 78, 17671.5, 75, 14102.6, 67, 20.1814
251, 1, horizontal, attraction, a-b-db, 9, 2, 1, 2, 86, 157, 165, 90, 90, 165, 17203.4, 74, 15836.8, 71, 21642.4, 83, 16.9471
251, 1, horizontal, attraction, a-b-da, 9, 3, 1, 3, 186, 114, 120, 195, 195, 120, 20612, 81, 21642.4, 83, 21642.4, 83, 25.3998
251, 1, horizontal, attraction, a-b-db, 5, 2, 1, 4, 88, 161, 165, 90, 90, 165, 27171.6, 93, 24884.6, 89, 26590.4, 92, 18.7307
251, 1, horizontal, attraction, a-b-da, 2, 1, 1, 5, 135, 60, 134, 59, 60, 135, 14526.7, 68, 14957.1, 69, 14526.7, 68, 14.046
251, 1, horizontal, filler, NA, 999, 999, 1, 6, 87, 193, 157, 69, 178, 134, 15836.8, 71, 11309.7, 60, 28952.9, 96, 12.6791
251, 1, horizontal, filler, NA, 999, 999, 1, 7, 78, 146, 144, 163, 92, 152, 12076.3, 62, 27759.1, 94, 18626.5, 77, 13.8962
251, 1, horizontal, attraction, a-b-da, 2, 2, 1, 8, 163, 89, 165, 90, 90, 165, 12868, 64, 12868, 64, 14526.7, 68, 13.8461
251, 1, horizontal, attraction, a-b-db, 14, 3, 1, 9, 111, 181, 195, 120, 120, 195, 24884.6, 89, 18626.5, 77, 21642.4, 83, 11.6619
251, 1, horizontal, catch, NA, 999, 999, 1, 10, 125, 190, 120, 75, 124, 71, 30171.9, 98, 9503.32, 55, 11309.7, 60, 13.0459
251, 1, horizontal, filler, NA, 999, 999, 1, 11, 157, 173, 178, 124, 89, 137, 30790.7, 99, 21642.4, 83, 10207, 57, 15.9638
251, 1, horizontal, attraction, a-b-da, 5, 2, 1, 12, 90, 165, 161, 88, 165, 90, 19606.7, 79, 17671.5, 75, 12868, 64, 14.8128
251, 1, horizontal, filler, NA, 999, 999, 1, 13, 156, 77, 59, 171, 91, 96, 15836.8, 71, 7853.98, 50, 8171.28, 51, 9.81189
251, 1, horizontal, attraction, a-b-da, 2, 3, 1, 14, 195, 120, 193, 119, 120, 195, 16741.5, 73, 16286, 72, 21124.1, 82, 14.2963
251, 1, horizontal, attraction, a-b-db, 5, 1, 1, 15, 58, 132, 60, 135, 135, 60, 10207, 57, 9503.32, 55, 10207, 57, 12.8959
251, 1, horizontal, attraction, a-b-db, 14, 2, 1, 16, 83, 153, 165, 90, 90, 165, 13684.8, 66, 11689.9, 61, 10935.9, 59, 15.4129
251, 1, horizontal, attraction, a-b-da, 9, 1, 1, 17, 135, 60, 60, 135, 129, 57, 9503.32, 55, 7542.96, 49, 10935.9, 59, 15.7633
