sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
250, 6, triangle, practice, NA, 999, 999, 0, 1, 160, 134, 144, 95, 183, 191, 9503.32, 55, 2290.22, 27, 44488.1, 119, 22.1318
250, 6, triangle, practice, NA, 999, 999, 0, 2, 142, 144, 139, 82, 176, 159, 11309.7, 60, 4536.46, 38, 32047.4, 101, 18.2306
250, 6, triangle, practice, NA, 999, 999, 0, 3, 165, 106, 64, 92, 76, 113, 6939.78, 47, 5808.8, 43, 7542.96, 49, 22.4985
250, 6, triangle, calibration, NA, 999, 999, 1, 1, 189, 183, 175, 165, 189, 92, 36643.5, 108, 26015.5, 91, 2642.08, 29, 19.8315
250, 6, triangle, calibration, NA, 999, 999, 1, 2, 126, 68, 111, 88, 66, 178, 21642.4, 83, 19606.7, 79, 32685.1, 102, 13.7963
250, 6, triangle, calibration, NA, 999, 999, 1, 3, 138, 169, 185, 173, 81, 97, 26590.4, 92, 32047.4, 101, 7853.98, 50, 16.9642
250, 6, triangle, filler, NA, 999, 999, 1, 1, 182, 189, 104, 160, 91, 192, 43005.3, 117, 27171.6, 93, 34636.1, 105, 17.2805
250, 6, triangle, attraction, a-b-da, 5, 2, 1, 2, 165, 90, 90, 165, 161, 88, 18626.5, 77, 28952.9, 96, 17671.5, 75, 13.3295
250, 6, triangle, attraction, a-b-da, 2, 2, 1, 3, 165, 90, 90, 165, 163, 89, 17203.4, 74, 26590.4, 92, 15393.8, 70, 18.7474
250, 6, triangle, attraction, a-b-db, 14, 1, 1, 4, 56, 125, 135, 60, 60, 135, 8824.73, 53, 6361.73, 45, 9160.88, 54, 16.5804
250, 6, triangle, attraction, a-b-db, 9, 3, 1, 5, 120, 195, 114, 186, 195, 120, 30171.9, 98, 25446.9, 90, 33979.5, 104, 18.7978
250, 6, triangle, attraction, a-b-da, 2, 1, 1, 6, 60, 135, 134, 59, 135, 60, 10568.3, 58, 9503.32, 55, 10935.9, 59, 18.2973
250, 6, triangle, filler, NA, 999, 999, 1, 7, 129, 78, 70, 130, 142, 98, 8824.73, 53, 10935.9, 59, 19606.7, 79, 17.4471
250, 6, triangle, filler, NA, 999, 999, 1, 8, 67, 189, 149, 75, 117, 178, 13273.2, 65, 17671.5, 75, 26015.5, 91, 14.3294
250, 6, triangle, attraction, a-b-da, 14, 3, 1, 9, 195, 120, 181, 111, 120, 195, 20612, 81, 20106.2, 80, 31415.9, 100, 14.7468
250, 6, triangle, attraction, a-b-db, 9, 1, 1, 10, 57, 129, 60, 135, 135, 60, 6647.61, 46, 9160.88, 54, 15836.8, 71, 16.0303
250, 6, triangle, attraction, a-b-da, 9, 1, 1, 11, 135, 60, 129, 57, 60, 135, 6361.73, 45, 11689.9, 61, 16741.5, 73, 20.3147
250, 6, triangle, filler, NA, 999, 999, 1, 12, 153, 93, 135, 146, 185, 108, 17203.4, 74, 24328.5, 88, 31415.9, 100, 13.5793
250, 6, triangle, attraction, a-b-db, 2, 1, 1, 13, 59, 134, 60, 135, 135, 60, 12076.3, 62, 17203.4, 74, 15836.8, 71, 19.5983
250, 6, triangle, attraction, a-b-db, 5, 2, 1, 14, 88, 161, 165, 90, 90, 165, 19113.4, 78, 26015.5, 91, 21642.4, 83, 14.9965
250, 6, triangle, filler, NA, 999, 999, 1, 15, 117, 58, 128, 56, 137, 89, 10207, 57, 9852.03, 56, 20612, 81, 12.2292
250, 6, triangle, attraction, a-b-da, 9, 3, 1, 16, 195, 120, 120, 195, 186, 114, 39408.1, 112, 54739.1, 132, 41547.6, 115, 14.7965
250, 6, triangle, attraction, a-b-da, 14, 1, 1, 17, 135, 60, 125, 56, 60, 135, 16741.5, 73, 18626.5, 77, 20612, 81, 12.7455
250, 6, triangle, attraction, a-b-da, 5, 3, 1, 18, 120, 195, 190, 117, 195, 120, 37325.3, 109, 27171.6, 93, 26015.5, 91, 11.5121
250, 6, triangle, attraction, a-b-db, 5, 1, 1, 19, 60, 135, 135, 60, 58, 132, 15836.8, 71, 11309.7, 60, 13684.8, 66, 14.0961
250, 6, triangle, attraction, a-b-da, 9, 2, 1, 20, 157, 86, 165, 90, 90, 165, 19113.4, 78, 24884.6, 89, 19113.4, 78, 13.8793
250, 6, triangle, attraction, a-b-db, 9, 2, 1, 21, 90, 165, 86, 157, 165, 90, 20612, 81, 15393.8, 70, 23235.2, 86, 11.6454
250, 6, triangle, filler, NA, 999, 999, 1, 22, 106, 137, 110, 108, 176, 111, 12868, 64, 14102.6, 67, 30171.9, 98, 9.81133
250, 6, triangle, attraction, a-b-db, 14, 2, 1, 23, 90, 165, 165, 90, 83, 153, 22698, 85, 18145.8, 76, 23235.2, 86, 10.195
250, 6, triangle, filler, NA, 999, 999, 1, 24, 74, 84, 137, 148, 176, 193, 12868, 64, 45996.1, 121, 63347.1, 142, 9.72815
250, 6, triangle, filler, NA, 999, 999, 1, 25, 95, 76, 132, 151, 113, 84, 22167.1, 84, 38013.3, 110, 35298.9, 106, 18.9476
250, 6, triangle, filler, NA, 999, 999, 1, 26, 132, 126, 185, 182, 190, 105, 31415.9, 100, 62458, 141, 45238.9, 120, 11.3956
250, 6, triangle, attraction, a-b-db, 2, 3, 1, 27, 120, 195, 195, 120, 119, 193, 45996.1, 121, 28952.9, 96, 45996.1, 121, 14.1797
250, 6, triangle, attraction, a-b-db, 14, 3, 1, 28, 111, 181, 120, 195, 195, 120, 32047.4, 101, 32047.4, 101, 34636.1, 105, 10.3786
250, 6, triangle, attraction, a-b-db, 2, 2, 1, 29, 89, 163, 90, 165, 165, 90, 29559.2, 97, 21642.4, 83, 23235.2, 86, 12.412
250, 6, triangle, attraction, a-b-da, 14, 2, 1, 30, 165, 90, 90, 165, 153, 83, 23235.2, 86, 35298.9, 106, 29559.2, 97, 9.06132
250, 6, triangle, catch, NA, 999, 999, 1, 31, 126, 69, 99, 96, 176, 139, 16741.5, 73, 17203.4, 74, 53912.9, 131, 9.62793
250, 6, triangle, filler, NA, 999, 999, 1, 32, 81, 194, 83, 112, 151, 139, 30790.7, 99, 17203.4, 74, 46759.5, 122, 11.7286
250, 6, triangle, filler, NA, 999, 999, 1, 33, 123, 117, 57, 147, 68, 161, 22167.1, 84, 21642.4, 83, 14526.7, 68, 8.14417
250, 6, triangle, attraction, a-b-db, 5, 3, 1, 34, 117, 190, 195, 120, 120, 195, 40115, 113, 43005.3, 117, 35298.9, 106, 10.5284
250, 6, triangle, catch, NA, 999, 999, 1, 35, 129, 66, 105, 90, 128, 187, 7542.96, 49, 20106.2, 80, 38013.3, 110, 8.56116
250, 6, triangle, attraction, a-b-da, 5, 1, 1, 36, 60, 135, 135, 60, 132, 58, 10935.9, 59, 16286, 72, 20106.2, 80, 9.34486
250, 6, triangle, filler, NA, 999, 999, 1, 37, 167, 92, 189, 113, 99, 185, 23235.2, 86, 34636.1, 105, 44488.1, 119, 7.86112
250, 6, triangle, filler, NA, 999, 999, 1, 38, 98, 132, 101, 80, 120, 112, 17203.4, 74, 10207, 57, 26015.5, 91, 8.94485
250, 6, triangle, filler, NA, 999, 999, 1, 39, 121, 93, 64, 84, 185, 72, 21124.1, 82, 8824.73, 53, 29559.2, 97, 8.24442
250, 6, triangle, attraction, a-b-da, 2, 3, 1, 40, 120, 195, 193, 119, 195, 120, 40115, 113, 51471.9, 128, 52279.2, 129, 9.66191
250, 6, triangle, calibration, NA, 999, 999, 2, 1, 139, 86, 167, 60, 146, 112, 15836.8, 71, 8171.28, 51, 20106.2, 80, 13.179
250, 6, triangle, calibration, NA, 999, 999, 2, 2, 97, 192, 170, 182, 159, 127, 28352.9, 95, 38707.6, 111, 31415.9, 100, 9.79501
250, 6, triangle, calibration, NA, 999, 999, 2, 3, 183, 183, 87, 183, 148, 116, 40828.1, 114, 21124.1, 82, 33329.2, 103, 10.2447
250, 6, triangle, filler, NA, 999, 999, 2, 1, 186, 183, 177, 164, 134, 148, 40115, 113, 27759.1, 94, 14957.1, 69, 11.6623
250, 6, triangle, attraction, a-b-db, 14, 3, 2, 2, 111, 181, 120, 195, 195, 120, 16286, 72, 26015.5, 91, 23235.2, 86, 9.24473
250, 6, triangle, attraction, a-b-da, 14, 3, 2, 3, 195, 120, 181, 111, 120, 195, 18626.5, 77, 17203.4, 74, 20106.2, 80, 8.41102
250, 6, triangle, attraction, a-b-db, 2, 2, 2, 4, 90, 165, 89, 163, 165, 90, 22167.1, 84, 14526.7, 68, 15836.8, 71, 13.1292
250, 6, triangle, attraction, a-b-db, 5, 1, 2, 5, 60, 135, 135, 60, 58, 132, 6082.12, 44, 10568.3, 58, 7542.96, 49, 7.84446
250, 6, triangle, attraction, a-b-da, 5, 3, 2, 6, 120, 195, 190, 117, 195, 120, 22698, 85, 24328.5, 88, 22167.1, 84, 8.91093
250, 6, triangle, attraction, a-b-db, 5, 2, 2, 7, 165, 90, 88, 161, 90, 165, 17203.4, 74, 14957.1, 69, 14102.6, 67, 9.76179
250, 6, triangle, filler, NA, 999, 999, 2, 8, 76, 88, 106, 92, 60, 182, 7542.96, 49, 8494.87, 52, 16286, 72, 9.72844
250, 6, triangle, attraction, a-b-db, 9, 2, 2, 9, 86, 157, 165, 90, 90, 165, 14102.6, 67, 20106.2, 80, 14102.6, 67, 7.24373
250, 6, triangle, attraction, a-b-db, 9, 3, 2, 10, 195, 120, 120, 195, 114, 186, 25446.9, 90, 26590.4, 92, 21124.1, 82, 8.9779
250, 6, triangle, attraction, a-b-da, 9, 1, 2, 11, 135, 60, 129, 57, 60, 135, 8824.73, 53, 18626.5, 77, 13273.2, 65, 6.66022
250, 6, triangle, attraction, a-b-da, 9, 2, 2, 12, 157, 86, 90, 165, 165, 90, 14957.1, 69, 16741.5, 73, 10568.3, 58, 9.89488
250, 6, triangle, filler, NA, 999, 999, 2, 13, 169, 56, 150, 182, 144, 84, 4071.5, 36, 30171.9, 98, 10935.9, 59, 8.44496
250, 6, triangle, attraction, a-b-db, 14, 1, 2, 14, 60, 135, 135, 60, 56, 125, 7853.98, 50, 8171.28, 51, 7542.96, 49, 8.84431
250, 6, triangle, filler, NA, 999, 999, 2, 15, 163, 67, 110, 148, 73, 102, 5026.55, 40, 14526.7, 68, 8824.73, 53, 8.56087
250, 6, triangle, catch, NA, 999, 999, 2, 16, 152, 163, 67, 128, 73, 122, 21642.4, 83, 11689.9, 61, 14102.6, 67, 7.82741
250, 6, triangle, filler, NA, 999, 999, 2, 17, 73, 79, 120, 59, 172, 131, 4778.36, 39, 8494.87, 52, 33979.5, 104, 9.57815
250, 6, triangle, attraction, a-b-da, 2, 2, 2, 18, 90, 165, 165, 90, 163, 89, 13273.2, 65, 21642.4, 83, 21642.4, 83, 7.56058
250, 6, triangle, filler, NA, 999, 999, 2, 19, 172, 99, 125, 89, 139, 96, 22167.1, 84, 13273.2, 65, 17671.5, 75, 7.87781
