sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
186, 4, triangle, practice, NA, 999, 999, 0, 1, 189, 180, 145, 65, 150, 159, 28352.9, 95, 9160.88, 54, 22167.1, 84, 18.0584
186, 4, triangle, practice, NA, 999, 999, 0, 2, 79, 90, 180, 149, 108, 151, 4300.84, 37, 29559.2, 97, 14957.1, 69, 12.7585
186, 4, triangle, practice, NA, 999, 999, 0, 3, 181, 89, 176, 61, 147, 177, 21124.1, 82, 11309.7, 60, 33329.2, 103, 10.9918
186, 4, triangle, calibration, NA, 999, 999, 1, 1, 101, 87, 182, 145, 160, 188, 9503.32, 55, 29559.2, 97, 30171.9, 98, 13.3622
186, 4, triangle, calibration, NA, 999, 999, 1, 2, 106, 139, 151, 63, 60, 141, 18145.8, 76, 11689.9, 61, 11689.9, 61, 12.4585
186, 4, triangle, calibration, NA, 999, 999, 1, 3, 176, 128, 184, 150, 97, 133, 29559.2, 97, 37325.3, 109, 14102.6, 67, 12.0585
186, 4, triangle, attraction, a-b-db, 2, 1, 1, 1, 59, 134, 135, 60, 60, 135, 7238.23, 48, 10568.3, 58, 6361.73, 45, 9.79185
186, 4, triangle, attraction, a-b-db, 14, 2, 1, 2, 165, 90, 90, 165, 83, 153, 16286, 72, 15836.8, 71, 15836.8, 71, 10.1585
186, 4, triangle, attraction, a-b-da, 9, 1, 1, 3, 60, 135, 129, 57, 135, 60, 12076.3, 62, 12868, 64, 13684.8, 66, 9.42515
186, 4, triangle, attraction, a-b-da, 5, 2, 1, 4, 161, 88, 90, 165, 165, 90, 34636.1, 105, 31415.9, 100, 32047.4, 101, 9.69183
186, 4, triangle, attraction, a-b-db, 9, 2, 1, 5, 165, 90, 90, 165, 86, 157, 23778.7, 87, 23778.7, 87, 26015.5, 91, 8.55892
186, 4, triangle, catch, NA, 999, 999, 1, 6, 83, 112, 124, 71, 138, 177, 10935.9, 59, 10935.9, 59, 30171.9, 98, 11.1585
186, 4, triangle, attraction, a-b-da, 14, 1, 1, 7, 125, 56, 135, 60, 60, 135, 13684.8, 66, 12469, 63, 23778.7, 87, 9.45855
186, 4, triangle, attraction, a-b-db, 9, 3, 1, 8, 114, 186, 195, 120, 120, 195, 35298.9, 106, 38707.6, 111, 38013.3, 110, 10.4586
186, 4, triangle, attraction, a-b-db, 2, 3, 1, 9, 120, 195, 195, 120, 119, 193, 33329.2, 103, 35968.1, 107, 38707.6, 111, 9.89183
186, 4, triangle, attraction, a-b-da, 2, 1, 1, 10, 134, 59, 60, 135, 135, 60, 12868, 64, 12076.3, 62, 17203.4, 74, 8.32524
186, 4, triangle, attraction, a-b-db, 14, 1, 1, 11, 60, 135, 135, 60, 56, 125, 14102.6, 67, 21124.1, 82, 19606.7, 79, 7.02512
186, 4, triangle, attraction, a-b-da, 9, 2, 1, 12, 157, 86, 90, 165, 165, 90, 21642.4, 83, 21642.4, 83, 19606.7, 79, 10.6919
186, 4, triangle, attraction, a-b-da, 5, 3, 1, 13, 190, 117, 120, 195, 195, 120, 34636.1, 105, 30171.9, 98, 30790.7, 99, 13.1252
186, 4, triangle, attraction, a-b-da, 14, 3, 1, 14, 195, 120, 120, 195, 181, 111, 30790.7, 99, 38013.3, 110, 30171.9, 98, 11.7585
186, 4, triangle, filler, NA, 999, 999, 1, 15, 170, 181, 174, 184, 166, 120, 38707.6, 111, 44488.1, 119, 23778.7, 87, 10.1585
186, 4, triangle, filler, NA, 999, 999, 1, 16, 178, 75, 179, 113, 165, 123, 16286, 72, 29559.2, 97, 26590.4, 92, 8.35859
186, 4, triangle, filler, NA, 999, 999, 1, 17, 82, 147, 125, 90, 178, 118, 11689.9, 61, 16741.5, 73, 33329.2, 103, 11.8584
186, 4, triangle, attraction, a-b-db, 5, 2, 1, 18, 90, 165, 88, 161, 165, 90, 16741.5, 73, 16741.5, 73, 24884.6, 89, 7.49194
186, 4, triangle, filler, NA, 999, 999, 1, 19, 131, 175, 117, 158, 98, 157, 20106.2, 80, 24328.5, 88, 16286, 72, 8.95856
186, 4, triangle, filler, NA, 999, 999, 1, 20, 92, 58, 165, 141, 174, 143, 6939.78, 47, 39408.1, 112, 32685.1, 102, 7.59185
