sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
313\, 4, triangle, practice, NA, 999, 999, 0, 1, 157, 70, 123, 167, 179, 160, 18145.8, 76, 25446.9, 90, 39408.1, 112, 46.1582
313\, 4, triangle, practice, NA, 999, 999, 0, 2, 136, 96, 164, 149, 97, 128, 15393.8, 70, 29559.2, 97, 15393.8, 70, 28.5917
313\, 4, triangle, practice, NA, 999, 999, 0, 3, 189, 87, 181, 151, 180, 159, 22698, 85, 34636.1, 105, 41547.6, 115, 30.1251
313\, 4, triangle, calibration, NA, 999, 999, 1, 1, 186, 112, 105, 121, 66, 166, 30790.7, 99, 22167.1, 84, 20612, 81, 40.725
313\, 4, triangle, calibration, NA, 999, 999, 1, 2, 114, 59, 100, 128, 188, 123, 8824.73, 53, 14957.1, 69, 31415.9, 100, 18.4585
313\, 4, triangle, calibration, NA, 999, 999, 1, 3, 143, 102, 78, 185, 94, 107, 12868, 64, 14526.7, 68, 10935.9, 59, 15.4918
313\, 4, triangle, attraction, a-b-da, 14, 1, 1, 1, 125, 56, 135, 60, 60, 135, 9160.88, 54, 10935.9, 59, 11309.7, 60, 19.3918
313\, 4, triangle, filler, NA, 999, 999, 1, 2, 166, 96, 70, 124, 181, 176, 15836.8, 71, 10207, 57, 28352.9, 95, 19.6917
313\, 4, triangle, filler, NA, 999, 999, 1, 3, 84, 112, 89, 138, 183, 112, 12076.3, 62, 14526.7, 68, 26590.4, 92, 12.6585
313\, 4, triangle, attraction, a-b-db, 9, 1, 1, 4, 60, 135, 57, 129, 135, 60, 12868, 64, 13273.2, 65, 16286, 72, 16.6919
313\, 4, triangle, attraction, a-b-da, 14, 2, 1, 5, 153, 83, 165, 90, 90, 165, 18145.8, 76, 19113.4, 78, 20106.2, 80, 20.1251
313\, 4, triangle, attraction, a-b-da, 9, 3, 1, 6, 195, 120, 120, 195, 186, 114, 27171.6, 93, 26590.4, 92, 24328.5, 88, 10.2586
313\, 4, triangle, filler, NA, 999, 999, 1, 7, 116, 173, 65, 75, 93, 106, 22698, 85, 6939.78, 47, 12868, 64, 14.6919
313\, 4, triangle, attraction, a-b-db, 5, 2, 1, 8, 88, 161, 90, 165, 165, 90, 20106.2, 80, 21642.4, 83, 22167.1, 84, 13.0918
