sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
25, 2, horizontal, practice, NA, 999, 999, 0, 1, 161, 70, 100, 83, 123, 157, 14102.6, 67, 7542.96, 49, 25446.9, 90, 23.1821
25, 2, horizontal, practice, NA, 999, 999, 0, 2, 171, 141, 153, 101, 122, 85, 17671.5, 75, 14957.1, 69, 8824.73, 53, 21.3487
25, 2, horizontal, practice, NA, 999, 999, 0, 3, 157, 84, 142, 100, 160, 110, 11689.9, 61, 12076.3, 62, 15393.8, 70, 15.3135
25, 2, horizontal, calibration, NA, 999, 999, 1, 1, 142, 150, 157, 104, 104, 73, 11309.7, 60, 9160.88, 54, 8494.87, 52, 22.8493
25, 2, horizontal, calibration, NA, 999, 999, 1, 2, 105, 195, 145, 171, 101, 188, 13684.8, 66, 20612, 81, 14957.1, 69, 18.6478
25, 2, horizontal, calibration, NA, 999, 999, 1, 3, 173, 150, 177, 73, 116, 124, 22698, 85, 14102.6, 67, 13684.8, 66, 20.1812
25, 2, horizontal, attraction, a-b-da, 14, 2, 1, 1, 153, 83, 165, 90, 90, 165, 16286, 72, 17203.4, 74, 18145.8, 76, 21.1154
25, 2, horizontal, filler, NA, 999, 999, 1, 2, 172, 135, 104, 161, 185, 105, 26590.4, 92, 17203.4, 74, 18626.5, 77, 23.2991
25, 2, horizontal, catch, NA, 999, 999, 1, 3, 102, 93, 133, 182, 125, 70, 13273.2, 65, 33979.5, 104, 13273.2, 65, 12.746
25, 2, horizontal, filler, NA, 999, 999, 1, 4, 143, 90, 66, 57, 95, 125, 15393.8, 70, 6647.61, 46, 16741.5, 73, 15.5799
25, 2, horizontal, filler, NA, 999, 999, 1, 5, 110, 190, 56, 175, 127, 151, 20106.2, 80, 9503.32, 55, 16741.5, 73, 16.0968
25, 2, horizontal, attraction, a-b-db, 2, 2, 1, 6, 90, 165, 89, 163, 165, 90, 17203.4, 74, 17203.4, 74, 15836.8, 71, 12.6127
25, 2, horizontal, attraction, a-b-da, 2, 1, 1, 7, 134, 59, 60, 135, 135, 60, 10207, 57, 8824.73, 53, 9852.03, 56, 11.3287
25, 2, horizontal, filler, NA, 999, 999, 1, 8, 124, 87, 191, 184, 63, 164, 9160.88, 54, 37325.3, 109, 14102.6, 67, 12.6289
25, 2, horizontal, catch, NA, 999, 999, 1, 9, 86, 109, 144, 171, 99, 96, 9160.88, 54, 33979.5, 104, 8494.87, 52, 10.8453
25, 2, horizontal, attraction, a-b-db, 5, 1, 1, 10, 58, 132, 60, 135, 135, 60, 7542.96, 49, 8171.28, 51, 8171.28, 51, 11.7786
25, 2, horizontal, attraction, a-b-db, 9, 3, 1, 11, 195, 120, 120, 195, 114, 186, 15836.8, 71, 15393.8, 70, 19113.4, 78, 12.4624
25, 2, horizontal, attraction, a-b-db, 9, 1, 1, 12, 57, 129, 60, 135, 135, 60, 11309.7, 60, 11689.9, 61, 11689.9, 61, 12.6788
25, 2, horizontal, attraction, a-b-db, 2, 1, 1, 13, 59, 134, 135, 60, 60, 135, 8824.73, 53, 14526.7, 68, 12469, 63, 13.696
25, 2, horizontal, attraction, a-b-da, 2, 3, 1, 14, 193, 119, 195, 120, 120, 195, 24328.5, 88, 21642.4, 83, 21642.4, 83, 13.1458
25, 2, horizontal, attraction, a-b-da, 5, 2, 1, 15, 165, 90, 161, 88, 90, 165, 20612, 81, 25446.9, 90, 23778.7, 87, 13.9297
25, 2, horizontal, filler, NA, 999, 999, 1, 16, 126, 118, 114, 171, 124, 186, 12868, 64, 18145.8, 76, 24328.5, 88, 11.5119
25, 2, horizontal, attraction, a-b-db, 14, 2, 1, 17, 83, 153, 90, 165, 165, 90, 14102.6, 67, 14957.1, 69, 14526.7, 68, 9.04458
25, 2, horizontal, attraction, a-b-db, 5, 3, 1, 18, 195, 120, 117, 190, 120, 195, 12469, 63, 14102.6, 67, 14526.7, 68, 10.7116
25, 2, horizontal, attraction, a-b-db, 14, 3, 1, 19, 195, 120, 111, 181, 120, 195, 24884.6, 89, 21124.1, 82, 25446.9, 90, 15.5797
25, 2, horizontal, attraction, a-b-da, 2, 2, 1, 20, 90, 165, 163, 89, 165, 90, 32047.4, 101, 27171.6, 93, 29559.2, 97, 15.2798
25, 2, horizontal, attraction, a-b-da, 9, 1, 1, 21, 129, 57, 135, 60, 60, 135, 11689.9, 61, 11309.7, 60, 11689.9, 61, 7.27737
25, 2, horizontal, attraction, a-b-da, 5, 1, 1, 22, 132, 58, 135, 60, 60, 135, 12868, 64, 16741.5, 73, 15836.8, 71, 11.9785
25, 2, horizontal, filler, NA, 999, 999, 1, 23, 119, 74, 69, 170, 195, 133, 10568.3, 58, 12469, 63, 33979.5, 104, 9.91157
25, 2, horizontal, attraction, a-b-da, 9, 2, 1, 24, 157, 86, 90, 165, 165, 90, 21642.4, 83, 21124.1, 82, 20612, 81, 11.1957
25, 2, horizontal, filler, NA, 999, 999, 1, 25, 121, 191, 93, 157, 107, 193, 24884.6, 89, 14102.6, 67, 27759.1, 94, 9.91137
25, 2, horizontal, filler, NA, 999, 999, 1, 26, 64, 189, 109, 92, 172, 111, 16286, 72, 9503.32, 55, 27171.6, 93, 13.9294
25, 2, horizontal, filler, NA, 999, 999, 1, 27, 170, 184, 155, 158, 60, 106, 37325.3, 109, 31415.9, 100, 10935.9, 59, 14.3463
25, 2, horizontal, attraction, a-b-db, 9, 2, 1, 28, 86, 157, 90, 165, 165, 90, 16741.5, 73, 14526.7, 68, 14957.1, 69, 18.3645
25, 2, horizontal, attraction, a-b-da, 14, 3, 1, 29, 195, 120, 120, 195, 181, 111, 21642.4, 83, 22698, 85, 19606.7, 79, 9.34465
25, 2, horizontal, attraction, a-b-da, 5, 3, 1, 30, 190, 117, 195, 120, 120, 195, 23235.2, 86, 20612, 81, 16741.5, 73, 7.59382
25, 2, horizontal, filler, NA, 999, 999, 1, 31, 73, 185, 116, 69, 122, 182, 18626.5, 77, 12469, 63, 27759.1, 94, 22.3986
25, 2, horizontal, attraction, a-b-da, 14, 1, 1, 32, 135, 60, 60, 135, 125, 56, 13684.8, 66, 12868, 64, 12868, 64, 8.79465
25, 2, horizontal, filler, NA, 999, 999, 1, 33, 94, 192, 155, 87, 167, 129, 22698, 85, 15836.8, 71, 26015.5, 91, 17.3305
25, 2, horizontal, filler, NA, 999, 999, 1, 34, 165, 118, 185, 150, 187, 187, 14102.6, 67, 20612, 81, 38707.6, 111, 13.3629
25, 2, horizontal, attraction, a-b-db, 5, 2, 1, 35, 165, 90, 88, 161, 90, 165, 14957.1, 69, 21124.1, 82, 20106.2, 80, 7.21053
25, 2, horizontal, attraction, a-b-db, 2, 3, 1, 36, 119, 193, 195, 120, 120, 195, 28352.9, 95, 20106.2, 80, 24884.6, 89, 7.09407
25, 2, horizontal, attraction, a-b-da, 9, 3, 1, 37, 195, 120, 120, 195, 186, 114, 26590.4, 92, 25446.9, 90, 25446.9, 90, 9.02793
25, 2, horizontal, filler, NA, 999, 999, 1, 38, 184, 82, 81, 73, 123, 128, 18626.5, 77, 6361.73, 45, 18145.8, 76, 12.6957
25, 2, horizontal, filler, NA, 999, 999, 1, 39, 183, 120, 72, 151, 128, 60, 30171.9, 98, 13684.8, 66, 13684.8, 66, 15.3462
25, 2, horizontal, attraction, a-b-db, 14, 1, 1, 40, 60, 135, 135, 60, 56, 125, 8494.87, 52, 10935.9, 59, 13684.8, 66, 11.3121
25, 2, horizontal, calibration, NA, 999, 999, 2, 1, 164, 147, 167, 100, 71, 190, 21642.4, 83, 15393.8, 70, 15836.8, 71, 12.4622
25, 2, horizontal, calibration, NA, 999, 999, 2, 2, 124, 109, 105, 113, 139, 156, 14526.7, 68, 12469, 63, 19113.4, 78, 9.39473
25, 2, horizontal, calibration, NA, 999, 999, 2, 3, 162, 139, 162, 59, 85, 78, 26590.4, 92, 11309.7, 60, 5541.77, 42, 11.5784
25, 2, horizontal, filler, NA, 999, 999, 2, 1, 168, 71, 143, 68, 93, 114, 10207, 57, 4071.5, 36, 11689.9, 61, 6.26072
25, 2, horizontal, attraction, a-b-da, 14, 2, 2, 2, 165, 90, 153, 83, 90, 165, 12076.3, 62, 12868, 64, 15393.8, 70, 6.06035
25, 2, horizontal, attraction, a-b-da, 9, 3, 2, 3, 120, 195, 186, 114, 195, 120, 15393.8, 70, 15393.8, 70, 14957.1, 69, 6.87725
25, 2, horizontal, attraction, a-b-db, 9, 1, 2, 4, 135, 60, 57, 129, 60, 135, 8824.73, 53, 10207, 57, 10568.3, 58, 5.01051
25, 2, horizontal, attraction, a-b-db, 9, 2, 2, 5, 165, 90, 86, 157, 90, 165, 15393.8, 70, 14102.6, 67, 13273.2, 65, 7.06078
25, 2, horizontal, attraction, a-b-da, 5, 2, 2, 6, 161, 88, 90, 165, 165, 90, 14526.7, 68, 12868, 64, 10568.3, 58, 6.72757
25, 2, horizontal, filler, NA, 999, 999, 2, 7, 152, 97, 151, 131, 143, 75, 12868, 64, 14526.7, 68, 14102.6, 67, 9.57863
25, 2, horizontal, filler, NA, 999, 999, 2, 8, 83, 63, 71, 99, 154, 187, 10935.9, 59, 10935.9, 59, 35298.9, 106, 14.0797
25, 2, horizontal, attraction, a-b-da, 5, 3, 2, 9, 195, 120, 190, 117, 120, 195, 26015.5, 91, 26590.4, 92, 25446.9, 90, 10.4115
25, 2, horizontal, filler, NA, 999, 999, 2, 10, 119, 191, 129, 187, 57, 103, 24328.5, 88, 27759.1, 94, 12868, 64, 18.6309
25, 2, horizontal, attraction, a-b-db, 5, 2, 2, 11, 90, 165, 165, 90, 88, 161, 13273.2, 65, 19113.4, 78, 13273.2, 65, 8.57776
25, 2, horizontal, attraction, a-b-db, 14, 3, 2, 12, 120, 195, 195, 120, 111, 181, 22167.1, 84, 19606.7, 79, 15393.8, 70, 12.746
25, 2, horizontal, attraction, a-b-db, 9, 3, 2, 13, 114, 186, 120, 195, 195, 120, 20612, 81, 20612, 81, 19606.7, 79, 12.7124
25, 2, horizontal, filler, NA, 999, 999, 2, 14, 178, 84, 81, 175, 91, 168, 14957.1, 69, 14957.1, 69, 18626.5, 77, 10.879
25, 2, horizontal, attraction, a-b-da, 2, 3, 2, 15, 120, 195, 193, 119, 195, 120, 14526.7, 68, 20106.2, 80, 17671.5, 75, 9.74517
25, 2, horizontal, attraction, a-b-da, 14, 3, 2, 16, 181, 111, 120, 195, 195, 120, 23235.2, 86, 18145.8, 76, 19113.4, 78, 11.4951
25, 2, horizontal, attraction, a-b-da, 9, 1, 2, 17, 135, 60, 60, 135, 129, 57, 12469, 63, 10207, 57, 11309.7, 60, 16.4468
25, 2, horizontal, filler, NA, 999, 999, 2, 18, 69, 86, 113, 58, 181, 154, 8494.87, 52, 9852.03, 56, 27171.6, 93, 11.8952
25, 2, horizontal, filler, NA, 999, 999, 2, 19, 91, 157, 95, 134, 131, 136, 14526.7, 68, 14526.7, 68, 23235.2, 86, 6.59414
25, 2, horizontal, filler, NA, 999, 999, 2, 20, 62, 148, 190, 160, 140, 153, 8171.28, 51, 32047.4, 101, 24328.5, 88, 10.1283
25, 2, horizontal, attraction, a-b-da, 5, 1, 2, 21, 60, 135, 132, 58, 135, 60, 9852.03, 56, 7542.96, 49, 9503.32, 55, 9.97825
25, 2, horizontal, attraction, a-b-da, 2, 2, 2, 22, 90, 165, 165, 90, 163, 89, 16741.5, 73, 14526.7, 68, 11309.7, 60, 6.54368
25, 2, horizontal, filler, NA, 999, 999, 2, 23, 99, 160, 169, 123, 113, 145, 17203.4, 74, 14526.7, 68, 18145.8, 76, 4.8438
25, 2, horizontal, attraction, a-b-db, 14, 1, 2, 24, 135, 60, 56, 125, 60, 135, 9852.03, 56, 9852.03, 56, 7238.23, 48, 7.5438
25, 2, horizontal, filler, NA, 999, 999, 2, 25, 130, 149, 87, 156, 131, 80, 27171.6, 93, 17671.5, 75, 15836.8, 71, 5.74391
25, 2, horizontal, attraction, a-b-da, 2, 1, 2, 26, 60, 135, 135, 60, 134, 59, 10935.9, 59, 10935.9, 59, 12868, 64, 14.0629
25, 2, horizontal, attraction, a-b-db, 14, 2, 2, 27, 90, 165, 165, 90, 83, 153, 16286, 72, 19113.4, 78, 19113.4, 78, 7.39426
25, 2, horizontal, attraction, a-b-db, 2, 2, 2, 28, 90, 165, 165, 90, 89, 163, 14957.1, 69, 17203.4, 74, 17671.5, 75, 5.04394
25, 2, horizontal, filler, NA, 999, 999, 2, 29, 105, 163, 74, 79, 188, 86, 22698, 85, 7542.96, 49, 22698, 85, 7.67788
25, 2, horizontal, filler, NA, 999, 999, 2, 30, 182, 82, 195, 83, 135, 84, 14957.1, 69, 21124.1, 82, 14957.1, 69, 10.9454
25, 2, horizontal, catch, NA, 999, 999, 2, 31, 189, 126, 70, 125, 97, 98, 28352.9, 95, 13273.2, 65, 12469, 63, 12.4792
25, 2, horizontal, attraction, a-b-da, 9, 2, 2, 32, 90, 165, 165, 90, 157, 86, 16286, 72, 21124.1, 82, 20612, 81, 12.312
25, 2, horizontal, attraction, a-b-db, 2, 1, 2, 33, 135, 60, 59, 134, 60, 135, 17671.5, 75, 18626.5, 77, 18145.8, 76, 13.1291
25, 2, horizontal, attraction, a-b-db, 2, 3, 2, 34, 195, 120, 119, 193, 120, 195, 40115, 113, 33979.5, 104, 32047.4, 101, 12.0625
25, 2, horizontal, filler, NA, 999, 999, 2, 35, 104, 56, 83, 162, 138, 157, 7238.23, 48, 20612, 81, 34636.1, 105, 10.2782
25, 2, horizontal, attraction, a-b-da, 14, 1, 2, 36, 125, 56, 135, 60, 60, 135, 7238.23, 48, 8494.87, 52, 9503.32, 55, 7.31081
25, 2, horizontal, attraction, a-b-db, 5, 3, 2, 37, 117, 190, 195, 120, 120, 195, 24884.6, 89, 23235.2, 86, 30790.7, 99, 4.6433
25, 2, horizontal, filler, NA, 999, 999, 2, 38, 57, 56, 125, 121, 148, 65, 3421.19, 33, 12868, 64, 10935.9, 59, 5.69405
25, 2, horizontal, attraction, a-b-db, 5, 1, 2, 39, 60, 135, 58, 132, 135, 60, 11309.7, 60, 11689.9, 61, 13273.2, 65, 5.39347
25, 2, horizontal, catch, NA, 999, 999, 2, 40, 187, 128, 106, 89, 69, 126, 32685.1, 102, 9503.32, 55, 10568.3, 58, 7.44415
25, 2, horizontal, calibration, NA, 999, 999, 3, 1, 149, 82, 160, 97, 123, 128, 15836.8, 71, 12469, 63, 20612, 81, 7.31081
25, 2, horizontal, calibration, NA, 999, 999, 3, 2, 146, 162, 97, 69, 172, 84, 22698, 85, 6082.12, 44, 21124.1, 82, 5.57707
25, 2, horizontal, calibration, NA, 999, 999, 3, 3, 185, 131, 69, 124, 194, 159, 24328.5, 88, 9503.32, 55, 33979.5, 104, 7.41065
25, 2, horizontal, attraction, a-b-db, 2, 1, 3, 1, 135, 60, 60, 135, 59, 134, 11309.7, 60, 15393.8, 70, 19113.4, 78, 5.9935
25, 2, horizontal, attraction, a-b-da, 5, 1, 3, 2, 132, 58, 135, 60, 60, 135, 14526.7, 68, 12469, 63, 14526.7, 68, 9.14427
25, 2, horizontal, attraction, a-b-db, 5, 3, 3, 3, 195, 120, 120, 195, 117, 190, 23235.2, 86, 25446.9, 90, 22698, 85, 14.8466
25, 2, horizontal, attraction, a-b-da, 2, 2, 3, 4, 90, 165, 163, 89, 165, 90, 20612, 81, 20106.2, 80, 19113.4, 78, 8.09465
25, 2, horizontal, filler, NA, 999, 999, 3, 5, 96, 128, 151, 186, 170, 128, 22698, 85, 30790.7, 99, 22167.1, 84, 9.49508
25, 2, horizontal, filler, NA, 999, 999, 3, 6, 174, 169, 133, 102, 115, 162, 21124.1, 82, 14526.7, 68, 22167.1, 84, 9.89496
25, 2, horizontal, attraction, a-b-da, 14, 2, 3, 7, 90, 165, 165, 90, 153, 83, 21642.4, 83, 17671.5, 75, 19113.4, 78, 6.09335
25, 2, horizontal, filler, NA, 999, 999, 3, 8, 127, 85, 97, 152, 101, 146, 17671.5, 75, 20106.2, 80, 19113.4, 78, 9.76121
25, 2, horizontal, attraction, a-b-db, 9, 1, 3, 9, 135, 60, 57, 129, 60, 135, 12469, 63, 13684.8, 66, 10935.9, 59, 10.4118
25, 2, horizontal, attraction, a-b-db, 9, 2, 3, 10, 165, 90, 86, 157, 90, 165, 22167.1, 84, 26590.4, 92, 26015.5, 91, 5.91034
25, 2, horizontal, filler, NA, 999, 999, 3, 11, 92, 178, 115, 136, 131, 66, 27171.6, 93, 20612, 81, 16286, 72, 12.8963
25, 2, horizontal, filler, NA, 999, 999, 3, 12, 181, 124, 144, 120, 167, 182, 27759.1, 94, 25446.9, 90, 32685.1, 102, 11.0622
25, 2, horizontal, attraction, a-b-db, 5, 1, 3, 13, 58, 132, 60, 135, 135, 60, 15836.8, 71, 14102.6, 67, 11689.9, 61, 9.41139
25, 2, horizontal, filler, NA, 999, 999, 3, 14, 126, 184, 165, 194, 96, 86, 23235.2, 86, 35968.1, 107, 11309.7, 60, 8.69425
25, 2, horizontal, attraction, a-b-db, 14, 3, 3, 15, 195, 120, 111, 181, 120, 195, 20106.2, 80, 25446.9, 90, 23778.7, 87, 9.0444
