sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
239, 1, horizontal, practice, NA, 999, 999, 0, 1, 156, 172, 72, 123, 104, 150, 27759.1, 94, 24884.6, 89, 20106.2, 80, 42.6385
239, 1, horizontal, practice, NA, 999, 999, 0, 2, 59, 118, 92, 103, 64, 67, 78.5398, 5, 78.5398, 5, 78.5398, 5, 4.91045
239, 1, horizontal, practice, NA, 999, 999, 0, 3, 79, 57, 179, 113, 98, 169, 6647.61, 46, 28352.9, 95, 20106.2, 80, 16.9475
239, 1, horizontal, calibration, NA, 999, 999, 1, 1, 87, 178, 156, 81, 134, 103, 24328.5, 88, 4300.84, 37, 17203.4, 74, 21.9986
239, 1, horizontal, calibration, NA, 999, 999, 1, 2, 153, 132, 170, 185, 162, 76, 19606.7, 79, 37325.3, 109, 5808.8, 43, 26.8002
239, 1, horizontal, calibration, NA, 999, 999, 1, 3, 123, 146, 188, 168, 175, 173, 21642.4, 83, 30171.9, 98, 35298.9, 106, 26.5668
239, 1, horizontal, filler, NA, 999, 999, 1, 1, 145, 133, 178, 156, 65, 89, 28952.9, 96, 39408.1, 112, 8824.73, 53, 33.8694
239, 1, horizontal, attraction, a-b-db, 9, 3, 1, 2, 120, 195, 195, 120, 114, 186, 37325.3, 109, 21124.1, 82, 33979.5, 104, 158.825
239, 1, horizontal, filler, NA, 999, 999, 1, 3, 189, 91, 102, 116, 163, 175, 9852.03, 56, 14957.1, 69, 24328.5, 88, 219.744
239, 1, horizontal, filler, NA, 999, 999, 1, 4, 164, 78, 169, 188, 170, 174, 22167.1, 84, 34636.1, 105, 29559.2, 97, 262.691
239, 1, horizontal, attraction, a-b-da, 9, 2, 1, 5, 165, 90, 157, 86, 90, 165, 26015.5, 91, 21124.1, 82, 10568.3, 58, 169.378
239, 1, horizontal, attraction, a-b-da, 5, 2, 1, 6, 161, 88, 165, 90, 90, 165, 9852.03, 56, 10207, 57, 9852.03, 56, 228.096
239, 1, horizontal, attraction, a-b-db, 2, 1, 1, 7, 135, 60, 59, 134, 60, 135, 3216.99, 32, 3216.99, 32, 3216.99, 32, 199.587
239, 1, horizontal, catch, NA, 999, 999, 1, 8, 71, 124, 165, 150, 105, 90, 4071.5, 36, 15836.8, 71, 7238.23, 48, 174.596
239, 1, horizontal, filler, NA, 999, 999, 1, 9, 188, 74, 128, 158, 116, 67, 6361.73, 45, 10207, 57, 4071.5, 36, 118.979
239, 1, horizontal, filler, NA, 999, 999, 1, 10, 177, 64, 184, 178, 99, 156, 5026.55, 40, 22698, 85, 14102.6, 67, 177.064
239, 1, horizontal, attraction, a-b-db, 2, 2, 1, 11, 165, 90, 89, 163, 90, 165, 7853.98, 50, 6647.61, 46, 6939.78, 47, 94.8047
239, 1, horizontal, filler, NA, 999, 999, 1, 12, 176, 100, 172, 86, 173, 92, 10207, 57, 8494.87, 52, 7853.98, 50, 102.824
239, 1, horizontal, filler, NA, 999, 999, 1, 13, 139, 177, 126, 147, 115, 184, 15836.8, 71, 10935.9, 59, 12076.3, 62, 228.263
239, 1, horizontal, attraction, a-b-da, 2, 2, 1, 14, 90, 165, 163, 89, 165, 90, 6361.73, 45, 6647.61, 46, 6939.78, 47, 148.639
239, 1, horizontal, attraction, a-b-db, 5, 2, 1, 15, 90, 165, 88, 161, 165, 90, 8494.87, 52, 8494.87, 52, 7542.96, 49, 144.503
239, 1, horizontal, filler, NA, 999, 999, 1, 16, 127, 59, 56, 131, 72, 67, 4300.84, 37, 4300.84, 37, 3216.99, 32, 118.945
239, 1, horizontal, attraction, a-b-db, 14, 2, 1, 17, 83, 153, 90, 165, 165, 90, 7853.98, 50, 8824.73, 53, 8824.73, 53, 183.516
239, 1, horizontal, attraction, a-b-db, 2, 3, 1, 18, 120, 195, 119, 193, 195, 120, 14526.7, 68, 14102.6, 67, 12469, 63, 111.36
239, 1, horizontal, filler, NA, 999, 999, 1, 19, 82, 183, 167, 170, 152, 84, 7238.23, 48, 15393.8, 70, 5541.77, 42, 155.107
239, 1, horizontal, attraction, a-b-da, 5, 3, 1, 20, 190, 117, 195, 120, 120, 195, 9160.88, 54, 15393.8, 70, 21642.4, 83, 276.562
239, 1, horizontal, attraction, a-b-db, 9, 2, 1, 21, 165, 90, 90, 165, 86, 157, 7238.23, 48, 13684.8, 66, 14526.7, 68, 38.8707
