sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
148, 3, triangle, practice, NA, 999, 999, 0, 1, 185, 88, 93, 141, 108, 153, 6939.78, 47, 9852.03, 56, 17671.5, 75, 17.1469
148, 3, triangle, practice, NA, 999, 999, 0, 2, 150, 75, 194, 57, 126, 98, 4071.5, 36, 2123.72, 26, 8494.87, 52, 20.6646
148, 3, triangle, practice, NA, 999, 999, 0, 3, 109, 179, 91, 167, 165, 184, 9852.03, 56, 4536.46, 38, 26015.5, 91, 19.1309
148, 3, triangle, calibration, NA, 999, 999, 1, 1, 166, 66, 117, 66, 113, 118, 4071.5, 36, 3019.07, 31, 9852.03, 56, 16.0468
148, 3, triangle, calibration, NA, 999, 999, 1, 2, 93, 177, 111, 190, 150, 184, 12868, 64, 16286, 72, 23778.7, 87, 12.996
148, 3, triangle, calibration, NA, 999, 999, 1, 3, 125, 64, 194, 153, 152, 61, 8171.28, 51, 44488.1, 119, 12469, 63, 17.0972
148, 3, triangle, attraction, a-b-da, 9, 3, 1, 1, 195, 120, 120, 195, 186, 114, 12469, 63, 14957.1, 69, 14957.1, 69, 21.5483
148, 3, triangle, filler, NA, 999, 999, 1, 2, 86, 57, 146, 73, 116, 69, 3848.45, 35, 12076.3, 62, 5808.8, 43, 14.9464
148, 3, triangle, filler, NA, 999, 999, 1, 3, 124, 122, 163, 103, 124, 137, 10568.3, 58, 12868, 64, 19113.4, 78, 14.3629
148, 3, triangle, attraction, a-b-db, 2, 2, 1, 4, 89, 163, 90, 165, 165, 90, 7238.23, 48, 6939.78, 47, 9160.88, 54, 15.5632
148, 3, triangle, filler, NA, 999, 999, 1, 5, 166, 169, 175, 81, 76, 150, 23778.7, 87, 12076.3, 62, 8494.87, 52, 15.9799
148, 3, triangle, filler, NA, 999, 999, 1, 6, 179, 187, 101, 191, 75, 61, 22167.1, 84, 9852.03, 56, 4778.36, 39, 13.8793
148, 3, triangle, attraction, a-b-da, 5, 1, 1, 7, 135, 60, 132, 58, 60, 135, 7853.98, 50, 6939.78, 47, 5808.8, 43, 16.1473
148, 3, triangle, attraction, a-b-db, 9, 3, 1, 8, 114, 186, 120, 195, 195, 120, 12469, 63, 11689.9, 61, 12076.3, 62, 11.5454
148, 3, triangle, catch, NA, 999, 999, 1, 9, 144, 171, 91, 104, 81, 114, 24328.5, 88, 10935.9, 59, 8171.28, 51, 11.7289
148, 3, triangle, attraction, a-b-da, 2, 3, 1, 10, 120, 195, 193, 119, 195, 120, 18626.5, 77, 13684.8, 66, 13273.2, 65, 12.9464
148, 3, triangle, attraction, a-b-db, 2, 1, 1, 11, 135, 60, 59, 134, 60, 135, 8171.28, 51, 7238.23, 48, 7238.23, 48, 12.2954
148, 3, triangle, attraction, a-b-db, 2, 3, 1, 12, 195, 120, 120, 195, 119, 193, 18145.8, 76, 20106.2, 80, 16741.5, 73, 15.2466
148, 3, triangle, attraction, a-b-db, 14, 1, 1, 13, 135, 60, 60, 135, 56, 125, 5808.8, 43, 6647.61, 46, 6361.73, 45, 10.6448
148, 3, triangle, attraction, a-b-db, 14, 2, 1, 14, 83, 153, 90, 165, 165, 90, 7542.96, 49, 9160.88, 54, 7853.98, 50, 10.4454
148, 3, triangle, attraction, a-b-da, 14, 3, 1, 15, 181, 111, 120, 195, 195, 120, 12469, 63, 13684.8, 66, 12868, 64, 14.3463
148, 3, triangle, filler, NA, 999, 999, 1, 16, 137, 108, 67, 184, 161, 118, 10935.9, 59, 6647.61, 46, 18145.8, 76, 17.1971
148, 3, triangle, filler, NA, 999, 999, 1, 17, 81, 149, 69, 74, 114, 103, 15393.8, 70, 5808.8, 43, 18145.8, 76, 16.8136
