sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
189, 1, horizontal, practice, NA, 999, 999, 0, 1, 109, 79, 162, 116, 162, 168, 8171.28, 51, 9503.32, 55, 15836.8, 71, 65.8958
189, 1, horizontal, practice, NA, 999, 999, 0, 2, 139, 167, 179, 83, 142, 191, 10935.9, 59, 11689.9, 61, 15393.8, 70, 30.3845
189, 1, horizontal, practice, NA, 999, 999, 0, 3, 91, 89, 113, 109, 109, 168, 7238.23, 48, 10568.3, 58, 13684.8, 66, 24.0492
189, 1, horizontal, calibration, NA, 999, 999, 1, 1, 94, 119, 164, 189, 57, 153, 8824.73, 53, 17203.4, 74, 12469, 63, 30.3849
189, 1, horizontal, calibration, NA, 999, 999, 1, 2, 96, 164, 129, 100, 134, 140, 12076.3, 62, 11309.7, 60, 14102.6, 67, 25.4999
189, 1, horizontal, calibration, NA, 999, 999, 1, 3, 177, 128, 182, 83, 186, 132, 17203.4, 74, 14957.1, 69, 18626.5, 77, 27.4837
189, 1, horizontal, attraction, a-b-db, 2, 3, 1, 1, 119, 193, 120, 195, 195, 120, 15836.8, 71, 15393.8, 70, 20612, 81, 31.2014
189, 1, horizontal, filler, NA, 999, 999, 1, 2, 111, 98, 76, 97, 150, 150, 12076.3, 62, 7238.23, 48, 16741.5, 73, 23.916
189, 1, horizontal, attraction, a-b-da, 5, 2, 1, 3, 90, 165, 161, 88, 165, 90, 11309.7, 60, 15393.8, 70, 14102.6, 67, 15.53
189, 1, horizontal, filler, NA, 999, 999, 1, 4, 179, 184, 124, 98, 76, 121, 22698, 85, 14526.7, 68, 7853.98, 50, 19.6643
189, 1, horizontal, attraction, a-b-db, 5, 2, 1, 5, 88, 161, 90, 165, 165, 90, 12868, 64, 13684.8, 66, 12469, 63, 19.7812
189, 1, horizontal, attraction, a-b-da, 14, 2, 1, 6, 165, 90, 153, 83, 90, 165, 15836.8, 71, 13684.8, 66, 15836.8, 71, 42.7883
189, 1, horizontal, attraction, a-b-db, 2, 2, 1, 7, 90, 165, 89, 163, 165, 90, 11309.7, 60, 12469, 63, 14957.1, 69, 28.3343
189, 1, horizontal, attraction, a-b-db, 14, 1, 1, 8, 56, 125, 60, 135, 135, 60, 6939.78, 47, 7238.23, 48, 7542.96, 49, 19.9812
189, 1, horizontal, filler, NA, 999, 999, 1, 9, 115, 134, 57, 179, 160, 164, 17671.5, 75, 10935.9, 59, 22698, 85, 18.0975
189, 1, horizontal, attraction, a-b-db, 5, 1, 1, 10, 58, 132, 135, 60, 60, 135, 9852.03, 56, 10935.9, 59, 11689.9, 61, 22.5654
189, 1, horizontal, filler, NA, 999, 999, 1, 11, 183, 72, 112, 103, 195, 171, 18626.5, 77, 14526.7, 68, 38707.6, 111, 24.9662
189, 1, horizontal, filler, NA, 999, 999, 1, 12, 112, 105, 56, 175, 176, 194, 12469, 63, 17203.4, 74, 37325.3, 109, 29.4175
189, 1, horizontal, filler, NA, 999, 999, 1, 13, 88, 129, 97, 79, 103, 110, 10568.3, 58, 10568.3, 58, 18626.5, 77, 19.8812
189, 1, horizontal, attraction, a-b-da, 5, 1, 1, 14, 135, 60, 132, 58, 60, 135, 11309.7, 60, 11309.7, 60, 10207, 57, 27.5334
189, 1, horizontal, attraction, a-b-da, 9, 2, 1, 15, 90, 165, 157, 86, 165, 90, 11689.9, 61, 17671.5, 75, 20106.2, 80, 20.6481
189, 1, horizontal, attraction, a-b-da, 2, 1, 1, 16, 134, 59, 135, 60, 60, 135, 10568.3, 58, 12076.3, 62, 11689.9, 61, 14.6292
189, 1, horizontal, attraction, a-b-da, 9, 1, 1, 17, 135, 60, 60, 135, 129, 57, 8171.28, 51, 7542.96, 49, 9503.32, 55, 33.6692
189, 1, horizontal, attraction, a-b-db, 2, 1, 1, 18, 60, 135, 59, 134, 135, 60, 5808.8, 43, 7238.23, 48, 10935.9, 59, 14.8295
189, 1, horizontal, attraction, a-b-db, 9, 1, 1, 19, 135, 60, 60, 135, 57, 129, 9503.32, 55, 9852.03, 56, 7853.98, 50, 25.283
189, 1, horizontal, attraction, a-b-da, 5, 3, 1, 20, 190, 117, 120, 195, 195, 120, 18145.8, 76, 20106.2, 80, 18145.8, 76, 21.6983
189, 1, horizontal, attraction, a-b-da, 2, 2, 1, 21, 90, 165, 163, 89, 165, 90, 14526.7, 68, 15836.8, 71, 16286, 72, 15.4966
189, 1, horizontal, attraction, a-b-da, 14, 3, 1, 22, 195, 120, 120, 195, 181, 111, 19113.4, 78, 24328.5, 88, 20106.2, 80, 22.6488
189, 1, horizontal, filler, NA, 999, 999, 1, 23, 164, 155, 67, 123, 69, 73, 26590.4, 92, 11309.7, 60, 6082.12, 44, 13.4793
189, 1, horizontal, attraction, a-b-db, 14, 2, 1, 24, 83, 153, 90, 165, 165, 90, 10935.9, 59, 11689.9, 61, 18145.8, 76, 12.6624
189, 1, horizontal, attraction, a-b-db, 14, 3, 1, 25, 120, 195, 195, 120, 111, 181, 19606.7, 79, 24328.5, 88, 20106.2, 80, 15.6631
189, 1, horizontal, filler, NA, 999, 999, 1, 26, 67, 147, 108, 194, 90, 65, 12469, 63, 17203.4, 74, 6082.12, 44, 15.4299
189, 1, horizontal, attraction, a-b-db, 9, 3, 1, 27, 120, 195, 114, 186, 195, 120, 21642.4, 83, 24884.6, 89, 24328.5, 88, 14.6795
189, 1, horizontal, filler, NA, 999, 999, 1, 28, 64, 177, 108, 114, 76, 169, 10207, 57, 17203.4, 74, 13684.8, 66, 18.4972
189, 1, horizontal, attraction, a-b-da, 14, 1, 1, 29, 135, 60, 60, 135, 125, 56, 6939.78, 47, 8824.73, 53, 11689.9, 61, 19.3476
189, 1, horizontal, catch, NA, 999, 999, 1, 30, 133, 182, 66, 129, 119, 76, 20612, 81, 13684.8, 66, 14526.7, 68, 13.4625
189, 1, horizontal, filler, NA, 999, 999, 1, 31, 64, 79, 176, 104, 77, 156, 4778.36, 39, 13273.2, 65, 12076.3, 62, 45.0391
189, 1, horizontal, attraction, a-b-da, 9, 3, 1, 32, 120, 195, 195, 120, 186, 114, 17203.4, 74, 26590.4, 92, 23235.2, 86, 62.7112
189, 1, horizontal, attraction, a-b-db, 9, 2, 1, 33, 86, 157, 90, 165, 165, 90, 12076.3, 62, 13684.8, 66, 16741.5, 73, 16.7471
189, 1, horizontal, filler, NA, 999, 999, 1, 34, 82, 169, 139, 77, 179, 165, 10935.9, 59, 13684.8, 66, 25446.9, 90, 15.3463
189, 1, horizontal, filler, NA, 999, 999, 1, 35, 59, 76, 153, 60, 63, 92, 6082.12, 44, 10935.9, 59, 5541.77, 42, 15.3797
189, 1, horizontal, filler, NA, 999, 999, 1, 36, 123, 98, 64, 161, 137, 189, 11309.7, 60, 8171.28, 51, 14957.1, 69, 16.1132
189, 1, horizontal, attraction, a-b-da, 2, 3, 1, 37, 193, 119, 120, 195, 195, 120, 21642.4, 83, 22167.1, 84, 25446.9, 90, 18.6806
189, 1, horizontal, catch, NA, 999, 999, 1, 38, 66, 129, 194, 121, 98, 97, 9160.88, 54, 27171.6, 93, 11689.9, 61, 12.8291
189, 1, horizontal, attraction, a-b-db, 5, 3, 1, 39, 195, 120, 120, 195, 117, 190, 19113.4, 78, 18626.5, 77, 14957.1, 69, 12.879
189, 1, horizontal, filler, NA, 999, 999, 1, 40, 63, 68, 126, 173, 92, 119, 5026.55, 40, 20612, 81, 12868, 64, 17.0805
189, 1, horizontal, calibration, NA, 999, 999, 2, 1, 101, 59, 106, 185, 171, 192, 7853.98, 50, 19606.7, 79, 35298.9, 106, 19.314
189, 1, horizontal, calibration, NA, 999, 999, 2, 2, 191, 171, 120, 58, 167, 74, 38013.3, 110, 14526.7, 68, 13273.2, 65, 16.5969
189, 1, horizontal, calibration, NA, 999, 999, 2, 3, 134, 133, 142, 186, 109, 61, 18145.8, 76, 23235.2, 86, 10207, 57, 18.6139
189, 1, horizontal, catch, NA, 999, 999, 2, 1, 95, 100, 128, 67, 138, 177, 11309.7, 60, 12076.3, 62, 25446.9, 90, 26.533
189, 1, horizontal, filler, NA, 999, 999, 2, 2, 144, 126, 191, 176, 191, 99, 20612, 81, 30171.9, 98, 25446.9, 90, 19.1144
189, 1, horizontal, catch, NA, 999, 999, 2, 3, 63, 132, 159, 156, 97, 98, 9852.03, 56, 28352.9, 95, 14102.6, 67, 18.9144
189, 1, horizontal, attraction, a-b-db, 5, 3, 2, 4, 117, 190, 195, 120, 120, 195, 27759.1, 94, 33979.5, 104, 25446.9, 90, 26.9169
189, 1, horizontal, attraction, a-b-db, 9, 3, 2, 5, 120, 195, 195, 120, 114, 186, 18145.8, 76, 25446.9, 90, 20612, 81, 17.5974
189, 1, horizontal, filler, NA, 999, 999, 2, 6, 67, 141, 195, 73, 190, 91, 11689.9, 61, 22167.1, 84, 22698, 85, 22.8153
189, 1, horizontal, filler, NA, 999, 999, 2, 7, 139, 160, 81, 129, 80, 95, 22698, 85, 22167.1, 84, 14102.6, 67, 15.013
189, 1, horizontal, attraction, a-b-da, 9, 2, 2, 8, 157, 86, 90, 165, 165, 90, 12868, 64, 19606.7, 79, 15393.8, 70, 14.3297
189, 1, horizontal, filler, NA, 999, 999, 2, 9, 123, 127, 186, 154, 71, 76, 18626.5, 77, 30171.9, 98, 7542.96, 49, 12.4786
189, 1, horizontal, filler, NA, 999, 999, 2, 10, 150, 160, 193, 104, 137, 183, 22167.1, 84, 23235.2, 86, 24884.6, 89, 16.7136
189, 1, horizontal, attraction, a-b-da, 2, 2, 2, 11, 90, 165, 163, 89, 165, 90, 12076.3, 62, 19606.7, 79, 18145.8, 76, 11.6453
189, 1, horizontal, attraction, a-b-db, 2, 1, 2, 12, 60, 135, 59, 134, 135, 60, 12076.3, 62, 13684.8, 66, 13684.8, 66, 13.5623
189, 1, horizontal, attraction, a-b-da, 14, 2, 2, 13, 153, 83, 165, 90, 90, 165, 10568.3, 58, 13684.8, 66, 22167.1, 84, 14.6797
189, 1, horizontal, attraction, a-b-da, 14, 1, 2, 14, 60, 135, 135, 60, 125, 56, 7542.96, 49, 8494.87, 52, 9503.32, 55, 13.413
189, 1, horizontal, filler, NA, 999, 999, 2, 15, 107, 64, 167, 136, 152, 102, 8171.28, 51, 22698, 85, 17671.5, 75, 10.6783
189, 1, horizontal, filler, NA, 999, 999, 2, 16, 127, 58, 92, 187, 123, 110, 10568.3, 58, 16741.5, 73, 21124.1, 82, 18.2642
189, 1, horizontal, attraction, a-b-da, 5, 2, 2, 17, 165, 90, 161, 88, 90, 165, 14526.7, 68, 15393.8, 70, 15836.8, 71, 10.412
