sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
62, 2, triangle, practice, NA, 999, 999, 0, 1, 167, 160, 191, 135, 147, 171, 15836.8, 71, 16286, 72, 18145.8, 76, 17.0472
62, 2, triangle, practice, NA, 999, 999, 0, 2, 81, 158, 74, 65, 183, 174, 13273.2, 65, 3019.07, 31, 23778.7, 87, 10.5786
62, 2, triangle, practice, NA, 999, 999, 0, 3, 143, 182, 191, 180, 94, 79, 20612, 81, 32047.4, 101, 5541.77, 42, 8.44433
62, 2, triangle, calibration, NA, 999, 999, 1, 1, 73, 72, 56, 94, 94, 183, 5026.55, 40, 4536.46, 38, 13684.8, 66, 10.6952
62, 2, triangle, calibration, NA, 999, 999, 1, 2, 110, 64, 124, 193, 147, 89, 4778.36, 39, 21124.1, 82, 13273.2, 65, 11.4283
62, 2, triangle, calibration, NA, 999, 999, 1, 3, 67, 154, 100, 97, 175, 181, 7542.96, 49, 7853.98, 50, 20612, 81, 8.69458
62, 2, triangle, attraction, a-b-db, 2, 3, 1, 1, 119, 193, 195, 120, 120, 195, 17671.5, 75, 21124.1, 82, 18626.5, 77, 13.8963
62, 2, triangle, filler, NA, 999, 999, 1, 2, 94, 156, 126, 108, 71, 101, 10568.3, 58, 13684.8, 66, 6939.78, 47, 11.0453
62, 2, triangle, attraction, a-b-da, 14, 2, 1, 3, 90, 165, 153, 83, 165, 90, 12469, 63, 11689.9, 61, 12469, 63, 12.9958
62, 2, triangle, attraction, a-b-da, 9, 1, 1, 4, 129, 57, 60, 135, 135, 60, 8171.28, 51, 12868, 64, 11309.7, 60, 14.7296
62, 2, triangle, filler, NA, 999, 999, 1, 5, 106, 109, 177, 91, 168, 194, 8171.28, 51, 14102.6, 67, 22698, 85, 12.2624
62, 2, triangle, filler, NA, 999, 999, 1, 6, 68, 80, 190, 73, 81, 95, 6082.12, 44, 19113.4, 78, 7853.98, 50, 9.44464
62, 2, triangle, attraction, a-b-da, 14, 3, 1, 7, 181, 111, 120, 195, 195, 120, 16286, 72, 20612, 81, 18145.8, 76, 9.71159
62, 2, triangle, attraction, a-b-db, 14, 2, 1, 8, 83, 153, 165, 90, 90, 165, 9852.03, 56, 16741.5, 73, 16286, 72, 10.3446
62, 2, triangle, filler, NA, 999, 999, 1, 9, 99, 149, 135, 120, 122, 85, 14957.1, 69, 13684.8, 66, 12076.3, 62, 9.89504
62, 2, triangle, attraction, a-b-db, 5, 2, 1, 10, 90, 165, 88, 161, 165, 90, 12076.3, 62, 11689.9, 61, 14957.1, 69, 13.1632
62, 2, triangle, attraction, a-b-da, 2, 2, 1, 11, 90, 165, 163, 89, 165, 90, 15393.8, 70, 20106.2, 80, 14957.1, 69, 10.2615
62, 2, triangle, attraction, a-b-db, 5, 3, 1, 12, 117, 190, 120, 195, 195, 120, 21124.1, 82, 17671.5, 75, 15836.8, 71, 10.045
62, 2, triangle, attraction, a-b-db, 14, 1, 1, 13, 60, 135, 135, 60, 56, 125, 8824.73, 53, 14957.1, 69, 9852.03, 56, 14.1128
62, 2, triangle, filler, NA, 999, 999, 1, 14, 110, 146, 183, 91, 176, 191, 11689.9, 61, 13273.2, 65, 23235.2, 86, 10.995
62, 2, triangle, filler, NA, 999, 999, 1, 15, 161, 126, 120, 82, 132, 191, 22698, 85, 12469, 63, 19113.4, 78, 9.0111
62, 2, triangle, attraction, a-b-db, 9, 1, 1, 16, 60, 135, 135, 60, 57, 129, 10207, 57, 11689.9, 61, 9160.88, 54, 11.6288
62, 2, triangle, attraction, a-b-da, 2, 1, 1, 17, 60, 135, 134, 59, 135, 60, 10207, 57, 14102.6, 67, 10935.9, 59, 12.5961
62, 2, triangle, filler, NA, 999, 999, 1, 18, 120, 133, 192, 57, 70, 188, 13684.8, 66, 17203.4, 74, 17203.4, 74, 10.1782
62, 2, triangle, attraction, a-b-da, 2, 3, 1, 19, 120, 195, 193, 119, 195, 120, 14957.1, 69, 17203.4, 74, 26590.4, 92, 7.72774
62, 2, triangle, filler, NA, 999, 999, 1, 20, 141, 139, 168, 97, 167, 152, 13684.8, 66, 18626.5, 77, 18626.5, 77, 12.5792
62, 2, triangle, attraction, a-b-db, 14, 3, 1, 21, 120, 195, 195, 120, 111, 181, 17203.4, 74, 23778.7, 87, 19606.7, 79, 11.012
62, 2, triangle, attraction, a-b-db, 9, 3, 1, 22, 114, 186, 120, 195, 195, 120, 15836.8, 71, 18145.8, 76, 27759.1, 94, 11.2287
62, 2, triangle, attraction, a-b-da, 5, 3, 1, 23, 195, 120, 190, 117, 120, 195, 20612, 81, 15836.8, 71, 19113.4, 78, 9.52803
