sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
96, 1, triangle, practice, NA, 999, 999, 0, 1, 97, 68, 131, 79, 120, 161, 4071.5, 36, 8171.28, 51, 15836.8, 71, 45.3392
96, 1, triangle, practice, NA, 999, 999, 0, 2, 142, 106, 184, 62, 93, 162, 12868, 64, 8494.87, 52, 13684.8, 66, 18.6973
96, 1, triangle, practice, NA, 999, 999, 0, 3, 162, 170, 83, 109, 71, 130, 18145.8, 76, 9160.88, 54, 10207, 57, 11.6455
96, 1, triangle, calibration, NA, 999, 999, 1, 1, 152, 174, 189, 80, 75, 99, 26015.5, 91, 13684.8, 66, 6082.12, 44, 26.0499
96, 1, triangle, calibration, NA, 999, 999, 1, 2, 98, 86, 114, 165, 138, 142, 7238.23, 48, 15393.8, 70, 13684.8, 66, 16.0467
96, 1, triangle, calibration, NA, 999, 999, 1, 3, 84, 76, 65, 157, 70, 141, 6082.12, 44, 10935.9, 59, 13273.2, 65, 20.5482
96, 1, triangle, catch, NA, 999, 999, 1, 1, 114, 81, 141, 174, 104, 91, 7853.98, 50, 17671.5, 75, 9852.03, 56, 20.448
96, 1, triangle, attraction, a-b-db, 9, 1, 1, 2, 135, 60, 57, 129, 60, 135, 10207, 57, 10207, 57, 8824.73, 53, 34.3526
96, 1, triangle, attraction, a-b-db, 14, 1, 1, 3, 135, 60, 60, 135, 56, 125, 9160.88, 54, 7853.98, 50, 6082.12, 44, 26.9502
96, 1, triangle, filler, NA, 999, 999, 1, 4, 59, 158, 75, 193, 167, 139, 6939.78, 47, 9160.88, 54, 16286, 72, 14.8297
96, 1, triangle, filler, NA, 999, 999, 1, 5, 127, 78, 70, 86, 112, 149, 11689.9, 61, 5026.55, 40, 20106.2, 80, 34.7023
96, 1, triangle, filler, NA, 999, 999, 1, 6, 148, 125, 158, 129, 136, 69, 17203.4, 74, 17203.4, 74, 8824.73, 53, 24.4329
96, 1, triangle, filler, NA, 999, 999, 1, 7, 170, 182, 156, 82, 77, 168, 32685.1, 102, 10207, 57, 10568.3, 58, 27.3667
96, 1, triangle, filler, NA, 999, 999, 1, 8, 149, 77, 172, 176, 138, 144, 9503.32, 55, 21642.4, 83, 18626.5, 77, 20.6481
96, 1, triangle, attraction, a-b-da, 14, 2, 1, 9, 165, 90, 90, 165, 153, 83, 15393.8, 70, 18626.5, 77, 14102.6, 67, 25.6995
96, 1, triangle, attraction, a-b-da, 9, 3, 1, 10, 195, 120, 186, 114, 120, 195, 18145.8, 76, 15393.8, 70, 20106.2, 80, 22.1321
96, 1, triangle, attraction, a-b-db, 9, 3, 1, 11, 195, 120, 120, 195, 114, 186, 78.5398, 5, 78.5398, 5, 78.5398, 5, 8.5443
96, 1, triangle, attraction, a-b-da, 9, 1, 1, 12, 129, 57, 60, 135, 135, 60, 7238.23, 48, 10568.3, 58, 9160.88, 54, 23.3821
96, 1, triangle, filler, NA, 999, 999, 1, 13, 120, 72, 147, 75, 104, 81, 9160.88, 54, 13273.2, 65, 10207, 57, 24.2995
96, 1, triangle, attraction, a-b-da, 14, 1, 1, 14, 135, 60, 60, 135, 125, 56, 9503.32, 55, 9503.32, 55, 9160.88, 54, 15.5299
96, 1, triangle, attraction, a-b-db, 14, 3, 1, 15, 120, 195, 111, 181, 195, 120, 21642.4, 83, 17203.4, 74, 21642.4, 83, 17.7977
96, 1, triangle, attraction, a-b-da, 2, 3, 1, 16, 193, 119, 195, 120, 120, 195, 17671.5, 75, 21642.4, 83, 24328.5, 88, 25.1164
96, 1, triangle, attraction, a-b-da, 5, 1, 1, 17, 132, 58, 60, 135, 135, 60, 8171.28, 51, 10568.3, 58, 10935.9, 59, 13.9794
96, 1, triangle, attraction, a-b-da, 2, 1, 1, 18, 134, 59, 135, 60, 60, 135, 8494.87, 52, 7542.96, 49, 8494.87, 52, 38.954
96, 1, triangle, filler, NA, 999, 999, 1, 19, 174, 113, 64, 167, 105, 158, 15393.8, 70, 10207, 57, 15393.8, 70, 14.363
96, 1, triangle, attraction, a-b-db, 14, 2, 1, 20, 165, 90, 90, 165, 83, 153, 9503.32, 55, 13273.2, 65, 10568.3, 58, 16.5303
96, 1, triangle, catch, NA, 999, 999, 1, 21, 97, 98, 127, 68, 163, 152, 8824.73, 53, 9852.03, 56, 24328.5, 88, 16.8304
96, 1, triangle, attraction, a-b-da, 9, 2, 1, 22, 90, 165, 165, 90, 157, 86, 13273.2, 65, 16741.5, 73, 12868, 64, 17.4468
96, 1, triangle, attraction, a-b-da, 14, 3, 1, 23, 195, 120, 181, 111, 120, 195, 19113.4, 78, 17203.4, 74, 20106.2, 80, 19.4645
96, 1, triangle, attraction, a-b-db, 5, 1, 1, 24, 135, 60, 58, 132, 60, 135, 7542.96, 49, 12868, 64, 8824.73, 53, 26.067
96, 1, triangle, attraction, a-b-da, 2, 2, 1, 25, 90, 165, 163, 89, 165, 90, 12469, 63, 13684.8, 66, 19606.7, 79, 20.6484
96, 1, triangle, filler, NA, 999, 999, 1, 26, 67, 171, 67, 96, 132, 116, 10568.3, 58, 6082.12, 44, 12469, 63, 12.2622
96, 1, triangle, filler, NA, 999, 999, 1, 27, 57, 154, 157, 79, 177, 145, 6082.12, 44, 10935.9, 59, 24328.5, 88, 22.8658
96, 1, triangle, filler, NA, 999, 999, 1, 28, 73, 100, 131, 134, 126, 80, 7853.98, 50, 17671.5, 75, 12469, 63, 21.2485
96, 1, triangle, filler, NA, 999, 999, 1, 29, 94, 108, 143, 144, 165, 78, 10935.9, 59, 20106.2, 80, 14102.6, 67, 14.1296
96, 1, triangle, attraction, a-b-db, 5, 2, 1, 30, 90, 165, 165, 90, 88, 161, 16286, 72, 18626.5, 77, 14102.6, 67, 21.0817
96, 1, triangle, attraction, a-b-db, 2, 1, 1, 31, 60, 135, 135, 60, 59, 134, 8824.73, 53, 12868, 64, 10935.9, 59, 13.1625
96, 1, triangle, filler, NA, 999, 999, 1, 32, 124, 142, 93, 90, 59, 191, 22698, 85, 8824.73, 53, 15836.8, 71, 10.4116
96, 1, triangle, filler, NA, 999, 999, 1, 33, 70, 110, 77, 131, 182, 63, 8171.28, 51, 10935.9, 59, 19606.7, 79, 24.0493
96, 1, triangle, attraction, a-b-db, 5, 3, 1, 34, 117, 190, 120, 195, 195, 120, 14102.6, 67, 14957.1, 69, 16286, 72, 41.0048
96, 1, triangle, attraction, a-b-db, 2, 3, 1, 35, 120, 195, 195, 120, 119, 193, 22698, 85, 20106.2, 80, 19113.4, 78, 12.479
96, 1, triangle, attraction, a-b-da, 5, 3, 1, 36, 190, 117, 195, 120, 120, 195, 18626.5, 77, 24328.5, 88, 21642.4, 83, 12.4119
96, 1, triangle, filler, NA, 999, 999, 1, 37, 154, 72, 180, 114, 180, 177, 13684.8, 66, 18626.5, 77, 32047.4, 101, 10.6615
96, 1, triangle, attraction, a-b-db, 9, 2, 1, 38, 86, 157, 90, 165, 165, 90, 15836.8, 71, 14957.1, 69, 14957.1, 69, 11.1125
96, 1, triangle, attraction, a-b-db, 2, 2, 1, 39, 89, 163, 165, 90, 90, 165, 16286, 72, 13684.8, 66, 12868, 64, 10.5285
96, 1, triangle, attraction, a-b-da, 5, 2, 1, 40, 161, 88, 165, 90, 90, 165, 14102.6, 67, 15393.8, 70, 17203.4, 74, 11.9289
96, 1, triangle, calibration, NA, 999, 999, 2, 1, 176, 64, 94, 65, 166, 195, 10935.9, 59, 8171.28, 51, 38707.6, 111, 20.1646
96, 1, triangle, calibration, NA, 999, 999, 2, 2, 103, 77, 89, 86, 105, 99, 10935.9, 59, 8824.73, 53, 11689.9, 61, 22.9485
