sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
352, 1, triangle, practice, NA, 999, 999, 0, 1, 153, 131, 68, 151, 146, 104, 14526.7, 68, 9503.32, 55, 10935.9, 59, 46.2729
352, 1, triangle, practice, NA, 999, 999, 0, 2, 74, 188, 171, 182, 72, 93, 11309.7, 60, 21124.1, 82, 6939.78, 47, 48.3736
352, 1, triangle, practice, NA, 999, 999, 0, 3, 183, 69, 114, 188, 163, 115, 9160.88, 54, 12868, 64, 13684.8, 66, 32.7851
352, 1, triangle, calibration, NA, 999, 999, 1, 1, 59, 98, 144, 139, 64, 130, 7238.23, 48, 14526.7, 68, 10207, 57, 35.7364
352, 1, triangle, calibration, NA, 999, 999, 1, 2, 187, 184, 186, 162, 133, 84, 27171.6, 93, 24884.6, 89, 12868, 64, 29.7175
352, 1, triangle, calibration, NA, 999, 999, 1, 3, 156, 109, 70, 158, 63, 112, 16286, 72, 9852.03, 56, 8494.87, 52, 33.6187
352, 1, triangle, attraction, a-b-db, 2, 2, 1, 1, 89, 163, 165, 90, 90, 165, 10935.9, 59, 10568.3, 58, 11309.7, 60, 36.6528
352, 1, triangle, attraction, a-b-db, 9, 1, 1, 2, 57, 129, 60, 135, 135, 60, 7853.98, 50, 7853.98, 50, 7542.96, 49, 40.404
352, 1, triangle, attraction, a-b-da, 14, 2, 1, 3, 165, 90, 153, 83, 90, 165, 16741.5, 73, 15393.8, 70, 14102.6, 67, 33.5354
352, 1, triangle, filler, NA, 999, 999, 1, 4, 146, 117, 116, 183, 191, 79, 15836.8, 71, 18145.8, 76, 13273.2, 65, 32.135
352, 1, triangle, attraction, a-b-da, 9, 1, 1, 5, 129, 57, 60, 135, 135, 60, 6647.61, 46, 6647.61, 46, 6939.78, 47, 21.732
352, 1, triangle, attraction, a-b-da, 5, 2, 1, 6, 161, 88, 165, 90, 90, 165, 16286, 72, 16741.5, 73, 16286, 72, 30.2843
352, 1, triangle, filler, NA, 999, 999, 1, 7, 154, 123, 134, 65, 73, 108, 18145.8, 76, 6647.61, 46, 7542.96, 49, 28.4341
352, 1, triangle, filler, NA, 999, 999, 1, 8, 90, 154, 90, 82, 72, 123, 19606.7, 79, 10568.3, 58, 14526.7, 68, 32.3351
352, 1, triangle, attraction, a-b-db, 5, 2, 1, 9, 88, 161, 90, 165, 165, 90, 14957.1, 69, 17671.5, 75, 22167.1, 84, 30.2009
352, 1, triangle, filler, NA, 999, 999, 1, 10, 123, 160, 60, 84, 103, 150, 19113.4, 78, 7853.98, 50, 19113.4, 78, 30.2179
352, 1, triangle, filler, NA, 999, 999, 1, 11, 183, 77, 129, 119, 164, 169, 10935.9, 59, 16286, 72, 25446.9, 90, 28.8174
352, 1, triangle, attraction, a-b-db, 2, 3, 1, 12, 119, 193, 195, 120, 120, 195, 22167.1, 84, 24884.6, 89, 22167.1, 84, 32.3686
352, 1, triangle, attraction, a-b-db, 5, 3, 1, 13, 120, 195, 117, 190, 195, 120, 26590.4, 92, 27759.1, 94, 23778.7, 87, 27.3833
352, 1, triangle, attraction, a-b-da, 2, 3, 1, 14, 193, 119, 195, 120, 120, 195, 23235.2, 86, 24884.6, 89, 26015.5, 91, 23.1822
352, 1, triangle, filler, NA, 999, 999, 1, 15, 141, 115, 119, 62, 98, 130, 19606.7, 79, 9503.32, 55, 14957.1, 69, 23.6654
352, 1, triangle, attraction, a-b-da, 5, 3, 1, 16, 195, 120, 190, 117, 120, 195, 20612, 81, 21642.4, 83, 23235.2, 86, 36.7699
352, 1, triangle, filler, NA, 999, 999, 1, 17, 170, 133, 123, 84, 80, 151, 23235.2, 86, 11689.9, 61, 13684.8, 66, 21.6152
352, 1, triangle, filler, NA, 999, 999, 1, 18, 143, 99, 129, 96, 89, 59, 16741.5, 73, 14102.6, 67, 8494.87, 52, 31.1184
