sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
468, 3, triangle, practice, NA, 999, 999, 0, 1, 82, 106, 126, 63, 90, 195, 4300.84, 37, 4778.36, 39, 5026.55, 40, 30.1009
468, 3, triangle, practice, NA, 999, 999, 0, 2, 75, 76, 187, 140, 186, 120, 2463.01, 28, 14957.1, 69, 6361.73, 45, 20.765
468, 3, triangle, practice, NA, 999, 999, 0, 3, 187, 141, 133, 92, 147, 126, 19113.4, 78, 5808.8, 43, 8824.73, 53, 17.5473
468, 3, triangle, calibration, NA, 999, 999, 1, 1, 77, 117, 129, 93, 133, 75, 3216.99, 32, 5541.77, 42, 2827.43, 30, 18.7811
468, 3, triangle, calibration, NA, 999, 999, 1, 2, 99, 160, 68, 164, 63, 74, 15836.8, 71, 6082.12, 44, 3216.99, 32, 17.5974
468, 3, triangle, calibration, NA, 999, 999, 1, 3, 123, 141, 187, 87, 103, 145, 13684.8, 66, 8824.73, 53, 11689.9, 61, 23.6491
468, 3, triangle, filler, NA, 999, 999, 1, 1, 195, 118, 141, 68, 130, 172, 21124.1, 82, 8494.87, 52, 14526.7, 68, 10.545
468, 3, triangle, attraction, a-b-db, 5, 2, 1, 2, 90, 165, 165, 90, 88, 161, 18145.8, 76, 12076.3, 62, 10207, 57, 10.145
468, 3, triangle, attraction, a-b-da, 2, 3, 1, 3, 120, 195, 195, 120, 193, 119, 18626.5, 77, 14102.6, 67, 15393.8, 70, 20.5815
468, 3, triangle, attraction, a-b-db, 9, 3, 1, 4, 195, 120, 114, 186, 120, 195, 27171.6, 93, 13273.2, 65, 20612, 81, 10.9784
468, 3, triangle, attraction, a-b-db, 14, 1, 1, 5, 135, 60, 60, 135, 56, 125, 8824.73, 53, 7542.96, 49, 8824.73, 53, 9.09481
468, 3, triangle, filler, NA, 999, 999, 1, 6, 98, 62, 142, 178, 191, 185, 3631.68, 34, 21642.4, 83, 28952.9, 96, 12.6288
468, 3, triangle, attraction, a-b-da, 14, 3, 1, 7, 181, 111, 195, 120, 120, 195, 5281.02, 41, 10935.9, 59, 13684.8, 66, 7.07728
468, 3, triangle, filler, NA, 999, 999, 1, 8, 124, 130, 146, 153, 182, 121, 6647.61, 46, 16286, 72, 12469, 63, 7.52734
468, 3, triangle, filler, NA, 999, 999, 1, 9, 109, 134, 181, 143, 89, 103, 10935.9, 59, 18626.5, 77, 3848.45, 35, 8.34459
468, 3, triangle, attraction, a-b-da, 9, 3, 1, 10, 186, 114, 195, 120, 120, 195, 21124.1, 82, 15393.8, 70, 14526.7, 68, 8.31088
