sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
480, 5, triangle, practice, NA, 999, 999, 0, 1, 160, 133, 60, 102, 182, 157, 11309.7, 60, 2827.43, 30, 12469, 63, 22.4251
480, 5, triangle, practice, NA, 999, 999, 0, 2, 128, 108, 111, 150, 160, 150, 14957.1, 69, 17203.4, 74, 24884.6, 89, 22.4251
480, 5, triangle, practice, NA, 999, 999, 0, 3, 161, 188, 166, 162, 72, 75, 30790.7, 99, 32685.1, 102, 6939.78, 47, 18.4252
480, 5, triangle, calibration, NA, 999, 999, 1, 1, 131, 126, 162, 192, 153, 162, 20106.2, 80, 38013.3, 110, 19113.4, 78, 24.7919
480, 5, triangle, calibration, NA, 999, 999, 1, 2, 128, 126, 65, 90, 130, 162, 18626.5, 77, 8824.73, 53, 27759.1, 94, 19.0585
480, 5, triangle, calibration, NA, 999, 999, 1, 3, 90, 129, 159, 80, 141, 117, 16741.5, 73, 12868, 64, 15393.8, 70, 22.2585
480, 5, triangle, filler, NA, 999, 999, 1, 1, 72, 85, 194, 170, 64, 129, 10568.3, 58, 18626.5, 77, 12868, 64, 19.9917
480, 5, triangle, attraction, a-b-da, 9, 2, 1, 2, 165, 90, 157, 86, 90, 165, 13273.2, 65, 16741.5, 73, 17671.5, 75, 20.4251
480, 5, triangle, attraction, a-b-da, 2, 1, 1, 3, 135, 60, 60, 135, 134, 59, 16741.5, 73, 18626.5, 77, 15836.8, 71, 34.0583
480, 5, triangle, attraction, a-b-da, 5, 1, 1, 4, 132, 58, 135, 60, 60, 135, 16286, 72, 15393.8, 70, 16741.5, 73, 11.6252
480, 5, triangle, attraction, a-b-db, 2, 1, 1, 5, 59, 134, 60, 135, 135, 60, 14526.7, 68, 12076.3, 62, 15393.8, 70, 8.49188
480, 5, triangle, attraction, a-b-db, 2, 3, 1, 6, 120, 195, 119, 193, 195, 120, 21124.1, 82, 17671.5, 75, 16286, 72, 14.7251
480, 5, triangle, attraction, a-b-da, 5, 2, 1, 7, 90, 165, 161, 88, 165, 90, 20106.2, 80, 17203.4, 74, 18626.5, 77, 11.6252
480, 5, triangle, filler, NA, 999, 999, 1, 8, 170, 138, 91, 83, 169, 125, 10935.9, 59, 22167.1, 84, 16741.5, 73, 15.3253
480, 5, triangle, filler, NA, 999, 999, 1, 9, 125, 124, 176, 157, 168, 183, 13684.8, 66, 21642.4, 83, 17203.4, 74, 14.1252
480, 5, triangle, attraction, a-b-db, 9, 3, 1, 10, 120, 195, 114, 186, 195, 120, 16286, 72, 20106.2, 80, 15393.8, 70, 12.2918
480, 5, triangle, filler, NA, 999, 999, 1, 11, 92, 126, 64, 120, 102, 172, 12868, 64, 8824.73, 53, 16286, 72, 12.9586
480, 5, triangle, catch, NA, 999, 999, 1, 12, 65, 130, 161, 154, 114, 81, 12868, 64, 17203.4, 74, 9503.32, 55, 14.2918
480, 5, triangle, attraction, a-b-db, 14, 2, 1, 13, 165, 90, 83, 153, 90, 165, 14102.6, 67, 13684.8, 66, 12868, 64, 10.4917
480, 5, triangle, attraction, a-b-db, 5, 1, 1, 14, 58, 132, 60, 135, 135, 60, 14526.7, 68, 19113.4, 78, 13273.2, 65, 10.8583
480, 5, triangle, filler, NA, 999, 999, 1, 15, 57, 132, 131, 160, 132, 112, 11689.9, 61, 13684.8, 66, 16286, 72, 10.3585
480, 5, triangle, attraction, a-b-da, 5, 3, 1, 16, 190, 117, 120, 195, 195, 120, 18626.5, 77, 21642.4, 83, 18145.8, 76, 11.8917
480, 5, triangle, attraction, a-b-da, 14, 2, 1, 17, 90, 165, 165, 90, 153, 83, 18626.5, 77, 22167.1, 84, 20612, 81, 11.3918
480, 5, triangle, filler, NA, 999, 999, 1, 18, 95, 97, 89, 96, 180, 187, 6647.61, 46, 8824.73, 53, 24328.5, 88, 5.75857
480, 5, triangle, filler, NA, 999, 999, 1, 19, 61, 172, 156, 89, 86, 156, 25446.9, 90, 45996.1, 121, 15393.8, 70, 10.3918
480, 5, triangle, attraction, a-b-db, 5, 2, 1, 20, 165, 90, 90, 165, 88, 161, 21642.4, 83, 22698, 85, 15836.8, 71, 5.35856
480, 5, triangle, attraction, a-b-db, 9, 1, 1, 21, 135, 60, 57, 129, 60, 135, 11689.9, 61, 14526.7, 68, 8824.73, 53, 4.45853
480, 5, triangle, filler, NA, 999, 999, 1, 22, 160, 113, 87, 105, 98, 166, 20612, 81, 10935.9, 59, 17671.5, 75, 5.89191
480, 5, triangle, attraction, a-b-db, 14, 3, 1, 23, 195, 120, 111, 181, 120, 195, 32047.4, 101, 26590.4, 92, 23778.7, 87, 7.79181
480, 5, triangle, filler, NA, 999, 999, 1, 24, 80, 164, 122, 88, 179, 171, 17203.4, 74, 16741.5, 73, 22167.1, 84, 7.32519
480, 5, triangle, attraction, a-b-db, 5, 3, 1, 25, 120, 195, 117, 190, 195, 120, 18145.8, 76, 14526.7, 68, 20106.2, 80, 5.09184
480, 5, triangle, attraction, a-b-da, 9, 1, 1, 26, 135, 60, 60, 135, 129, 57, 14526.7, 68, 22167.1, 84, 10935.9, 59, 9.29177
480, 5, triangle, attraction, a-b-da, 2, 3, 1, 27, 195, 120, 193, 119, 120, 195, 21642.4, 83, 26590.4, 92, 15836.8, 71, 12.6252
480, 5, triangle, attraction, a-b-db, 9, 2, 1, 28, 86, 157, 165, 90, 90, 165, 15393.8, 70, 25446.9, 90, 21124.1, 82, 5.22524
480, 5, triangle, attraction, a-b-da, 14, 3, 1, 29, 181, 111, 195, 120, 120, 195, 16286, 72, 21124.1, 82, 19113.4, 78, 5.89191
480, 5, triangle, filler, NA, 999, 999, 1, 30, 160, 90, 167, 109, 122, 101, 26590.4, 92, 34636.1, 105, 10207, 57, 7.1252
480, 5, triangle, filler, NA, 999, 999, 1, 31, 56, 95, 142, 94, 141, 69, 17203.4, 74, 26590.4, 92, 19113.4, 78, 10.0582
480, 5, triangle, filler, NA, 999, 999, 1, 32, 178, 156, 189, 126, 123, 129, 30790.7, 99, 32685.1, 102, 15393.8, 70, 9.25851
480, 5, triangle, attraction, a-b-da, 2, 2, 1, 33, 163, 89, 165, 90, 90, 165, 22167.1, 84, 18626.5, 77, 18145.8, 76, 6.19183
480, 5, triangle, attraction, a-b-da, 9, 3, 1, 34, 195, 120, 120, 195, 186, 114, 20612, 81, 26015.5, 91, 19113.4, 78, 8.12517
