sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, circle1_area, circle1_rad, circle2_area, circle2_rad, circle3_area, circle3_rad, rt 
39, 3, horizontal, practice, NA, 999, 999, 0, 1, 76, 61, 182, 119, 184, 59, 6361.73, 45, 19113.4, 78, 15393.8, 70, 19.631
39, 3, horizontal, practice, NA, 999, 999, 0, 2, 150, 71, 168, 83, 147, 91, 8824.73, 53, 10935.9, 59, 12076.3, 62, 21.265
39, 3, horizontal, practice, NA, 999, 999, 0, 3, 60, 147, 97, 121, 175, 111, 9852.03, 56, 12076.3, 62, 20612, 81, 15.3299
39, 3, horizontal, calibration, NA, 999, 999, 1, 1, 60, 141, 95, 170, 110, 131, 11309.7, 60, 18145.8, 76, 18145.8, 76, 17.847
39, 3, horizontal, calibration, NA, 999, 999, 1, 2, 78, 147, 100, 88, 98, 56, 11309.7, 60, 11689.9, 61, 6647.61, 46, 13.6292
39, 3, horizontal, calibration, NA, 999, 999, 1, 3, 118, 118, 158, 111, 136, 173, 10568.3, 58, 19113.4, 78, 40115, 113, 15.9468
39, 3, horizontal, attraction, a-b-da, 2, 3, 1, 1, 195, 120, 193, 119, 120, 195, 34636.1, 105, 30171.9, 98, 32047.4, 101, 22.8155
39, 3, horizontal, filler, NA, 999, 999, 1, 2, 66, 82, 138, 143, 74, 183, 4778.36, 39, 17203.4, 74, 9160.88, 54, 14.9796
39, 3, horizontal, filler, NA, 999, 999, 1, 3, 147, 174, 194, 181, 77, 112, 23235.2, 86, 39408.1, 112, 10935.9, 59, 15.0135
39, 3, horizontal, filler, NA, 999, 999, 1, 4, 193, 185, 84, 72, 101, 74, 34636.1, 105, 6939.78, 47, 10207, 57, 10.6952
39, 3, horizontal, filler, NA, 999, 999, 1, 5, 179, 152, 136, 156, 123, 141, 30790.7, 99, 26015.5, 91, 14102.6, 67, 20.3314
39, 3, horizontal, filler, NA, 999, 999, 1, 6, 122, 170, 100, 141, 109, 137, 22698, 85, 12076.3, 62, 12076.3, 62, 15.5798
39, 3, horizontal, filler, NA, 999, 999, 1, 7, 128, 141, 171, 88, 150, 74, 21642.4, 83, 15836.8, 71, 9160.88, 54, 15.5967
39, 3, horizontal, attraction, a-b-da, 2, 2, 1, 8, 163, 89, 90, 165, 165, 90, 14526.7, 68, 11689.9, 61, 12868, 64, 15.2297
39, 3, horizontal, filler, NA, 999, 999, 1, 9, 181, 170, 101, 171, 77, 127, 35298.9, 106, 14102.6, 67, 6939.78, 47, 11.9956
39, 3, horizontal, attraction, a-b-da, 2, 1, 1, 10, 135, 60, 134, 59, 60, 135, 7542.96, 49, 6361.73, 45, 7238.23, 48, 14.3798
39, 3, horizontal, attraction, a-b-da, 5, 2, 1, 11, 161, 88, 165, 90, 90, 165, 13273.2, 65, 11689.9, 61, 11309.7, 60, 13.9296
39, 3, horizontal, catch, NA, 999, 999, 1, 12, 98, 97, 163, 152, 72, 123, 7542.96, 49, 22167.1, 84, 7238.23, 48, 19.1644
39, 3, horizontal, filler, NA, 999, 999, 1, 13, 87, 160, 175, 143, 187, 105, 10207, 57, 23235.2, 86, 15393.8, 70, 15.4463
39, 3, horizontal, filler, NA, 999, 999, 1, 14, 95, 124, 87, 169, 124, 93, 13684.8, 66, 21124.1, 82, 10207, 57, 14.4463
39, 3, horizontal, attraction, a-b-db, 5, 2, 1, 15, 88, 161, 165, 90, 90, 165, 15393.8, 70, 16741.5, 73, 13273.2, 65, 11.0951
39, 3, horizontal, attraction, a-b-da, 9, 2, 1, 16, 157, 86, 165, 90, 90, 165, 12868, 64, 15393.8, 70, 14526.7, 68, 11.1618
39, 3, horizontal, attraction, a-b-db, 14, 2, 1, 17, 90, 165, 83, 153, 165, 90, 15393.8, 70, 14957.1, 69, 15836.8, 71, 10.4119
39, 3, horizontal, attraction, a-b-da, 5, 3, 1, 18, 195, 120, 190, 117, 120, 195, 26590.4, 92, 27171.6, 93, 28952.9, 96, 17.3639
39, 3, horizontal, attraction, a-b-db, 2, 1, 1, 19, 60, 135, 135, 60, 59, 134, 12868, 64, 12076.3, 62, 10207, 57, 18.9641
39, 3, horizontal, filler, NA, 999, 999, 1, 20, 123, 131, 110, 180, 185, 68, 23235.2, 86, 21642.4, 83, 12076.3, 62, 8.96112
39, 3, horizontal, attraction, a-b-da, 5, 1, 1, 21, 60, 135, 132, 58, 135, 60, 10207, 57, 10207, 57, 8494.87, 52, 14.046
39, 3, horizontal, attraction, a-b-da, 14, 3, 1, 22, 120, 195, 181, 111, 195, 120, 23778.7, 87, 23235.2, 86, 22698, 85, 25.4331
