sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
316, 5, triangle, practice, NA, 999, 999, 0, 1, 138, 115, 122, 141, 131, 67, 2, 4.44242
316, 5, triangle, practice, NA, 999, 999, 0, 2, 83, 170, 74, 61, 177, 195, 3, 1.75532
316, 5, triangle, practice, NA, 999, 999, 0, 3, 124, 123, 132, 145, 81, 151, 2, 1.68661
316, 5, triangle, attraction, a-b-da, 5, 2, 1, 1, 165, 90, 90, 165, 161, 88, 2, 3.49886
316, 5, triangle, filler, NA, 999, 999, 1, 2, 195, 138, 138, 79, 92, 107, 1, 1.50457
316, 5, triangle, attraction, a-b-db, 9, 2, 1, 3, 86, 157, 165, 90, 90, 165, 3, 3.35077
316, 5, triangle, attraction, a-b-db, 14, 1, 1, 4, 56, 125, 60, 135, 135, 60, 3, 8.95673
316, 5, triangle, filler, NA, 999, 999, 1, 5, 188, 63, 58, 69, 61, 95, 1, 1.4511
316, 5, triangle, attraction, a-b-db, 9, 3, 1, 6, 114, 186, 195, 120, 120, 195, 2, 5.04192
316, 5, triangle, filler, NA, 999, 999, 1, 7, 140, 171, 89, 90, 169, 110, 1, 2.53147
316, 5, triangle, attraction, a-b-db, 5, 2, 1, 8, 90, 165, 88, 161, 165, 90, 3, 3.0003
316, 5, triangle, filler, NA, 999, 999, 1, 9, 137, 88, 150, 89, 88, 125, 2, 1.61117
316, 5, triangle, attraction, a-b-db, 9, 1, 1, 10, 135, 60, 60, 135, 57, 129, 2, 1.90355
316, 5, triangle, attraction, a-b-db, 5, 1, 1, 11, 60, 135, 135, 60, 58, 132, 2, 3.06122
316, 5, triangle, attraction, a-b-da, 9, 1, 1, 12, 129, 57, 60, 135, 135, 60, 3, 1.3908
316, 5, triangle, attraction, a-b-da, 2, 3, 1, 13, 195, 120, 120, 195, 193, 119, 2, 2.77656
316, 5, triangle, attraction, a-b-db, 14, 2, 1, 14, 165, 90, 83, 153, 90, 165, 3, 1.79764
316, 5, triangle, attraction, a-b-da, 9, 2, 1, 15, 157, 86, 165, 90, 90, 165, 2, 2.13668
316, 5, triangle, attraction, a-b-da, 14, 2, 1, 16, 165, 90, 90, 165, 153, 83, 1, 1.33332
316, 5, triangle, attraction, a-b-db, 14, 3, 1, 17, 120, 195, 195, 120, 111, 181, 1, 2.225
316, 5, triangle, attraction, a-b-da, 14, 1, 1, 18, 135, 60, 125, 56, 60, 135, 3, 1.97347
316, 5, triangle, attraction, a-b-db, 2, 2, 1, 19, 90, 165, 165, 90, 89, 163, 1, 2.43326
316, 5, triangle, attraction, a-b-da, 5, 3, 1, 20, 195, 120, 190, 117, 120, 195, 1, 2.10441
316, 5, triangle, attraction, a-b-db, 2, 3, 1, 21, 195, 120, 120, 195, 119, 193, 2, 1.72743
316, 5, triangle, attraction, a-b-db, 5, 3, 1, 22, 120, 195, 195, 120, 117, 190, 1, 1.96988
316, 5, triangle, attraction, a-b-da, 14, 3, 1, 23, 181, 111, 120, 195, 195, 120, 2, 1.59293
316, 5, triangle, attraction, a-b-da, 5, 1, 1, 24, 135, 60, 132, 58, 60, 135, 3, 2.09576
316, 5, triangle, attraction, a-b-da, 2, 2, 1, 25, 165, 90, 163, 89, 90, 165, 3, 1.9648
316, 5, triangle, attraction, a-b-da, 9, 3, 1, 26, 120, 195, 195, 120, 186, 114, 2, 1.59209
316, 5, triangle, filler, NA, 999, 999, 1, 27, 189, 100, 127, 141, 56, 92, 1, 1.34179
316, 5, triangle, attraction, a-b-da, 2, 1, 1, 28, 60, 135, 134, 59, 135, 60, 3, 2.07146
316, 5, triangle, filler, NA, 999, 999, 1, 29, 109, 84, 152, 87, 108, 177, 3, 1.55972
316, 5, triangle, filler, NA, 999, 999, 1, 30, 128, 193, 153, 104, 74, 150, 1, 2.12649
