sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
334, 5, triangle, practice, NA, 999, 999, 0, 1, 72, 143, 76, 119, 178, 107, 3, 2.45018
334, 5, triangle, practice, NA, 999, 999, 0, 2, 193, 122, 101, 148, 100, 163, 1, 2.45002
334, 5, triangle, practice, NA, 999, 999, 0, 3, 177, 157, 189, 67, 148, 119, 1, 4.72534
334, 5, triangle, attraction, a-b-da, 14, 2, 1, 1, 165, 90, 90, 165, 153, 83, 2, 3.99149
334, 5, triangle, attraction, a-b-db, 9, 1, 1, 2, 57, 129, 135, 60, 60, 135, 1, 2.57187
334, 5, triangle, filler, NA, 999, 999, 1, 3, 188, 69, 86, 131, 85, 113, 1, 5.87994
334, 5, triangle, attraction, a-b-db, 14, 2, 1, 4, 83, 153, 90, 165, 165, 90, 3, 3.94239
334, 5, triangle, attraction, a-b-da, 2, 1, 1, 5, 134, 59, 135, 60, 60, 135, 3, 9.75436
334, 5, triangle, filler, NA, 999, 999, 1, 6, 102, 168, 181, 195, 162, 115, 2, 1.95397
334, 5, triangle, attraction, a-b-da, 9, 3, 1, 7, 120, 195, 186, 114, 195, 120, 3, 5.42097
334, 5, triangle, attraction, a-b-db, 9, 2, 1, 8, 86, 157, 90, 165, 165, 90, 2, 2.19904
334, 5, triangle, filler, NA, 999, 999, 1, 9, 140, 119, 57, 134, 111, 141, 1, 1.88136
334, 5, triangle, attraction, a-b-da, 5, 1, 1, 10, 60, 135, 135, 60, 132, 58, 1, 2.89673
334, 5, triangle, attraction, a-b-da, 2, 3, 1, 11, 193, 119, 120, 195, 195, 120, 2, 5.87953
334, 5, triangle, attraction, a-b-db, 5, 3, 1, 12, 195, 120, 117, 190, 120, 195, 3, 3.13252
334, 5, triangle, attraction, a-b-db, 5, 2, 1, 13, 88, 161, 165, 90, 90, 165, 3, 2.98786
334, 5, triangle, filler, NA, 999, 999, 1, 14, 118, 126, 119, 97, 124, 89, 1, 2.24793
334, 5, triangle, filler, NA, 999, 999, 1, 15, 113, 117, 104, 93, 126, 129, 3, 1.83009
334, 5, triangle, filler, NA, 999, 999, 1, 16, 115, 150, 117, 62, 137, 62, 1, 1.73623
334, 5, triangle, attraction, a-b-db, 2, 1, 1, 17, 59, 134, 60, 135, 135, 60, 2, 2.94332
334, 5, triangle, filler, NA, 999, 999, 1, 18, 192, 92, 146, 85, 154, 149, 3, 4.69912
334, 5, triangle, attraction, a-b-da, 14, 3, 1, 19, 120, 195, 195, 120, 181, 111, 1, 4.27411
334, 5, triangle, attraction, a-b-db, 9, 3, 1, 20, 195, 120, 120, 195, 114, 186, 2, 4.08156
334, 5, triangle, attraction, a-b-da, 2, 2, 1, 21, 165, 90, 163, 89, 90, 165, 1, 3.61564
334, 5, triangle, attraction, a-b-da, 9, 1, 1, 22, 129, 57, 60, 135, 135, 60, 3, 3.73202
334, 5, triangle, filler, NA, 999, 999, 1, 23, 61, 69, 180, 71, 129, 148, 3, 4.23341
334, 5, triangle, attraction, a-b-da, 5, 2, 1, 24, 90, 165, 161, 88, 165, 90, 1, 5.21703
334, 5, triangle, attraction, a-b-db, 2, 2, 1, 25, 165, 90, 90, 165, 89, 163, 3, 1.93106
334, 5, triangle, attraction, a-b-db, 14, 3, 1, 26, 111, 181, 120, 195, 195, 120, 2, 1.7457
334, 5, triangle, attraction, a-b-db, 2, 3, 1, 27, 195, 120, 120, 195, 119, 193, 2, 3.79027
334, 5, triangle, attraction, a-b-db, 14, 1, 1, 28, 135, 60, 56, 125, 60, 135, 2, 2.16822
334, 5, triangle, filler, NA, 999, 999, 1, 29, 141, 191, 137, 110, 85, 58, 1, 1.37992
334, 5, triangle, attraction, a-b-da, 5, 3, 1, 30, 195, 120, 190, 117, 120, 195, 1, 1.9988
334, 5, triangle, attraction, a-b-db, 5, 1, 1, 31, 60, 135, 135, 60, 58, 132, 1, 1.74636
334, 5, triangle, filler, NA, 999, 999, 1, 32, 193, 152, 65, 160, 162, 164, 1, 1.72938
334, 5, triangle, attraction, a-b-da, 14, 1, 1, 33, 125, 56, 60, 135, 135, 60, 2, 2.66996
334, 5, triangle, attraction, a-b-da, 9, 2, 1, 34, 90, 165, 157, 86, 165, 90, 1, 5.725
334, 5, triangle, attraction, a-b-db, 14, 3, 2, 1, 120, 195, 195, 120, 111, 181, 1, 2.57036
334, 5, triangle, attraction, a-b-db, 2, 1, 2, 2, 60, 135, 135, 60, 59, 134, 1, 1.88731
334, 5, triangle, attraction, a-b-da, 9, 3, 2, 3, 195, 120, 186, 114, 120, 195, 1, 2.10107
334, 5, triangle, attraction, a-b-db, 9, 3, 2, 4, 195, 120, 114, 186, 120, 195, 1, 1.93318
334, 5, triangle, attraction, a-b-da, 5, 2, 2, 5, 161, 88, 90, 165, 165, 90, 2, 2.08338
334, 5, triangle, filler, NA, 999, 999, 2, 6, 183, 126, 152, 159, 144, 169, 3, 4.7843
334, 5, triangle, filler, NA, 999, 999, 2, 7, 148, 84, 192, 92, 193, 148, 3, 1.66214
334, 5, triangle, attraction, a-b-da, 5, 3, 2, 8, 120, 195, 195, 120, 190, 117, 1, 3.52447
334, 5, triangle, filler, NA, 999, 999, 2, 9, 90, 142, 64, 64, 111, 112, 1, 6.78652
334, 5, triangle, filler, NA, 999, 999, 2, 10, 78, 112, 110, 172, 104, 79, 2, 2.27764
334, 5, triangle, attraction, a-b-db, 5, 3, 2, 11, 117, 190, 195, 120, 120, 195, 3, 3.3828
334, 5, triangle, attraction, a-b-db, 9, 2, 2, 12, 90, 165, 165, 90, 86, 157, 1, 4.27471
