sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
313\, 4, triangle, practice, NA, 999, 999, 0, 1, 192, 159, 61, 72, 131, 126, 1, 3.07478
313\, 4, triangle, practice, NA, 999, 999, 0, 2, 119, 92, 115, 179, 134, 135, 2, 3.16046
313\, 4, triangle, practice, NA, 999, 999, 0, 3, 172, 195, 60, 120, 142, 183, 1, 1.90082
313\, 4, triangle, attraction, a-b-db, 9, 3, 1, 1, 114, 186, 195, 120, 120, 195, 3, 4.33809
313\, 4, triangle, attraction, a-b-db, 9, 2, 1, 2, 165, 90, 86, 157, 90, 165, 3, 5.1414
313\, 4, triangle, attraction, a-b-da, 14, 1, 1, 3, 135, 60, 125, 56, 60, 135, 3, 7.15544
313\, 4, triangle, attraction, a-b-da, 5, 1, 1, 4, 60, 135, 132, 58, 135, 60, 2, 13.7927
313\, 4, triangle, filler, NA, 999, 999, 1, 5, 86, 156, 107, 183, 81, 92, 2, 2.43604
313\, 4, triangle, filler, NA, 999, 999, 1, 6, 129, 133, 92, 58, 143, 114, 1, 6.82176
313\, 4, triangle, attraction, a-b-da, 9, 2, 1, 7, 157, 86, 90, 165, 165, 90, 2, 3.31386
313\, 4, triangle, attraction, a-b-db, 2, 3, 1, 8, 195, 120, 119, 193, 120, 195, 1, 7.03801
313\, 4, triangle, attraction, a-b-db, 2, 1, 1, 9, 135, 60, 59, 134, 60, 135, 2, 4.38384
313\, 4, triangle, filler, NA, 999, 999, 1, 10, 78, 63, 69, 159, 120, 105, 3, 2.53158
313\, 4, triangle, filler, NA, 999, 999, 1, 11, 56, 117, 103, 91, 104, 165, 3, 1.58506
313\, 4, triangle, attraction, a-b-da, 2, 2, 1, 12, 163, 89, 90, 165, 165, 90, 2, 9.09938
313\, 4, triangle, attraction, a-b-db, 9, 1, 1, 13, 135, 60, 60, 135, 57, 129, 1, 5.1155
313\, 4, triangle, filler, NA, 999, 999, 1, 14, 185, 120, 62, 85, 108, 110, 1, 2.52731
313\, 4, triangle, attraction, a-b-db, 5, 1, 1, 15, 58, 132, 60, 135, 135, 60, 3, 3.41429
