sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
470, 5, triangle, practice, NA, 999, 999, 0, 1, 81, 130, 87, 163, 109, 127, 2, 3.82703
470, 5, triangle, practice, NA, 999, 999, 0, 2, 159, 179, 115, 115, 160, 83, 1, 2.38044
470, 5, triangle, practice, NA, 999, 999, 0, 3, 90, 71, 157, 184, 162, 81, 2, 1.8559
470, 5, triangle, attraction, a-b-da, 14, 2, 1, 1, 165, 90, 153, 83, 90, 165, 3, 6.13739
470, 5, triangle, attraction, a-b-db, 5, 3, 1, 2, 195, 120, 117, 190, 120, 195, 2, 7.15162
470, 5, triangle, attraction, a-b-da, 2, 3, 1, 3, 193, 119, 120, 195, 195, 120, 2, 5.69296
470, 5, triangle, filler, NA, 999, 999, 1, 4, 63, 98, 108, 99, 173, 71, 3, 37.1973
470, 5, triangle, attraction, a-b-da, 2, 1, 1, 5, 135, 60, 60, 135, 134, 59, 2, 22.35
470, 5, triangle, attraction, a-b-db, 9, 1, 1, 6, 60, 135, 57, 129, 135, 60, 1, 6.72928
470, 5, triangle, filler, NA, 999, 999, 1, 7, 124, 137, 148, 167, 90, 66, 2, 1.92082
470, 5, triangle, filler, NA, 999, 999, 1, 8, 142, 112, 152, 189, 172, 82, 2, 1.35801
470, 5, triangle, filler, NA, 999, 999, 1, 9, 143, 87, 131, 81, 97, 88, 1, 1.80283
470, 5, triangle, filler, NA, 999, 999, 1, 10, 130, 172, 78, 97, 59, 63, 1, 1.92428
470, 5, triangle, attraction, a-b-db, 14, 1, 1, 11, 135, 60, 60, 135, 56, 125, 2, 4.6133
470, 5, triangle, attraction, a-b-db, 14, 2, 1, 12, 165, 90, 83, 153, 90, 165, 3, 2.72431
470, 5, triangle, attraction, a-b-db, 2, 3, 1, 13, 195, 120, 120, 195, 119, 193, 2, 2.86799
470, 5, triangle, attraction, a-b-da, 5, 2, 1, 14, 90, 165, 165, 90, 161, 88, 2, 2.49911
470, 5, triangle, attraction, a-b-db, 2, 1, 1, 15, 60, 135, 59, 134, 135, 60, 2, 5.50598
470, 5, triangle, attraction, a-b-da, 9, 3, 1, 16, 186, 114, 195, 120, 120, 195, 2, 6.00911
470, 5, triangle, attraction, a-b-da, 9, 2, 1, 17, 165, 90, 90, 165, 157, 86, 2, 2.68398
470, 5, triangle, attraction, a-b-da, 5, 1, 1, 18, 60, 135, 132, 58, 135, 60, 1, 3.33083
470, 5, triangle, attraction, a-b-da, 14, 1, 1, 19, 60, 135, 135, 60, 125, 56, 1, 2.98671
470, 5, triangle, attraction, a-b-da, 14, 3, 1, 20, 120, 195, 195, 120, 181, 111, 1, 4.08377
470, 5, triangle, attraction, a-b-da, 9, 1, 1, 21, 60, 135, 135, 60, 129, 57, 1, 4.26623
470, 5, triangle, attraction, a-b-db, 2, 2, 1, 22, 165, 90, 90, 165, 89, 163, 2, 2.8573
470, 5, triangle, attraction, a-b-db, 9, 3, 1, 23, 114, 186, 195, 120, 120, 195, 2, 4.13274
470, 5, triangle, filler, NA, 999, 999, 1, 24, 111, 84, 160, 146, 75, 62, 2, 4.58642
470, 5, triangle, attraction, a-b-db, 5, 2, 1, 25, 165, 90, 90, 165, 88, 161, 2, 2.03602
470, 5, triangle, filler, NA, 999, 999, 1, 26, 189, 64, 164, 140, 95, 102, 2, 1.84385
470, 5, triangle, attraction, a-b-db, 5, 1, 1, 27, 58, 132, 60, 135, 135, 60, 2, 3.36694
470, 5, triangle, attraction, a-b-da, 5, 3, 1, 28, 195, 120, 120, 195, 190, 117, 2, 3.24177
470, 5, triangle, filler, NA, 999, 999, 1, 29, 152, 155, 142, 134, 56, 79, 1, 1.99574
470, 5, triangle, attraction, a-b-db, 14, 3, 1, 30, 111, 181, 195, 120, 120, 195, 2, 2.54245
470, 5, triangle, attraction, a-b-da, 2, 2, 1, 31, 163, 89, 165, 90, 90, 165, 3, 4.0775
470, 5, triangle, filler, NA, 999, 999, 1, 32, 146, 107, 59, 107, 120, 62, 1, 1.78022
470, 5, triangle, attraction, a-b-db, 9, 2, 1, 33, 86, 157, 90, 165, 165, 90, 2, 2.62359
470, 5, triangle, filler, NA, 999, 999, 1, 34, 57, 79, 140, 119, 126, 159, 3, 2.12941
470, 5, triangle, attraction, a-b-da, 14, 1, 2, 1, 60, 135, 125, 56, 135, 60, 1, 2.44525
470, 5, triangle, filler, NA, 999, 999, 2, 2, 175, 60, 175, 141, 165, 141, 2, 2.86339
470, 5, triangle, filler, NA, 999, 999, 2, 3, 72, 82, 112, 176, 123, 134, 2, 1.92067
470, 5, triangle, attraction, a-b-db, 14, 3, 2, 4, 195, 120, 120, 195, 111, 181, 1, 5.99857
470, 5, triangle, filler, NA, 999, 999, 2, 5, 95, 132, 57, 169, 193, 117, 3, 1.75909
470, 5, triangle, attraction, a-b-da, 2, 1, 2, 6, 135, 60, 134, 59, 60, 135, 3, 1.73964
470, 5, triangle, filler, NA, 999, 999, 2, 7, 161, 192, 89, 168, 173, 130, 1, 1.65949
470, 5, triangle, attraction, a-b-db, 5, 3, 2, 8, 195, 120, 120, 195, 117, 190, 2, 2.22713
470, 5, triangle, filler, NA, 999, 999, 2, 9, 85, 92, 161, 61, 146, 185, 3, 1.90903
470, 5, triangle, attraction, a-b-da, 9, 1, 2, 10, 129, 57, 135, 60, 60, 135, 3, 3.21308
470, 5, triangle, attraction, a-b-db, 5, 1, 2, 11, 58, 132, 60, 135, 135, 60, 1, 1.63762
470, 5, triangle, attraction, a-b-db, 2, 1, 2, 12, 60, 135, 59, 134, 135, 60, 1, 2.33601
470, 5, triangle, attraction, a-b-da, 5, 3, 2, 13, 190, 117, 195, 120, 120, 195, 3, 2.79491
470, 5, triangle, filler, NA, 999, 999, 2, 14, 141, 180, 116, 109, 143, 168, 1, 3.42546
470, 5, triangle, filler, NA, 999, 999, 2, 15, 58, 168, 153, 91, 109, 100, 2, 2.68345
470, 5, triangle, attraction, a-b-da, 5, 1, 2, 16, 135, 60, 60, 135, 132, 58, 2, 5.33715
470, 5, triangle, filler, NA, 999, 999, 2, 17, 95, 69, 141, 159, 120, 89, 2, 2.21416
470, 5, triangle, attraction, a-b-db, 9, 3, 2, 18, 120, 195, 114, 186, 195, 120, 1, 3.78434
470, 5, triangle, attraction, a-b-da, 9, 2, 2, 19, 90, 165, 165, 90, 157, 86, 2, 2.24356
470, 5, triangle, attraction, a-b-da, 14, 2, 2, 20, 90, 165, 165, 90, 153, 83, 1, 1.71579
470, 5, triangle, attraction, a-b-da, 5, 2, 2, 21, 161, 88, 165, 90, 90, 165, 3, 1.59697
470, 5, triangle, attraction, a-b-db, 2, 2, 2, 22, 89, 163, 90, 165, 165, 90, 1, 2.19644
470, 5, triangle, attraction, a-b-da, 9, 3, 2, 23, 186, 114, 195, 120, 120, 195, 3, 1.1508
470, 5, triangle, filler, NA, 999, 999, 2, 24, 167, 172, 124, 117, 102, 144, 1, 1.13344
470, 5, triangle, attraction, a-b-db, 9, 1, 2, 25, 60, 135, 57, 129, 135, 60, 1, 4.34643
470, 5, triangle, attraction, a-b-da, 2, 2, 2, 26, 163, 89, 90, 165, 165, 90, 3, 6.31738
470, 5, triangle, attraction, a-b-db, 9, 2, 2, 27, 86, 157, 90, 165, 165, 90, 2, 3.55721
470, 5, triangle, attraction, a-b-db, 5, 2, 2, 28, 90, 165, 88, 161, 165, 90, 2, 5.67282
470, 5, triangle, attraction, a-b-db, 14, 1, 2, 29, 135, 60, 56, 125, 60, 135, 1, 2.73571
470, 5, triangle, filler, NA, 999, 999, 2, 30, 74, 58, 148, 92, 106, 134, 3, 2.38253
470, 5, triangle, attraction, a-b-db, 2, 3, 2, 31, 195, 120, 119, 193, 120, 195, 1, 24.8726
470, 5, triangle, attraction, a-b-da, 2, 3, 2, 32, 195, 120, 193, 119, 120, 195, 3, 2.08287
470, 5, triangle, attraction, a-b-da, 14, 3, 2, 33, 120, 195, 181, 111, 195, 120, 1, 2.38492
470, 5, triangle, attraction, a-b-db, 14, 2, 2, 34, 165, 90, 83, 153, 90, 165, 3, 1.44676
470, 5, triangle, attraction, a-b-db, 5, 1, 3, 1, 60, 135, 135, 60, 58, 132, 1, 2.34011
