sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
299, 1, horizontal, practice, NA, 999, 999, 0, 1, 112, 103, 141, 68, 184, 102, 3, 2.54224
299, 1, horizontal, practice, NA, 999, 999, 0, 2, 143, 155, 180, 136, 136, 155, 2, 3.09706
299, 1, horizontal, practice, NA, 999, 999, 0, 3, 78, 121, 108, 138, 99, 189, 3, 1.57535
299, 1, horizontal, attraction, a-b-da, 2, 2, 1, 1, 90, 165, 163, 89, 165, 90, 3, 6.71427
299, 1, horizontal, attraction, a-b-da, 5, 2, 1, 2, 90, 165, 165, 90, 161, 88, 2, 7.09572
299, 1, horizontal, attraction, a-b-db, 5, 3, 1, 3, 117, 190, 120, 195, 195, 120, 2, 4.23759
299, 1, horizontal, attraction, a-b-db, 2, 2, 1, 4, 165, 90, 90, 165, 89, 163, 1, 4.08532
299, 1, horizontal, attraction, a-b-db, 5, 2, 1, 5, 90, 165, 88, 161, 165, 90, 3, 3.92602
299, 1, horizontal, attraction, a-b-db, 14, 2, 1, 6, 90, 165, 165, 90, 83, 153, 1, 4.2163
299, 1, horizontal, attraction, a-b-da, 2, 3, 1, 7, 120, 195, 193, 119, 195, 120, 1, 7.51298
299, 1, horizontal, filler, NA, 999, 999, 1, 8, 86, 127, 94, 59, 140, 162, 3, 1.35847
299, 1, horizontal, filler, NA, 999, 999, 1, 9, 60, 143, 172, 124, 98, 115, 2, 1.45634
299, 1, horizontal, attraction, a-b-da, 14, 2, 1, 10, 153, 83, 165, 90, 90, 165, 2, 2.73621
299, 1, horizontal, attraction, a-b-db, 14, 1, 1, 11, 60, 135, 56, 125, 135, 60, 3, 4.18967
299, 1, horizontal, attraction, a-b-db, 2, 1, 1, 12, 59, 134, 135, 60, 60, 135, 2, 2.75973
299, 1, horizontal, attraction, a-b-da, 5, 3, 1, 13, 190, 117, 195, 120, 120, 195, 2, 1.8999
299, 1, horizontal, attraction, a-b-db, 9, 3, 1, 14, 195, 120, 114, 186, 120, 195, 1, 5.42438
299, 1, horizontal, filler, NA, 999, 999, 1, 15, 99, 56, 175, 109, 97, 188, 3, 3.05007
299, 1, horizontal, attraction, a-b-db, 9, 1, 1, 16, 135, 60, 60, 135, 57, 129, 1, 4.16988
299, 1, horizontal, filler, NA, 999, 999, 1, 17, 152, 144, 146, 122, 119, 182, 1, 3.42827
299, 1, horizontal, attraction, a-b-db, 5, 1, 1, 18, 60, 135, 58, 132, 135, 60, 3, 3.67721
299, 1, horizontal, attraction, a-b-db, 2, 3, 1, 19, 195, 120, 120, 195, 119, 193, 1, 4.1495
299, 1, horizontal, attraction, a-b-da, 14, 3, 1, 20, 120, 195, 195, 120, 181, 111, 2, 3.0084
299, 1, horizontal, attraction, a-b-da, 14, 1, 1, 21, 135, 60, 60, 135, 125, 56, 1, 2.36177
299, 1, horizontal, filler, NA, 999, 999, 1, 22, 151, 175, 119, 65, 110, 144, 1, 1.33293
299, 1, horizontal, attraction, a-b-da, 2, 1, 1, 23, 60, 135, 135, 60, 134, 59, 2, 1.71291
299, 1, horizontal, attraction, a-b-da, 9, 2, 1, 24, 157, 86, 90, 165, 165, 90, 3, 1.7541
299, 1, horizontal, filler, NA, 999, 999, 1, 25, 101, 144, 143, 105, 59, 83, 2, 1.72453
299, 1, horizontal, attraction, a-b-da, 9, 3, 1, 26, 186, 114, 195, 120, 120, 195, 2, 1.60863
299, 1, horizontal, attraction, a-b-da, 9, 1, 1, 27, 135, 60, 60, 135, 129, 57, 3, 2.08265
299, 1, horizontal, attraction, a-b-db, 14, 3, 1, 28, 111, 181, 120, 195, 195, 120, 2, 2.4419
299, 1, horizontal, filler, NA, 999, 999, 1, 29, 163, 141, 100, 175, 188, 111, 1, 4.34616
299, 1, horizontal, filler, NA, 999, 999, 1, 30, 110, 68, 169, 147, 91, 109, 2, 1.50977
299, 1, horizontal, attraction, a-b-da, 5, 1, 1, 31, 135, 60, 60, 135, 132, 58, 3, 1.94863
299, 1, horizontal, filler, NA, 999, 999, 1, 32, 158, 176, 185, 87, 66, 88, 1, 1.70467
299, 1, horizontal, attraction, a-b-db, 9, 2, 1, 33, 165, 90, 90, 165, 86, 157, 1, 1.76016
299, 1, horizontal, filler, NA, 999, 999, 1, 34, 93, 109, 192, 180, 189, 116, 2, 1.25971
299, 1, horizontal, filler, NA, 999, 999, 2, 1, 73, 166, 121, 134, 186, 86, 2, 8.20358
299, 1, horizontal, attraction, a-b-da, 9, 3, 2, 2, 195, 120, 186, 114, 120, 195, 3, 2.41077
299, 1, horizontal, filler, NA, 999, 999, 2, 3, 179, 135, 105, 59, 145, 173, 3, 4.78253
299, 1, horizontal, filler, NA, 999, 999, 2, 4, 145, 118, 87, 102, 182, 164, 3, 1.53478
299, 1, horizontal, attraction, a-b-db, 5, 3, 2, 5, 117, 190, 120, 195, 195, 120, 3, 1.29849
