sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
221, 4, horizontal, practice, NA, 999, 999, 0, 1, 81, 188, 116, 156, 150, 195, 3, 3.40101
221, 4, horizontal, practice, NA, 999, 999, 0, 2, 62, 145, 180, 186, 65, 107, 2, 2.48528
221, 4, horizontal, practice, NA, 999, 999, 0, 3, 127, 171, 128, 94, 96, 170, 1, 5.29369
221, 4, horizontal, attraction, a-b-db, 2, 2, 1, 1, 165, 90, 90, 165, 89, 163, 1, 6.55518
221, 4, horizontal, attraction, a-b-da, 5, 1, 1, 2, 135, 60, 60, 135, 132, 58, 1, 6.71401
221, 4, horizontal, attraction, a-b-da, 2, 2, 1, 3, 163, 89, 90, 165, 165, 90, 1, 2.66138
221, 4, horizontal, attraction, a-b-da, 9, 2, 1, 4, 90, 165, 165, 90, 157, 86, 1, 4.00209
221, 4, horizontal, attraction, a-b-db, 5, 3, 1, 5, 195, 120, 120, 195, 117, 190, 2, 2.38807
221, 4, horizontal, attraction, a-b-da, 2, 3, 1, 6, 120, 195, 195, 120, 193, 119, 2, 3.04558
221, 4, horizontal, filler, NA, 999, 999, 1, 7, 177, 175, 180, 106, 60, 185, 1, 1.94993
221, 4, horizontal, filler, NA, 999, 999, 1, 8, 83, 139, 83, 125, 137, 105, 3, 1.87547
221, 4, horizontal, filler, NA, 999, 999, 1, 9, 155, 191, 57, 144, 147, 97, 1, 1.60992
221, 4, horizontal, attraction, a-b-db, 2, 3, 1, 10, 120, 195, 195, 120, 119, 193, 2, 7.6463
221, 4, horizontal, attraction, a-b-db, 9, 3, 1, 11, 114, 186, 195, 120, 120, 195, 2, 2.04658
221, 4, horizontal, filler, NA, 999, 999, 1, 12, 101, 104, 102, 184, 86, 103, 2, 31.774
221, 4, horizontal, attraction, a-b-da, 9, 1, 1, 13, 129, 57, 60, 135, 135, 60, 2, 5.08456
221, 4, horizontal, attraction, a-b-da, 9, 3, 1, 14, 195, 120, 120, 195, 186, 114, 2, 2.91418
221, 4, horizontal, attraction, a-b-db, 14, 3, 1, 15, 195, 120, 111, 181, 120, 195, 3, 4.7121
221, 4, horizontal, attraction, a-b-da, 14, 3, 1, 16, 120, 195, 181, 111, 195, 120, 3, 2.04546
221, 4, horizontal, attraction, a-b-db, 14, 1, 1, 17, 56, 125, 135, 60, 60, 135, 2, 2.72686
221, 4, horizontal, attraction, a-b-db, 14, 2, 1, 18, 83, 153, 90, 165, 165, 90, 3, 1.87618
221, 4, horizontal, attraction, a-b-db, 5, 1, 1, 19, 60, 135, 58, 132, 135, 60, 3, 3.7499
221, 4, horizontal, filler, NA, 999, 999, 1, 20, 102, 165, 79, 138, 93, 109, 1, 2.18406
221, 4, horizontal, attraction, a-b-db, 9, 1, 1, 21, 57, 129, 60, 135, 135, 60, 3, 1.80479
221, 4, horizontal, attraction, a-b-da, 14, 1, 1, 22, 135, 60, 60, 135, 125, 56, 2, 2.08714
221, 4, horizontal, attraction, a-b-db, 2, 1, 1, 23, 59, 134, 60, 135, 135, 60, 3, 3.84005
221, 4, horizontal, attraction, a-b-da, 2, 1, 1, 24, 60, 135, 135, 60, 134, 59, 1, 4.13554
221, 4, horizontal, filler, NA, 999, 999, 1, 25, 154, 150, 132, 157, 156, 152, 3, 2.95051
221, 4, horizontal, attraction, a-b-da, 5, 3, 1, 26, 190, 117, 195, 120, 120, 195, 2, 3.05128
221, 4, horizontal, attraction, a-b-db, 9, 2, 1, 27, 90, 165, 165, 90, 86, 157, 2, 3.63566
221, 4, horizontal, filler, NA, 999, 999, 1, 28, 156, 165, 113, 90, 118, 182, 1, 2.78802
