sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
140, 2, triangle, practice, NA, 999, 999, 0, 1, 70, 58, 79, 98, 111, 58, 2, 2.67265
140, 2, triangle, practice, NA, 999, 999, 0, 2, 195, 70, 181, 90, 104, 184, 3, 2.04071
140, 2, triangle, practice, NA, 999, 999, 0, 3, 79, 129, 122, 107, 87, 70, 2, 1.9131
140, 2, triangle, attraction, a-b-db, 2, 1, 1, 1, 60, 135, 135, 60, 59, 134, 1, 4.92681
140, 2, triangle, attraction, a-b-da, 2, 3, 1, 2, 120, 195, 195, 120, 193, 119, 1, 1.89011
140, 2, triangle, attraction, a-b-db, 5, 2, 1, 3, 165, 90, 90, 165, 88, 161, 2, 3.21653
140, 2, triangle, filler, NA, 999, 999, 1, 4, 181, 157, 185, 94, 159, 146, 1, 2.86615
140, 2, triangle, attraction, a-b-da, 14, 1, 1, 5, 60, 135, 135, 60, 125, 56, 2, 2.53001
140, 2, triangle, attraction, a-b-da, 2, 1, 1, 6, 135, 60, 60, 135, 134, 59, 2, 2.91097
140, 2, triangle, attraction, a-b-da, 14, 2, 1, 7, 165, 90, 90, 165, 153, 83, 1, 3.44592
140, 2, triangle, filler, NA, 999, 999, 1, 8, 108, 124, 177, 124, 143, 161, 2, 4.04443
140, 2, triangle, attraction, a-b-da, 9, 1, 1, 9, 135, 60, 129, 57, 60, 135, 1, 1.7736
140, 2, triangle, attraction, a-b-db, 14, 3, 1, 10, 195, 120, 111, 181, 120, 195, 1, 6.03952
140, 2, triangle, filler, NA, 999, 999, 1, 11, 150, 102, 166, 85, 142, 138, 3, 1.57426
140, 2, triangle, filler, NA, 999, 999, 1, 12, 81, 116, 99, 88, 101, 179, 3, 1.34115
140, 2, triangle, attraction, a-b-db, 2, 2, 1, 13, 90, 165, 165, 90, 89, 163, 1, 5.0078
140, 2, triangle, filler, NA, 999, 999, 1, 14, 194, 152, 164, 187, 121, 163, 2, 5.43425
140, 2, triangle, filler, NA, 999, 999, 1, 15, 78, 62, 77, 194, 90, 195, 3, 2.20119
140, 2, triangle, attraction, a-b-db, 14, 1, 1, 16, 56, 125, 60, 135, 135, 60, 2, 8.09903
140, 2, triangle, attraction, a-b-da, 14, 3, 1, 17, 195, 120, 181, 111, 120, 195, 3, 5.86543
140, 2, triangle, filler, NA, 999, 999, 1, 18, 150, 78, 127, 100, 86, 98, 2, 2.16665
140, 2, triangle, filler, NA, 999, 999, 1, 19, 68, 128, 75, 160, 193, 139, 3, 1.38005
140, 2, triangle, attraction, a-b-db, 2, 3, 1, 20, 195, 120, 119, 193, 120, 195, 2, 1.85398
140, 2, triangle, filler, NA, 999, 999, 1, 21, 84, 155, 173, 80, 173, 139, 3, 1.60551
140, 2, triangle, attraction, a-b-db, 5, 3, 1, 22, 117, 190, 195, 120, 120, 195, 1, 2.41443
140, 2, triangle, attraction, a-b-db, 9, 3, 1, 23, 120, 195, 195, 120, 114, 186, 2, 6.0158
140, 2, triangle, filler, NA, 999, 999, 1, 24, 187, 186, 119, 150, 156, 173, 1, 1.80015
140, 2, triangle, attraction, a-b-da, 2, 2, 1, 25, 165, 90, 90, 165, 163, 89, 2, 1.38495
140, 2, triangle, attraction, a-b-da, 9, 3, 1, 26, 120, 195, 186, 114, 195, 120, 1, 2.2137
140, 2, triangle, attraction, a-b-da, 5, 1, 1, 27, 132, 58, 60, 135, 135, 60, 2, 1.76848
140, 2, triangle, attraction, a-b-db, 5, 1, 1, 28, 60, 135, 58, 132, 135, 60, 1, 2.1229
140, 2, triangle, attraction, a-b-db, 9, 1, 1, 29, 57, 129, 135, 60, 60, 135, 3, 1.90515
140, 2, triangle, attraction, a-b-da, 5, 2, 1, 30, 90, 165, 165, 90, 161, 88, 1, 3.13484
140, 2, triangle, attraction, a-b-da, 5, 3, 1, 31, 195, 120, 190, 117, 120, 195, 1, 2.80454
140, 2, triangle, attraction, a-b-db, 14, 2, 1, 32, 165, 90, 90, 165, 83, 153, 2, 2.42884
140, 2, triangle, attraction, a-b-db, 9, 2, 1, 33, 165, 90, 90, 165, 86, 157, 1, 1.49449
140, 2, triangle, attraction, a-b-da, 9, 2, 1, 34, 157, 86, 90, 165, 165, 90, 3, 2.95655
140, 2, triangle, attraction, a-b-db, 5, 1, 2, 1, 58, 132, 135, 60, 60, 135, 3, 3.17516
140, 2, triangle, attraction, a-b-db, 2, 3, 2, 2, 119, 193, 195, 120, 120, 195, 3, 2.70756
140, 2, triangle, attraction, a-b-da, 14, 1, 2, 3, 135, 60, 125, 56, 60, 135, 3, 2.10358
140, 2, triangle, attraction, a-b-db, 14, 2, 2, 4, 83, 153, 90, 165, 165, 90, 3, 1.53624
140, 2, triangle, filler, NA, 999, 999, 2, 5, 122, 122, 187, 76, 99, 115, 1, 1.3632
140, 2, triangle, attraction, a-b-da, 2, 3, 2, 6, 193, 119, 195, 120, 120, 195, 1, 1.7822
140, 2, triangle, filler, NA, 999, 999, 2, 7, 159, 99, 119, 174, 65, 128, 2, 1.67504
140, 2, triangle, attraction, a-b-da, 9, 3, 2, 8, 186, 114, 195, 120, 120, 195, 2, 2.60937
140, 2, triangle, attraction, a-b-db, 5, 3, 2, 9, 195, 120, 117, 190, 120, 195, 1, 1.62706
140, 2, triangle, filler, NA, 999, 999, 2, 10, 162, 56, 192, 169, 138, 67, 2, 1.38249
140, 2, triangle, filler, NA, 999, 999, 2, 11, 67, 157, 119, 69, 192, 125, 3, 1.22476
140, 2, triangle, attraction, a-b-da, 5, 2, 2, 12, 161, 88, 90, 165, 165, 90, 2, 1.89075
140, 2, triangle, attraction, a-b-da, 9, 1, 2, 13, 135, 60, 60, 135, 129, 57, 1, 3.97662
140, 2, triangle, attraction, a-b-da, 5, 1, 2, 14, 132, 58, 135, 60, 60, 135, 3, 3.93186
140, 2, triangle, filler, NA, 999, 999, 2, 15, 90, 124, 181, 160, 73, 126, 2, 1.4643
140, 2, triangle, attraction, a-b-db, 5, 2, 2, 16, 90, 165, 88, 161, 165, 90, 1, 4.9756
140, 2, triangle, filler, NA, 999, 999, 2, 17, 139, 119, 147, 189, 74, 166, 2, 1.35988
140, 2, triangle, attraction, a-b-da, 14, 2, 2, 18, 165, 90, 90, 165, 153, 83, 1, 4.83131
140, 2, triangle, attraction, a-b-db, 9, 1, 2, 19, 135, 60, 60, 135, 57, 129, 1, 2.02957
140, 2, triangle, attraction, a-b-da, 9, 2, 2, 20, 165, 90, 157, 86, 90, 165, 1, 3.35807
140, 2, triangle, attraction, a-b-db, 2, 2, 2, 21, 89, 163, 90, 165, 165, 90, 2, 1.802
140, 2, triangle, attraction, a-b-db, 9, 3, 2, 22, 195, 120, 120, 195, 114, 186, 2, 1.60243
140, 2, triangle, attraction, a-b-da, 2, 1, 2, 23, 134, 59, 60, 135, 135, 60, 2, 2.66347
140, 2, triangle, attraction, a-b-db, 9, 2, 2, 24, 90, 165, 165, 90, 86, 157, 1, 2.59974
140, 2, triangle, filler, NA, 999, 999, 2, 25, 83, 144, 74, 90, 146, 132, 3, 1.35141
140, 2, triangle, attraction, a-b-da, 2, 2, 2, 26, 163, 89, 165, 90, 90, 165, 2, 1.69109
140, 2, triangle, attraction, a-b-da, 5, 3, 2, 27, 195, 120, 120, 195, 190, 117, 1, 5.39483
140, 2, triangle, attraction, a-b-db, 2, 1, 2, 28, 59, 134, 60, 135, 135, 60, 2, 3.05475
140, 2, triangle, attraction, a-b-da, 14, 3, 2, 29, 195, 120, 120, 195, 181, 111, 1, 8.26014
140, 2, triangle, filler, NA, 999, 999, 2, 30, 191, 132, 148, 168, 98, 102, 2, 4.2588
140, 2, triangle, filler, NA, 999, 999, 2, 31, 194, 120, 126, 171, 81, 154, 1, 2.21765
140, 2, triangle, attraction, a-b-db, 14, 3, 2, 32, 120, 195, 195, 120, 111, 181, 2, 2.05827
140, 2, triangle, attraction, a-b-db, 14, 1, 2, 33, 135, 60, 60, 135, 56, 125, 1, 1.85065
140, 2, triangle, filler, NA, 999, 999, 2, 34, 90, 109, 73, 169, 69, 110, 2, 1.96257
140, 2, triangle, attraction, a-b-da, 2, 3, 3, 1, 195, 120, 193, 119, 120, 195, 3, 1.67146
140, 2, triangle, filler, NA, 999, 999, 3, 2, 143, 162, 59, 108, 150, 116, 1, 1.81514
140, 2, triangle, attraction, a-b-db, 5, 3, 3, 3, 117, 190, 195, 120, 120, 195, 2, 5.07786
140, 2, triangle, filler, NA, 999, 999, 3, 4, 120, 56, 195, 138, 103, 88, 2, 1.43689
140, 2, triangle, attraction, a-b-da, 5, 2, 3, 5, 90, 165, 165, 90, 161, 88, 1, 1.97592
140, 2, triangle, attraction, a-b-db, 14, 1, 3, 6, 56, 125, 60, 135, 135, 60, 2, 1.37199
140, 2, triangle, attraction, a-b-db, 2, 1, 3, 7, 59, 134, 60, 135, 135, 60, 3, 1.91702
140, 2, triangle, attraction, a-b-da, 14, 2, 3, 8, 90, 165, 153, 83, 165, 90, 3, 3.43508
140, 2, triangle, filler, NA, 999, 999, 3, 9, 102, 110, 140, 171, 133, 164, 2, 1.61999
140, 2, triangle, attraction, a-b-da, 5, 1, 3, 10, 135, 60, 60, 135, 132, 58, 2, 2.29192
140, 2, triangle, attraction, a-b-da, 9, 1, 3, 11, 129, 57, 60, 135, 135, 60, 3, 1.57188
140, 2, triangle, attraction, a-b-db, 9, 1, 3, 12, 60, 135, 135, 60, 57, 129, 3, 2.63796
140, 2, triangle, attraction, a-b-da, 9, 2, 3, 13, 157, 86, 165, 90, 90, 165, 2, 3.28775
140, 2, triangle, attraction, a-b-db, 5, 2, 3, 14, 88, 161, 90, 165, 165, 90, 2, 1.9742
140, 2, triangle, attraction, a-b-da, 14, 3, 3, 15, 181, 111, 195, 120, 120, 195, 2, 3.16019
140, 2, triangle, attraction, a-b-db, 5, 1, 3, 16, 58, 132, 135, 60, 60, 135, 2, 1.89174
140, 2, triangle, filler, NA, 999, 999, 3, 17, 142, 121, 62, 60, 117, 81, 1, 1.62721
140, 2, triangle, attraction, a-b-db, 9, 3, 3, 18, 195, 120, 114, 186, 120, 195, 3, 1.92388
140, 2, triangle, filler, NA, 999, 999, 3, 19, 172, 69, 168, 60, 71, 158, 1, 1.96924
140, 2, triangle, attraction, a-b-da, 9, 3, 3, 20, 120, 195, 186, 114, 195, 120, 1, 3.62888
140, 2, triangle, attraction, a-b-da, 14, 1, 3, 21, 135, 60, 125, 56, 60, 135, 1, 1.97551
140, 2, triangle, attraction, a-b-db, 14, 2, 3, 22, 165, 90, 83, 153, 90, 165, 1, 3.31236
140, 2, triangle, filler, NA, 999, 999, 3, 23, 124, 57, 169, 195, 188, 86, 2, 1.62291
140, 2, triangle, attraction, a-b-db, 14, 3, 3, 24, 120, 195, 195, 120, 111, 181, 1, 7.28856
140, 2, triangle, attraction, a-b-db, 2, 3, 3, 25, 120, 195, 195, 120, 119, 193, 1, 1.50044
140, 2, triangle, attraction, a-b-da, 5, 3, 3, 26, 195, 120, 190, 117, 120, 195, 3, 2.07475
140, 2, triangle, filler, NA, 999, 999, 3, 27, 113, 61, 92, 74, 99, 87, 3, 2.26011
140, 2, triangle, attraction, a-b-db, 9, 2, 3, 28, 90, 165, 165, 90, 86, 157, 1, 1.6836
140, 2, triangle, attraction, a-b-db, 2, 2, 3, 29, 89, 163, 90, 165, 165, 90, 3, 2.68137
140, 2, triangle, attraction, a-b-da, 2, 2, 3, 30, 90, 165, 165, 90, 163, 89, 2, 2.40919
140, 2, triangle, filler, NA, 999, 999, 3, 31, 63, 172, 186, 168, 127, 78, 2, 1.76829
140, 2, triangle, attraction, a-b-da, 2, 1, 3, 32, 134, 59, 135, 60, 60, 135, 1, 1.87006
140, 2, triangle, filler, NA, 999, 999, 3, 33, 167, 105, 95, 174, 147, 70, 2, 2.70959
140, 2, triangle, filler, NA, 999, 999, 3, 34, 80, 101, 169, 100, 89, 78, 2, 2.51602
140, 2, triangle, attraction, a-b-db, 2, 2, 4, 1, 90, 165, 89, 163, 165, 90, 2, 1.4944
140, 2, triangle, filler, NA, 999, 999, 4, 2, 160, 127, 79, 83, 153, 125, 1, 1.83053
140, 2, triangle, attraction, a-b-da, 2, 2, 4, 3, 90, 165, 165, 90, 163, 89, 1, 2.34468
140, 2, triangle, attraction, a-b-da, 14, 1, 4, 4, 125, 56, 60, 135, 135, 60, 3, 1.74015
140, 2, triangle, attraction, a-b-db, 14, 2, 4, 5, 83, 153, 165, 90, 90, 165, 3, 2.13863
140, 2, triangle, filler, NA, 999, 999, 4, 6, 178, 142, 184, 108, 161, 88, 1, 1.39905
140, 2, triangle, attraction, a-b-db, 5, 2, 4, 7, 90, 165, 165, 90, 88, 161, 1, 2.5834
140, 2, triangle, attraction, a-b-db, 14, 3, 4, 8, 111, 181, 195, 120, 120, 195, 3, 4.14776
140, 2, triangle, filler, NA, 999, 999, 4, 9, 167, 135, 96, 181, 176, 94, 1, 1.34917
140, 2, triangle, attraction, a-b-da, 5, 3, 4, 10, 195, 120, 120, 195, 190, 117, 1, 5.58591
140, 2, triangle, attraction, a-b-db, 2, 1, 4, 11, 59, 134, 135, 60, 60, 135, 3, 1.81924
140, 2, triangle, attraction, a-b-da, 9, 3, 4, 12, 120, 195, 186, 114, 195, 120, 1, 2.06221
140, 2, triangle, filler, NA, 999, 999, 4, 13, 97, 78, 112, 177, 143, 166, 3, 1.4457
140, 2, triangle, attraction, a-b-db, 2, 3, 4, 14, 119, 193, 195, 120, 120, 195, 1, 1.50234
140, 2, triangle, attraction, a-b-da, 9, 2, 4, 15, 165, 90, 157, 86, 90, 165, 1, 4.77902
140, 2, triangle, attraction, a-b-db, 9, 1, 4, 16, 135, 60, 57, 129, 60, 135, 3, 1.39784
140, 2, triangle, attraction, a-b-db, 9, 3, 4, 17, 120, 195, 114, 186, 195, 120, 1, 1.59242
140, 2, triangle, attraction, a-b-da, 14, 3, 4, 18, 120, 195, 195, 120, 181, 111, 1, 1.90799
140, 2, triangle, attraction, a-b-da, 2, 1, 4, 19, 134, 59, 135, 60, 60, 135, 3, 1.55497
140, 2, triangle, attraction, a-b-da, 5, 1, 4, 20, 135, 60, 60, 135, 132, 58, 1, 1.91766
140, 2, triangle, attraction, a-b-da, 14, 2, 4, 21, 90, 165, 153, 83, 165, 90, 3, 1.66759
140, 2, triangle, filler, NA, 999, 999, 4, 22, 56, 152, 110, 126, 113, 97, 2, 1.74653
140, 2, triangle, attraction, a-b-da, 9, 1, 4, 23, 129, 57, 60, 135, 135, 60, 2, 2.40549
140, 2, triangle, filler, NA, 999, 999, 4, 24, 103, 178, 174, 171, 125, 140, 2, 1.36263
140, 2, triangle, attraction, a-b-db, 14, 1, 4, 25, 60, 135, 135, 60, 56, 125, 2, 1.30048
140, 2, triangle, attraction, a-b-da, 5, 2, 4, 26, 165, 90, 90, 165, 161, 88, 1, 1.73184
140, 2, triangle, attraction, a-b-db, 9, 2, 4, 27, 165, 90, 90, 165, 86, 157, 1, 4.61522
140, 2, triangle, filler, NA, 999, 999, 4, 28, 169, 94, 158, 128, 187, 90, 2, 1.78576
140, 2, triangle, attraction, a-b-db, 5, 1, 4, 29, 60, 135, 58, 132, 135, 60, 3, 2.79453
140, 2, triangle, filler, NA, 999, 999, 4, 30, 59, 181, 155, 109, 62, 86, 2, 1.68756
140, 2, triangle, filler, NA, 999, 999, 4, 31, 126, 153, 120, 64, 76, 163, 1, 1.35883
140, 2, triangle, filler, NA, 999, 999, 4, 32, 78, 68, 135, 165, 175, 83, 2, 1.84354
140, 2, triangle, attraction, a-b-da, 2, 3, 4, 33, 193, 119, 195, 120, 120, 195, 1, 2.40283
140, 2, triangle, attraction, a-b-db, 5, 3, 4, 34, 117, 190, 120, 195, 195, 120, 3, 1.61238
