sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
31, 2, horizontal, practice, NA, 999, 999, 0, 1, 75, 147, 93, 103, 95, 169, 3, 1.74026
31, 2, horizontal, practice, NA, 999, 999, 0, 2, 119, 155, 185, 73, 152, 85, 1, 1.8888
31, 2, horizontal, practice, NA, 999, 999, 0, 3, 103, 105, 118, 130, 101, 135, 2, 3.26117
31, 2, horizontal, attraction, a-b-da, 5, 1, 1, 1, 135, 60, 60, 135, 132, 58, 2, 2.84043
31, 2, horizontal, filler, NA, 999, 999, 1, 2, 159, 106, 177, 156, 174, 89, 2, 1.89512
31, 2, horizontal, attraction, a-b-db, 14, 3, 1, 3, 195, 120, 120, 195, 111, 181, 2, 1.38096
31, 2, horizontal, attraction, a-b-da, 2, 3, 1, 4, 120, 195, 193, 119, 195, 120, 1, 1.83302
31, 2, horizontal, attraction, a-b-db, 5, 2, 1, 5, 88, 161, 90, 165, 165, 90, 2, 2.34706
31, 2, horizontal, attraction, a-b-da, 2, 1, 1, 6, 134, 59, 60, 135, 135, 60, 3, 2.6146
31, 2, horizontal, filler, NA, 999, 999, 1, 7, 78, 112, 159, 82, 178, 149, 3, 1.44064
31, 2, horizontal, attraction, a-b-da, 14, 3, 1, 8, 195, 120, 120, 195, 181, 111, 2, 2.1758
31, 2, horizontal, attraction, a-b-db, 9, 2, 1, 9, 90, 165, 165, 90, 86, 157, 1, 3.72356
31, 2, horizontal, filler, NA, 999, 999, 1, 10, 178, 183, 92, 61, 108, 187, 1, 1.28262
31, 2, horizontal, attraction, a-b-da, 14, 1, 1, 11, 125, 56, 60, 135, 135, 60, 2, 3.83998
31, 2, horizontal, filler, NA, 999, 999, 1, 12, 67, 71, 124, 176, 135, 104, 2, 1.66213
31, 2, horizontal, filler, NA, 999, 999, 1, 13, 85, 192, 132, 81, 171, 75, 1, 3.50302
31, 2, horizontal, attraction, a-b-da, 14, 2, 1, 14, 165, 90, 153, 83, 90, 165, 3, 6.98837
31, 2, horizontal, filler, NA, 999, 999, 1, 15, 151, 94, 152, 88, 121, 72, 2, 1.71815
31, 2, horizontal, attraction, a-b-db, 2, 2, 1, 16, 165, 90, 90, 165, 89, 163, 3, 2.08999
31, 2, horizontal, attraction, a-b-db, 9, 1, 1, 17, 60, 135, 57, 129, 135, 60, 1, 3.35423
31, 2, horizontal, attraction, a-b-db, 5, 3, 1, 18, 120, 195, 195, 120, 117, 190, 2, 1.78878
31, 2, horizontal, attraction, a-b-db, 14, 2, 1, 19, 165, 90, 83, 153, 90, 165, 3, 2.3273
31, 2, horizontal, attraction, a-b-db, 5, 1, 1, 20, 135, 60, 60, 135, 58, 132, 2, 1.65442
31, 2, horizontal, filler, NA, 999, 999, 1, 21, 124, 177, 148, 102, 123, 113, 1, 1.58035
31, 2, horizontal, attraction, a-b-da, 9, 1, 1, 22, 129, 57, 60, 135, 135, 60, 2, 2.36031
31, 2, horizontal, attraction, a-b-db, 2, 3, 1, 23, 195, 120, 120, 195, 119, 193, 2, 1.8529
31, 2, horizontal, attraction, a-b-da, 9, 2, 1, 24, 165, 90, 157, 86, 90, 165, 3, 3.21148
31, 2, horizontal, attraction, a-b-db, 2, 1, 1, 25, 60, 135, 135, 60, 59, 134, 3, 3.5336
31, 2, horizontal, attraction, a-b-db, 14, 1, 1, 26, 60, 135, 56, 125, 135, 60, 1, 4.7853
31, 2, horizontal, filler, NA, 999, 999, 1, 27, 94, 146, 154, 85, 147, 143, 3, 4.52382
31, 2, horizontal, attraction, a-b-da, 2, 2, 1, 28, 163, 89, 165, 90, 90, 165, 3, 1.56286
31, 2, horizontal, attraction, a-b-da, 9, 3, 1, 29, 186, 114, 195, 120, 120, 195, 2, 2.03931
31, 2, horizontal, filler, NA, 999, 999, 1, 30, 151, 79, 81, 92, 117, 188, 3, 1.41985
