sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
62, 2, triangle, practice, NA, 999, 999, 0, 1, 126, 152, 108, 94, 133, 84, 1, 2.64101
62, 2, triangle, practice, NA, 999, 999, 0, 2, 180, 171, 98, 144, 132, 137, 1, 2.19328
62, 2, triangle, practice, NA, 999, 999, 0, 3, 96, 188, 69, 167, 138, 170, 3, 1.84201
62, 2, triangle, filler, NA, 999, 999, 1, 1, 172, 174, 108, 139, 75, 101, 1, 1.36382
62, 2, triangle, attraction, a-b-da, 5, 2, 1, 2, 161, 88, 165, 90, 90, 165, 3, 3.83997
62, 2, triangle, attraction, a-b-da, 14, 3, 1, 3, 120, 195, 181, 111, 195, 120, 1, 3.66324
62, 2, triangle, attraction, a-b-db, 2, 1, 1, 4, 135, 60, 60, 135, 59, 134, 2, 2.7049
62, 2, triangle, attraction, a-b-da, 9, 1, 1, 5, 135, 60, 129, 57, 60, 135, 1, 2.51635
62, 2, triangle, attraction, a-b-db, 5, 1, 1, 6, 60, 135, 58, 132, 135, 60, 1, 2.60281
62, 2, triangle, attraction, a-b-db, 9, 2, 1, 7, 86, 157, 165, 90, 90, 165, 3, 1.88598
62, 2, triangle, attraction, a-b-da, 14, 1, 1, 8, 60, 135, 125, 56, 135, 60, 1, 2.65987
62, 2, triangle, attraction, a-b-db, 9, 3, 1, 9, 120, 195, 114, 186, 195, 120, 1, 3.59493
62, 2, triangle, attraction, a-b-da, 5, 3, 1, 10, 195, 120, 190, 117, 120, 195, 3, 4.25276
62, 2, triangle, filler, NA, 999, 999, 1, 11, 76, 72, 70, 88, 181, 107, 3, 1.56523
62, 2, triangle, filler, NA, 999, 999, 1, 12, 62, 79, 122, 130, 93, 118, 2, 1.67201
62, 2, triangle, filler, NA, 999, 999, 1, 13, 133, 168, 192, 154, 122, 130, 2, 3.2234
62, 2, triangle, attraction, a-b-da, 14, 2, 1, 14, 153, 83, 90, 165, 165, 90, 3, 5.38538
62, 2, triangle, filler, NA, 999, 999, 1, 15, 66, 65, 104, 68, 110, 112, 3, 2.01868
62, 2, triangle, attraction, a-b-db, 2, 3, 1, 16, 120, 195, 195, 120, 119, 193, 1, 3.67506
62, 2, triangle, attraction, a-b-da, 9, 3, 1, 17, 195, 120, 120, 195, 186, 114, 3, 5.69115
62, 2, triangle, filler, NA, 999, 999, 1, 18, 164, 89, 99, 61, 127, 140, 3, 7.07767
62, 2, triangle, attraction, a-b-db, 14, 3, 1, 19, 120, 195, 111, 181, 195, 120, 1, 2.42818
62, 2, triangle, attraction, a-b-da, 9, 2, 1, 20, 165, 90, 157, 86, 90, 165, 3, 2.23788
62, 2, triangle, attraction, a-b-da, 2, 3, 1, 21, 195, 120, 193, 119, 120, 195, 3, 2.72047
62, 2, triangle, attraction, a-b-db, 5, 2, 1, 22, 90, 165, 165, 90, 88, 161, 2, 2.77113
62, 2, triangle, attraction, a-b-db, 14, 2, 1, 23, 90, 165, 83, 153, 165, 90, 1, 2.18414
62, 2, triangle, filler, NA, 999, 999, 1, 24, 157, 62, 70, 117, 113, 118, 3, 3.90699
62, 2, triangle, attraction, a-b-da, 2, 1, 1, 25, 135, 60, 134, 59, 60, 135, 1, 4.71264
62, 2, triangle, attraction, a-b-db, 5, 3, 1, 26, 195, 120, 117, 190, 120, 195, 2, 1.84361
62, 2, triangle, attraction, a-b-da, 2, 2, 1, 27, 90, 165, 163, 89, 165, 90, 1, 1.51883
62, 2, triangle, attraction, a-b-da, 5, 1, 1, 28, 60, 135, 132, 58, 135, 60, 1, 2.44956
62, 2, triangle, attraction, a-b-db, 9, 1, 1, 29, 57, 129, 135, 60, 60, 135, 3, 1.94576
62, 2, triangle, filler, NA, 999, 999, 1, 30, 56, 182, 115, 86, 100, 131, 3, 1.76797
62, 2, triangle, filler, NA, 999, 999, 1, 31, 154, 59, 95, 162, 94, 195, 3, 2.29024
62, 2, triangle, attraction, a-b-db, 14, 1, 1, 32, 60, 135, 135, 60, 56, 125, 1, 1.85737
62, 2, triangle, attraction, a-b-db, 2, 2, 1, 33, 89, 163, 90, 165, 165, 90, 2, 2.74479
62, 2, triangle, filler, NA, 999, 999, 1, 34, 167, 163, 164, 187, 150, 136, 2, 2.20429
62, 2, triangle, attraction, a-b-da, 2, 1, 2, 1, 60, 135, 134, 59, 135, 60, 1, 2.00694
62, 2, triangle, attraction, a-b-da, 2, 3, 2, 2, 195, 120, 120, 195, 193, 119, 1, 6.82409
62, 2, triangle, filler, NA, 999, 999, 2, 3, 174, 65, 134, 104, 149, 101, 2, 2.26715
62, 2, triangle, attraction, a-b-da, 5, 3, 2, 4, 120, 195, 190, 117, 195, 120, 1, 1.56017
62, 2, triangle, attraction, a-b-da, 9, 3, 2, 5, 186, 114, 195, 120, 120, 195, 3, 2.14882
62, 2, triangle, filler, NA, 999, 999, 2, 6, 181, 109, 159, 119, 112, 126, 1, 1.47119
62, 2, triangle, attraction, a-b-db, 5, 3, 2, 7, 117, 190, 195, 120, 120, 195, 3, 2.77484
62, 2, triangle, filler, NA, 999, 999, 2, 8, 56, 151, 70, 84, 122, 173, 3, 1.61893
62, 2, triangle, filler, NA, 999, 999, 2, 9, 80, 165, 86, 96, 177, 167, 3, 1.54936
62, 2, triangle, attraction, a-b-db, 2, 2, 2, 10, 165, 90, 89, 163, 90, 165, 2, 3.04232
62, 2, triangle, filler, NA, 999, 999, 2, 11, 113, 177, 189, 114, 142, 71, 1, 1.79462
62, 2, triangle, attraction, a-b-da, 2, 2, 2, 12, 90, 165, 163, 89, 165, 90, 1, 1.58757
62, 2, triangle, attraction, a-b-da, 5, 2, 2, 13, 90, 165, 165, 90, 161, 88, 1, 1.46153
62, 2, triangle, attraction, a-b-da, 14, 2, 2, 14, 90, 165, 165, 90, 153, 83, 2, 1.62952
62, 2, triangle, filler, NA, 999, 999, 2, 15, 119, 150, 138, 139, 195, 69, 2, 3.30405
62, 2, triangle, attraction, a-b-da, 9, 2, 2, 16, 90, 165, 165, 90, 157, 86, 1, 1.9429
62, 2, triangle, attraction, a-b-da, 5, 1, 2, 17, 135, 60, 60, 135, 132, 58, 2, 2.78668
62, 2, triangle, filler, NA, 999, 999, 2, 18, 128, 151, 136, 171, 85, 60, 2, 1.67511
62, 2, triangle, attraction, a-b-da, 14, 1, 2, 19, 60, 135, 125, 56, 135, 60, 3, 1.52404
62, 2, triangle, attraction, a-b-db, 14, 3, 2, 20, 120, 195, 195, 120, 111, 181, 1, 2.24332
62, 2, triangle, attraction, a-b-db, 5, 2, 2, 21, 165, 90, 88, 161, 90, 165, 3, 2.8022
62, 2, triangle, attraction, a-b-db, 14, 2, 2, 22, 165, 90, 83, 153, 90, 165, 1, 1.22039
62, 2, triangle, attraction, a-b-db, 9, 2, 2, 23, 90, 165, 165, 90, 86, 157, 1, 1.71884
62, 2, triangle, attraction, a-b-db, 2, 1, 2, 24, 60, 135, 135, 60, 59, 134, 3, 2.98014
62, 2, triangle, filler, NA, 999, 999, 2, 25, 151, 118, 155, 77, 119, 170, 3, 1.58961
62, 2, triangle, attraction, a-b-da, 9, 1, 2, 26, 135, 60, 129, 57, 60, 135, 3, 2.83284
62, 2, triangle, attraction, a-b-db, 14, 1, 2, 27, 60, 135, 56, 125, 135, 60, 1, 2.92329
62, 2, triangle, attraction, a-b-db, 9, 3, 2, 28, 120, 195, 114, 186, 195, 120, 3, 1.91973
62, 2, triangle, attraction, a-b-da, 14, 3, 2, 29, 181, 111, 120, 195, 195, 120, 2, 1.89881
62, 2, triangle, attraction, a-b-db, 5, 1, 2, 30, 58, 132, 135, 60, 60, 135, 3, 2.66692
62, 2, triangle, filler, NA, 999, 999, 2, 31, 145, 178, 150, 193, 170, 77, 2, 2.09823
62, 2, triangle, attraction, a-b-db, 9, 1, 2, 32, 57, 129, 135, 60, 60, 135, 3, 2.01664
62, 2, triangle, attraction, a-b-db, 2, 3, 2, 33, 120, 195, 195, 120, 119, 193, 1, 2.04835
62, 2, triangle, filler, NA, 999, 999, 2, 34, 167, 89, 189, 194, 117, 180, 2, 3.52887
62, 2, triangle, attraction, a-b-da, 5, 1, 3, 1, 132, 58, 135, 60, 60, 135, 3, 2.29304
62, 2, triangle, attraction, a-b-db, 9, 2, 3, 2, 90, 165, 165, 90, 86, 157, 1, 1.69366
62, 2, triangle, filler, NA, 999, 999, 3, 3, 153, 162, 77, 108, 148, 85, 1, 1.18633
62, 2, triangle, filler, NA, 999, 999, 3, 4, 125, 86, 142, 143, 116, 114, 2, 1.41186
62, 2, triangle, attraction, a-b-db, 9, 1, 3, 5, 57, 129, 135, 60, 60, 135, 3, 1.51099
62, 2, triangle, filler, NA, 999, 999, 3, 6, 133, 158, 125, 62, 167, 78, 1, 1.35885
62, 2, triangle, attraction, a-b-db, 2, 2, 3, 7, 90, 165, 89, 163, 165, 90, 1, 1.8266
62, 2, triangle, filler, NA, 999, 999, 3, 8, 56, 186, 59, 171, 120, 132, 3, 1.492
62, 2, triangle, attraction, a-b-db, 5, 3, 3, 9, 120, 195, 195, 120, 117, 190, 2, 1.651
62, 2, triangle, attraction, a-b-da, 2, 1, 3, 10, 60, 135, 134, 59, 135, 60, 2, 1.7944
62, 2, triangle, filler, NA, 999, 999, 3, 11, 151, 157, 123, 119, 136, 79, 1, 1.37957
62, 2, triangle, attraction, a-b-da, 9, 2, 3, 12, 90, 165, 157, 86, 165, 90, 1, 1.52821
62, 2, triangle, attraction, a-b-da, 9, 3, 3, 13, 186, 114, 195, 120, 120, 195, 3, 1.59113
62, 2, triangle, attraction, a-b-da, 5, 3, 3, 14, 190, 117, 195, 120, 120, 195, 2, 1.63387
62, 2, triangle, attraction, a-b-da, 5, 2, 3, 15, 90, 165, 161, 88, 165, 90, 1, 1.33705
62, 2, triangle, filler, NA, 999, 999, 3, 16, 125, 142, 174, 85, 137, 72, 1, 1.3575
62, 2, triangle, filler, NA, 999, 999, 3, 17, 187, 185, 101, 164, 91, 111, 1, 1.33829
62, 2, triangle, attraction, a-b-db, 9, 3, 3, 18, 120, 195, 114, 186, 195, 120, 1, 1.47199
62, 2, triangle, attraction, a-b-db, 5, 1, 3, 19, 58, 132, 60, 135, 135, 60, 2, 4.37364
62, 2, triangle, attraction, a-b-db, 2, 1, 3, 20, 60, 135, 135, 60, 59, 134, 1, 3.84038
62, 2, triangle, attraction, a-b-da, 14, 2, 3, 21, 90, 165, 153, 83, 165, 90, 1, 4.23342
62, 2, triangle, filler, NA, 999, 999, 3, 22, 110, 68, 117, 119, 125, 94, 2, 3.53687
62, 2, triangle, attraction, a-b-db, 2, 3, 3, 23, 120, 195, 195, 120, 119, 193, 1, 2.34111
62, 2, triangle, attraction, a-b-db, 14, 1, 3, 24, 135, 60, 60, 135, 56, 125, 2, 2.72127
62, 2, triangle, filler, NA, 999, 999, 3, 25, 73, 191, 131, 97, 177, 96, 1, 2.48175
62, 2, triangle, attraction, a-b-da, 2, 2, 3, 26, 165, 90, 90, 165, 163, 89, 2, 1.75061
62, 2, triangle, attraction, a-b-db, 14, 2, 3, 27, 83, 153, 90, 165, 165, 90, 2, 2.19349
62, 2, triangle, attraction, a-b-db, 14, 3, 3, 28, 195, 120, 111, 181, 120, 195, 3, 3.15043
62, 2, triangle, attraction, a-b-da, 9, 1, 3, 29, 135, 60, 60, 135, 129, 57, 2, 5.26502
