sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
75, 2, horizontal, practice, NA, 999, 999, 0, 1, 71, 146, 127, 193, 149, 76, 2, 1.94145
75, 2, horizontal, practice, NA, 999, 999, 0, 2, 187, 83, 77, 191, 183, 180, 1, 2.39184
75, 2, horizontal, practice, NA, 999, 999, 0, 3, 139, 181, 97, 127, 134, 134, 1, 3.54665
75, 2, horizontal, attraction, a-b-db, 14, 3, 1, 1, 195, 120, 120, 195, 111, 181, 1, 3.41028
75, 2, horizontal, filler, NA, 999, 999, 1, 2, 78, 116, 93, 185, 65, 105, 2, 1.33286
75, 2, horizontal, filler, NA, 999, 999, 1, 3, 184, 103, 60, 81, 110, 76, 1, 1.37624
75, 2, horizontal, attraction, a-b-da, 5, 2, 1, 4, 161, 88, 165, 90, 90, 165, 3, 4.69355
75, 2, horizontal, attraction, a-b-da, 14, 1, 1, 5, 60, 135, 135, 60, 125, 56, 1, 3.73199
75, 2, horizontal, attraction, a-b-da, 9, 2, 1, 6, 157, 86, 165, 90, 90, 165, 3, 4.81507
75, 2, horizontal, attraction, a-b-db, 5, 3, 1, 7, 117, 190, 120, 195, 195, 120, 3, 4.84052
75, 2, horizontal, attraction, a-b-da, 5, 3, 1, 8, 120, 195, 195, 120, 190, 117, 2, 1.67868
75, 2, horizontal, attraction, a-b-da, 5, 1, 1, 9, 135, 60, 132, 58, 60, 135, 1, 2.6799
75, 2, horizontal, attraction, a-b-db, 2, 3, 1, 10, 119, 193, 195, 120, 120, 195, 1, 2.20682
75, 2, horizontal, filler, NA, 999, 999, 1, 11, 151, 131, 128, 144, 80, 180, 1, 2.20207
75, 2, horizontal, attraction, a-b-da, 2, 1, 1, 12, 60, 135, 134, 59, 135, 60, 1, 3.85092
75, 2, horizontal, filler, NA, 999, 999, 1, 13, 145, 130, 172, 173, 141, 168, 2, 1.34646
75, 2, horizontal, attraction, a-b-db, 14, 2, 1, 14, 83, 153, 165, 90, 90, 165, 1, 4.64686
75, 2, horizontal, attraction, a-b-db, 2, 2, 1, 15, 89, 163, 165, 90, 90, 165, 1, 2.08639
75, 2, horizontal, filler, NA, 999, 999, 1, 16, 122, 146, 159, 176, 109, 127, 2, 1.17151
75, 2, horizontal, filler, NA, 999, 999, 1, 17, 156, 87, 193, 82, 88, 148, 2, 1.55245
75, 2, horizontal, filler, NA, 999, 999, 1, 18, 66, 161, 68, 61, 152, 85, 1, 2.52443
