sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
207, 5, horizontal, practice, NA, 999, 999, 0, 1, 70, 59, 93, 176, 96, 195, 3, 2.22096
207, 5, horizontal, practice, NA, 999, 999, 0, 2, 194, 85, 191, 67, 175, 157, 3, 2.05631
207, 5, horizontal, practice, NA, 999, 999, 0, 3, 57, 137, 64, 88, 159, 157, 3, 3.06721
207, 5, horizontal, filler, NA, 999, 999, 1, 1, 191, 186, 97, 105, 134, 167, 1, 2.52897
207, 5, horizontal, attraction, a-b-da, 2, 2, 1, 2, 90, 165, 163, 89, 165, 90, 2, 3.80566
207, 5, horizontal, filler, NA, 999, 999, 1, 3, 178, 190, 195, 172, 119, 116, 2, 3.23289
207, 5, horizontal, attraction, a-b-da, 9, 3, 1, 4, 120, 195, 186, 114, 195, 120, 1, 5.79489
207, 5, horizontal, attraction, a-b-da, 9, 2, 1, 5, 165, 90, 157, 86, 90, 165, 3, 4.56884
207, 5, horizontal, filler, NA, 999, 999, 1, 6, 97, 126, 76, 122, 194, 136, 3, 1.38681
207, 5, horizontal, filler, NA, 999, 999, 1, 7, 88, 163, 97, 88, 148, 166, 3, 1.70114
207, 5, horizontal, attraction, a-b-db, 5, 2, 1, 8, 165, 90, 90, 165, 88, 161, 2, 4.3405
207, 5, horizontal, attraction, a-b-da, 5, 3, 1, 9, 120, 195, 195, 120, 190, 117, 2, 4.2259
207, 5, horizontal, attraction, a-b-db, 5, 3, 1, 10, 195, 120, 117, 190, 120, 195, 3, 3.28382
207, 5, horizontal, attraction, a-b-da, 2, 3, 1, 11, 195, 120, 120, 195, 193, 119, 2, 4.79655
207, 5, horizontal, attraction, a-b-db, 2, 3, 1, 12, 195, 120, 119, 193, 120, 195, 1, 3.32608
207, 5, horizontal, attraction, a-b-db, 9, 3, 1, 13, 114, 186, 120, 195, 195, 120, 2, 2.40394
207, 5, horizontal, attraction, a-b-db, 9, 1, 1, 14, 60, 135, 135, 60, 57, 129, 2, 4.16479
207, 5, horizontal, filler, NA, 999, 999, 1, 15, 70, 185, 151, 137, 118, 95, 2, 2.0027
207, 5, horizontal, attraction, a-b-da, 14, 3, 1, 16, 195, 120, 181, 111, 120, 195, 3, 8.02115
207, 5, horizontal, attraction, a-b-da, 9, 1, 1, 17, 135, 60, 129, 57, 60, 135, 2, 2.88856
207, 5, horizontal, filler, NA, 999, 999, 1, 18, 71, 86, 137, 192, 114, 180, 2, 1.40612
207, 5, horizontal, attraction, a-b-da, 5, 1, 1, 19, 132, 58, 60, 135, 135, 60, 2, 2.13716
207, 5, horizontal, attraction, a-b-db, 2, 1, 1, 20, 135, 60, 59, 134, 60, 135, 3, 2.6222
207, 5, horizontal, filler, NA, 999, 999, 1, 21, 133, 190, 90, 102, 100, 179, 1, 1.1123
207, 5, horizontal, attraction, a-b-db, 14, 1, 1, 22, 60, 135, 135, 60, 56, 125, 2, 1.66431
207, 5, horizontal, filler, NA, 999, 999, 1, 23, 160, 186, 60, 68, 140, 160, 1, 1.3574
207, 5, horizontal, attraction, a-b-da, 14, 1, 1, 24, 60, 135, 135, 60, 125, 56, 2, 1.5144
207, 5, horizontal, attraction, a-b-db, 2, 2, 1, 25, 89, 163, 90, 165, 165, 90, 3, 1.66335
207, 5, horizontal, attraction, a-b-db, 14, 2, 1, 26, 90, 165, 165, 90, 83, 153, 2, 1.25689
207, 5, horizontal, attraction, a-b-db, 14, 3, 1, 27, 120, 195, 195, 120, 111, 181, 1, 4.24143
207, 5, horizontal, attraction, a-b-da, 5, 2, 1, 28, 90, 165, 161, 88, 165, 90, 3, 2.70838
207, 5, horizontal, filler, NA, 999, 999, 1, 29, 160, 183, 162, 192, 189, 152, 2, 2.9304
207, 5, horizontal, attraction, a-b-db, 9, 2, 1, 30, 90, 165, 86, 157, 165, 90, 3, 5.87792
207, 5, horizontal, filler, NA, 999, 999, 1, 31, 151, 138, 163, 85, 168, 63, 1, 1.35982
207, 5, horizontal, attraction, a-b-da, 14, 2, 1, 32, 90, 165, 165, 90, 153, 83, 2, 1.26727
207, 5, horizontal, attraction, a-b-da, 2, 1, 1, 33, 60, 135, 134, 59, 135, 60, 3, 3.65855
207, 5, horizontal, attraction, a-b-db, 5, 1, 1, 34, 60, 135, 135, 60, 58, 132, 1, 3.39593
207, 5, horizontal, attraction, a-b-da, 5, 1, 2, 1, 60, 135, 132, 58, 135, 60, 3, 1.84767
207, 5, horizontal, attraction, a-b-da, 14, 1, 2, 2, 60, 135, 125, 56, 135, 60, 3, 1.80861
207, 5, horizontal, attraction, a-b-db, 2, 1, 2, 3, 135, 60, 59, 134, 60, 135, 1, 1.64091
207, 5, horizontal, attraction, a-b-db, 5, 2, 2, 4, 165, 90, 90, 165, 88, 161, 2, 3.02036
207, 5, horizontal, attraction, a-b-da, 9, 3, 2, 5, 120, 195, 186, 114, 195, 120, 3, 1.8444
207, 5, horizontal, attraction, a-b-da, 2, 2, 2, 6, 163, 89, 165, 90, 90, 165, 3, 4.47931
207, 5, horizontal, attraction, a-b-db, 14, 3, 2, 7, 195, 120, 111, 181, 120, 195, 3, 2.02871
207, 5, horizontal, filler, NA, 999, 999, 2, 8, 149, 104, 173, 179, 157, 195, 2, 1.59938
207, 5, horizontal, attraction, a-b-db, 14, 2, 2, 9, 90, 165, 165, 90, 83, 153, 1, 4.00273
207, 5, horizontal, attraction, a-b-db, 5, 3, 2, 10, 120, 195, 117, 190, 195, 120, 2, 2.93303
