sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
55, 5, horizontal, practice, NA, 999, 999, 0, 1, 154, 166, 95, 57, 76, 85, 1, 2.69709
55, 5, horizontal, practice, NA, 999, 999, 0, 2, 183, 154, 125, 133, 192, 109, 1, 2.19436
55, 5, horizontal, practice, NA, 999, 999, 0, 3, 56, 73, 191, 157, 173, 150, 2, 1.7781
55, 5, horizontal, attraction, a-b-db, 14, 3, 1, 1, 120, 195, 111, 181, 195, 120, 1, 3.67755
55, 5, horizontal, attraction, a-b-db, 9, 2, 1, 2, 90, 165, 165, 90, 86, 157, 1, 1.82164
55, 5, horizontal, filler, NA, 999, 999, 1, 3, 185, 169, 162, 93, 71, 183, 1, 1.46297
55, 5, horizontal, attraction, a-b-da, 14, 1, 1, 4, 125, 56, 60, 135, 135, 60, 2, 2.30551
55, 5, horizontal, attraction, a-b-da, 5, 2, 1, 5, 90, 165, 165, 90, 161, 88, 1, 1.73573
55, 5, horizontal, attraction, a-b-db, 5, 2, 1, 6, 165, 90, 88, 161, 90, 165, 3, 1.98088
55, 5, horizontal, attraction, a-b-db, 5, 3, 1, 7, 195, 120, 117, 190, 120, 195, 3, 2.06415
55, 5, horizontal, attraction, a-b-db, 2, 3, 1, 8, 120, 195, 195, 120, 119, 193, 3, 1.71025
55, 5, horizontal, attraction, a-b-db, 5, 1, 1, 9, 60, 135, 135, 60, 58, 132, 2, 2.06949
55, 5, horizontal, filler, NA, 999, 999, 1, 10, 109, 135, 83, 84, 124, 140, 3, 2.70982
55, 5, horizontal, filler, NA, 999, 999, 1, 11, 186, 59, 136, 66, 102, 150, 3, 1.55706
55, 5, horizontal, attraction, a-b-da, 2, 3, 1, 12, 120, 195, 193, 119, 195, 120, 1, 1.57827
55, 5, horizontal, attraction, a-b-db, 9, 3, 1, 13, 195, 120, 114, 186, 120, 195, 3, 1.56379
55, 5, horizontal, filler, NA, 999, 999, 1, 14, 82, 157, 163, 140, 171, 107, 2, 1.37632
55, 5, horizontal, attraction, a-b-da, 2, 1, 1, 15, 135, 60, 60, 135, 134, 59, 2, 1.59979
55, 5, horizontal, filler, NA, 999, 999, 1, 16, 146, 149, 73, 175, 98, 65, 1, 1.66373
55, 5, horizontal, attraction, a-b-db, 9, 1, 1, 17, 57, 129, 135, 60, 60, 135, 3, 3.81504
55, 5, horizontal, filler, NA, 999, 999, 1, 18, 168, 74, 185, 108, 143, 93, 2, 1.60958
55, 5, horizontal, attraction, a-b-db, 14, 1, 1, 19, 56, 125, 60, 135, 135, 60, 2, 1.69324
55, 5, horizontal, attraction, a-b-da, 9, 2, 1, 20, 165, 90, 157, 86, 90, 165, 3, 1.89223
55, 5, horizontal, attraction, a-b-da, 14, 2, 1, 21, 165, 90, 153, 83, 90, 165, 3, 1.45771
55, 5, horizontal, filler, NA, 999, 999, 1, 22, 168, 185, 66, 194, 127, 167, 1, 1.85231
55, 5, horizontal, filler, NA, 999, 999, 1, 23, 114, 127, 59, 140, 166, 134, 3, 3.22111
55, 5, horizontal, attraction, a-b-db, 2, 2, 1, 24, 89, 163, 165, 90, 90, 165, 2, 1.48502
55, 5, horizontal, attraction, a-b-da, 5, 3, 1, 25, 190, 117, 195, 120, 120, 195, 3, 1.29631
55, 5, horizontal, attraction, a-b-db, 2, 1, 1, 26, 60, 135, 59, 134, 135, 60, 2, 1.64524
