sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
70, 6, triangle, practice, NA, 999, 999, 0, 1, 57, 116, 123, 85, 133, 83, 3, 5.08166
70, 6, triangle, practice, NA, 999, 999, 0, 2, 88, 66, 120, 154, 75, 100, 2, 3.4882
70, 6, triangle, practice, NA, 999, 999, 0, 3, 99, 167, 152, 169, 70, 190, 2, 1.51946
70, 6, triangle, attraction, a-b-db, 14, 3, 1, 1, 111, 181, 120, 195, 195, 120, 2, 3.65347
70, 6, triangle, attraction, a-b-db, 5, 1, 1, 2, 58, 132, 135, 60, 60, 135, 3, 2.87694
70, 6, triangle, filler, NA, 999, 999, 1, 3, 100, 68, 72, 146, 192, 173, 3, 1.94679
70, 6, triangle, attraction, a-b-db, 2, 3, 1, 4, 195, 120, 119, 193, 120, 195, 1, 2.21514
70, 6, triangle, attraction, a-b-da, 5, 3, 1, 5, 120, 195, 190, 117, 195, 120, 3, 6.80782
70, 6, triangle, filler, NA, 999, 999, 1, 6, 147, 107, 146, 114, 86, 111, 2, 2.44011
70, 6, triangle, attraction, a-b-db, 2, 1, 1, 7, 59, 134, 60, 135, 135, 60, 2, 2.09813
70, 6, triangle, filler, NA, 999, 999, 1, 8, 142, 69, 98, 91, 79, 131, 3, 6.75306
70, 6, triangle, attraction, a-b-db, 14, 1, 1, 9, 56, 125, 135, 60, 60, 135, 2, 2.08266
70, 6, triangle, filler, NA, 999, 999, 1, 10, 60, 169, 83, 194, 132, 93, 2, 1.83986
70, 6, triangle, attraction, a-b-db, 5, 3, 1, 11, 117, 190, 195, 120, 120, 195, 2, 2.4178
70, 6, triangle, filler, NA, 999, 999, 1, 12, 108, 194, 135, 112, 165, 66, 1, 1.77852
70, 6, triangle, attraction, a-b-da, 14, 1, 1, 13, 135, 60, 60, 135, 125, 56, 1, 4.62364
70, 6, triangle, attraction, a-b-da, 9, 1, 1, 14, 60, 135, 129, 57, 135, 60, 3, 9.42462
70, 6, triangle, attraction, a-b-da, 5, 2, 1, 15, 165, 90, 161, 88, 90, 165, 1, 5.60594
70, 6, triangle, attraction, a-b-da, 2, 1, 1, 16, 135, 60, 60, 135, 134, 59, 1, 2.08643
70, 6, triangle, filler, NA, 999, 999, 1, 17, 153, 115, 154, 173, 177, 78, 2, 1.33358
70, 6, triangle, filler, NA, 999, 999, 1, 18, 76, 141, 195, 93, 144, 77, 2, 1.28094
70, 6, triangle, filler, NA, 999, 999, 1, 19, 171, 61, 163, 184, 172, 108, 2, 1.27508
70, 6, triangle, attraction, a-b-da, 14, 3, 1, 20, 181, 111, 120, 195, 195, 120, 2, 1.82455
70, 6, triangle, attraction, a-b-da, 5, 1, 1, 21, 135, 60, 60, 135, 132, 58, 1, 2.10588
70, 6, triangle, attraction, a-b-db, 5, 2, 1, 22, 88, 161, 90, 165, 165, 90, 2, 2.49687
70, 6, triangle, attraction, a-b-db, 2, 2, 1, 23, 90, 165, 165, 90, 89, 163, 3, 2.96785
70, 6, triangle, attraction, a-b-db, 14, 2, 1, 24, 90, 165, 83, 153, 165, 90, 1, 3.18579
70, 6, triangle, attraction, a-b-da, 9, 3, 1, 25, 195, 120, 186, 114, 120, 195, 1, 5.69346
