sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
369, 2, horizontal, practice, NA, 999, 999, 0, 1, 119, 90, 175, 127, 149, 159, 3, 3.49222
369, 2, horizontal, practice, NA, 999, 999, 0, 2, 159, 160, 142, 135, 102, 77, 1, 1.5867
369, 2, horizontal, practice, NA, 999, 999, 0, 3, 94, 80, 125, 151, 182, 148, 3, 1.16566
369, 2, horizontal, attraction, a-b-da, 2, 3, 1, 1, 120, 195, 195, 120, 193, 119, 2, 2.13761
369, 2, horizontal, attraction, a-b-da, 5, 1, 1, 2, 132, 58, 135, 60, 60, 135, 3, 3.19125
369, 2, horizontal, filler, NA, 999, 999, 1, 3, 193, 81, 72, 124, 76, 153, 1, 1.73089
369, 2, horizontal, attraction, a-b-db, 5, 1, 1, 4, 58, 132, 60, 135, 135, 60, 3, 1.35703
369, 2, horizontal, attraction, a-b-db, 9, 3, 1, 5, 120, 195, 114, 186, 195, 120, 1, 1.21213
369, 2, horizontal, attraction, a-b-da, 14, 2, 1, 6, 90, 165, 165, 90, 153, 83, 2, 1.55652
369, 2, horizontal, attraction, a-b-da, 5, 2, 1, 7, 90, 165, 161, 88, 165, 90, 3, 1.6091
369, 2, horizontal, filler, NA, 999, 999, 1, 8, 144, 64, 106, 60, 162, 138, 3, 1.45904
369, 2, horizontal, attraction, a-b-db, 5, 3, 1, 9, 117, 190, 120, 195, 195, 120, 2, 2.11534
369, 2, horizontal, attraction, a-b-da, 14, 1, 1, 10, 60, 135, 125, 56, 135, 60, 2, 1.39335
369, 2, horizontal, filler, NA, 999, 999, 1, 11, 103, 165, 167, 99, 111, 94, 2, 1.78913
369, 2, horizontal, attraction, a-b-da, 9, 3, 1, 12, 195, 120, 120, 195, 186, 114, 3, 1.96619
369, 2, horizontal, attraction, a-b-da, 5, 3, 1, 13, 120, 195, 195, 120, 190, 117, 2, 1.91454
369, 2, horizontal, filler, NA, 999, 999, 1, 14, 103, 130, 63, 132, 79, 143, 1, 1.48773
369, 2, horizontal, attraction, a-b-db, 14, 3, 1, 15, 120, 195, 195, 120, 111, 181, 2, 1.63839
369, 2, horizontal, filler, NA, 999, 999, 1, 16, 83, 85, 186, 85, 147, 117, 3, 1.36741
369, 2, horizontal, attraction, a-b-db, 2, 2, 1, 17, 165, 90, 89, 163, 90, 165, 1, 1.59561
369, 2, horizontal, attraction, a-b-db, 14, 1, 1, 18, 56, 125, 60, 135, 135, 60, 2, 1.53977
369, 2, horizontal, attraction, a-b-da, 2, 1, 1, 19, 134, 59, 135, 60, 60, 135, 3, 4.93136
369, 2, horizontal, attraction, a-b-db, 5, 2, 1, 20, 165, 90, 88, 161, 90, 165, 3, 1.84542
369, 2, horizontal, attraction, a-b-da, 14, 3, 1, 21, 120, 195, 181, 111, 195, 120, 3, 1.98244
369, 2, horizontal, attraction, a-b-da, 9, 1, 1, 22, 60, 135, 135, 60, 129, 57, 2, 2.145
369, 2, horizontal, attraction, a-b-db, 9, 1, 1, 23, 60, 135, 135, 60, 57, 129, 2, 1.48567
369, 2, horizontal, attraction, a-b-db, 9, 2, 1, 24, 90, 165, 86, 157, 165, 90, 2, 1.61325
369, 2, horizontal, filler, NA, 999, 999, 1, 25, 106, 186, 195, 185, 108, 162, 2, 1.39179
369, 2, horizontal, filler, NA, 999, 999, 1, 26, 83, 129, 93, 133, 187, 184, 3, 1.45746
369, 2, horizontal, attraction, a-b-da, 9, 2, 1, 27, 90, 165, 165, 90, 157, 86, 1, 3.09647
369, 2, horizontal, attraction, a-b-db, 2, 3, 1, 28, 195, 120, 120, 195, 119, 193, 3, 4.39855
369, 2, horizontal, filler, NA, 999, 999, 1, 29, 102, 56, 139, 140, 159, 177, 3, 1.56291
369, 2, horizontal, filler, NA, 999, 999, 1, 30, 78, 58, 97, 188, 72, 169, 2, 2.87922
369, 2, horizontal, filler, NA, 999, 999, 1, 31, 125, 107, 63, 58, 120, 91, 1, 1.42114
369, 2, horizontal, attraction, a-b-db, 2, 1, 1, 32, 59, 134, 135, 60, 60, 135, 3, 1.79781
369, 2, horizontal, attraction, a-b-da, 2, 2, 1, 33, 90, 165, 165, 90, 163, 89, 1, 1.35991
369, 2, horizontal, attraction, a-b-db, 14, 2, 1, 34, 165, 90, 83, 153, 90, 165, 3, 1.45346
369, 2, horizontal, attraction, a-b-da, 2, 3, 2, 1, 193, 119, 195, 120, 120, 195, 1, 2.00258
369, 2, horizontal, attraction, a-b-da, 2, 2, 2, 2, 165, 90, 163, 89, 90, 165, 3, 1.92774
369, 2, horizontal, filler, NA, 999, 999, 2, 3, 123, 107, 184, 85, 183, 119, 3, 1.11674
369, 2, horizontal, filler, NA, 999, 999, 2, 4, 85, 81, 171, 65, 78, 132, 3, 2.21667
369, 2, horizontal, attraction, a-b-db, 5, 2, 2, 5, 90, 165, 88, 161, 165, 90, 1, 1.89049
369, 2, horizontal, attraction, a-b-db, 14, 1, 2, 6, 60, 135, 56, 125, 135, 60, 1, 1.89183
369, 2, horizontal, attraction, a-b-da, 9, 1, 2, 7, 135, 60, 60, 135, 129, 57, 2, 2.0808
369, 2, horizontal, attraction, a-b-da, 9, 3, 2, 8, 186, 114, 195, 120, 120, 195, 3, 4.07166
369, 2, horizontal, attraction, a-b-db, 9, 1, 2, 9, 60, 135, 57, 129, 135, 60, 1, 1.7975
369, 2, horizontal, attraction, a-b-db, 14, 3, 2, 10, 120, 195, 195, 120, 111, 181, 2, 1.38429
369, 2, horizontal, filler, NA, 999, 999, 2, 11, 146, 177, 143, 136, 192, 116, 1, 3.36426
369, 2, horizontal, attraction, a-b-db, 9, 3, 2, 12, 195, 120, 114, 186, 120, 195, 2, 1.47684
369, 2, horizontal, attraction, a-b-db, 9, 2, 2, 13, 86, 157, 90, 165, 165, 90, 2, 1.64572
369, 2, horizontal, filler, NA, 999, 999, 2, 14, 94, 138, 179, 76, 167, 77, 2, 1.50188
369, 2, horizontal, filler, NA, 999, 999, 2, 15, 142, 147, 148, 117, 121, 120, 1, 7.3973
369, 2, horizontal, filler, NA, 999, 999, 2, 16, 162, 173, 174, 179, 93, 156, 2, 1.35612
369, 2, horizontal, attraction, a-b-db, 14, 2, 2, 17, 165, 90, 90, 165, 83, 153, 3, 6.4899
369, 2, horizontal, attraction, a-b-db, 2, 1, 2, 18, 60, 135, 59, 134, 135, 60, 2, 1.94334
369, 2, horizontal, attraction, a-b-da, 5, 3, 2, 19, 120, 195, 190, 117, 195, 120, 1, 1.78023
369, 2, horizontal, attraction, a-b-db, 5, 3, 2, 20, 117, 190, 195, 120, 120, 195, 1, 2.4058
369, 2, horizontal, attraction, a-b-da, 5, 2, 2, 21, 90, 165, 165, 90, 161, 88, 2, 3.36036
369, 2, horizontal, attraction, a-b-da, 5, 1, 2, 22, 135, 60, 60, 135, 132, 58, 2, 1.90838
369, 2, horizontal, attraction, a-b-db, 2, 3, 2, 23, 195, 120, 120, 195, 119, 193, 1, 1.91158
369, 2, horizontal, attraction, a-b-da, 14, 3, 2, 24, 181, 111, 120, 195, 195, 120, 2, 1.86376
369, 2, horizontal, filler, NA, 999, 999, 2, 25, 141, 135, 116, 121, 118, 188, 3, 2.89498
369, 2, horizontal, attraction, a-b-db, 5, 1, 2, 26, 135, 60, 60, 135, 58, 132, 1, 2.60031
369, 2, horizontal, attraction, a-b-da, 2, 1, 2, 27, 134, 59, 60, 135, 135, 60, 2, 4.78375
369, 2, horizontal, attraction, a-b-da, 14, 2, 2, 28, 90, 165, 165, 90, 153, 83, 2, 1.30657
369, 2, horizontal, filler, NA, 999, 999, 2, 29, 190, 91, 180, 156, 61, 131, 2, 1.39149
369, 2, horizontal, filler, NA, 999, 999, 2, 30, 68, 91, 140, 67, 56, 177, 3, 1.58046
369, 2, horizontal, filler, NA, 999, 999, 2, 31, 89, 183, 146, 72, 67, 65, 1, 1.85522
369, 2, horizontal, attraction, a-b-db, 2, 2, 2, 32, 165, 90, 89, 163, 90, 165, 1, 1.58174
369, 2, horizontal, attraction, a-b-da, 9, 2, 2, 33, 157, 86, 90, 165, 165, 90, 1, 1.64066
369, 2, horizontal, attraction, a-b-da, 14, 1, 2, 34, 135, 60, 60, 135, 125, 56, 3, 1.1851
369, 2, horizontal, filler, NA, 999, 999, 3, 1, 81, 159, 169, 129, 86, 170, 2, 1.22861
369, 2, horizontal, attraction, a-b-db, 9, 1, 3, 2, 135, 60, 60, 135, 57, 129, 1, 1.45593
369, 2, horizontal, attraction, a-b-da, 5, 1, 3, 3, 135, 60, 132, 58, 60, 135, 1, 1.32682
369, 2, horizontal, attraction, a-b-db, 9, 2, 3, 4, 90, 165, 86, 157, 165, 90, 3, 1.6297
369, 2, horizontal, attraction, a-b-db, 14, 1, 3, 5, 135, 60, 60, 135, 56, 125, 3, 3.91674
369, 2, horizontal, filler, NA, 999, 999, 3, 6, 93, 189, 192, 88, 153, 176, 3, 1.37873
369, 2, horizontal, attraction, a-b-da, 5, 3, 3, 7, 120, 195, 195, 120, 190, 117, 1, 3.51642
369, 2, horizontal, attraction, a-b-da, 9, 2, 3, 8, 157, 86, 90, 165, 165, 90, 1, 1.52261
369, 2, horizontal, attraction, a-b-db, 5, 1, 3, 9, 58, 132, 135, 60, 60, 135, 1, 1.66486
369, 2, horizontal, attraction, a-b-da, 14, 2, 3, 10, 165, 90, 153, 83, 90, 165, 1, 1.45731
