sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
514, 2, triangle, practice, NA, 999, 999, 0, 1, 104, 105, 97, 58, 60, 107, 1, 1.51431
514, 2, triangle, practice, NA, 999, 999, 0, 2, 152, 180, 152, 127, 117, 77, 1, 1.81014
514, 2, triangle, practice, NA, 999, 999, 0, 3, 92, 137, 137, 182, 178, 80, 2, 1.56326
514, 2, triangle, filler, NA, 999, 999, 1, 1, 73, 188, 114, 119, 91, 91, 1, 4.956
514, 2, triangle, attraction, a-b-da, 5, 1, 1, 2, 60, 135, 132, 58, 135, 60, 3, 5.73236
514, 2, triangle, attraction, a-b-db, 5, 2, 1, 3, 165, 90, 88, 161, 90, 165, 1, 2.29574
514, 2, triangle, filler, NA, 999, 999, 1, 4, 125, 73, 193, 118, 129, 88, 2, 1.342
514, 2, triangle, attraction, a-b-db, 14, 2, 1, 5, 83, 153, 90, 165, 165, 90, 2, 5.27664
514, 2, triangle, attraction, a-b-da, 9, 1, 1, 6, 135, 60, 129, 57, 60, 135, 3, 6.6667
514, 2, triangle, attraction, a-b-da, 2, 2, 1, 7, 163, 89, 90, 165, 165, 90, 2, 2.25686
514, 2, triangle, filler, NA, 999, 999, 1, 8, 79, 195, 115, 131, 174, 75, 2, 9.84697
514, 2, triangle, attraction, a-b-da, 9, 3, 1, 9, 186, 114, 195, 120, 120, 195, 3, 3.87069
514, 2, triangle, attraction, a-b-da, 5, 3, 1, 10, 190, 117, 120, 195, 195, 120, 2, 3.51891
514, 2, triangle, attraction, a-b-da, 9, 2, 1, 11, 90, 165, 165, 90, 157, 86, 2, 2.96218
514, 2, triangle, attraction, a-b-db, 5, 1, 1, 12, 135, 60, 58, 132, 60, 135, 1, 2.19016
514, 2, triangle, attraction, a-b-da, 2, 3, 1, 13, 195, 120, 193, 119, 120, 195, 3, 1.57607
514, 2, triangle, attraction, a-b-db, 9, 1, 1, 14, 135, 60, 57, 129, 60, 135, 3, 1.89397
514, 2, triangle, attraction, a-b-db, 14, 3, 1, 15, 195, 120, 120, 195, 111, 181, 3, 1.5858
514, 2, triangle, attraction, a-b-db, 2, 1, 1, 16, 60, 135, 135, 60, 59, 134, 2, 4.10196
514, 2, triangle, attraction, a-b-db, 2, 3, 1, 17, 195, 120, 120, 195, 119, 193, 2, 7.6111
514, 2, triangle, filler, NA, 999, 999, 1, 18, 128, 145, 182, 115, 149, 191, 3, 1.97009
514, 2, triangle, filler, NA, 999, 999, 1, 19, 147, 107, 129, 97, 193, 65, 1, 11.8954
514, 2, triangle, filler, NA, 999, 999, 1, 20, 137, 147, 166, 171, 92, 69, 2, 1.65054
514, 2, triangle, filler, NA, 999, 999, 1, 21, 179, 67, 100, 84, 113, 67, 1, 1.78655
514, 2, triangle, filler, NA, 999, 999, 1, 22, 146, 81, 166, 179, 135, 106, 2, 1.39868
514, 2, triangle, attraction, a-b-da, 14, 3, 1, 23, 181, 111, 195, 120, 120, 195, 2, 2.23133
514, 2, triangle, attraction, a-b-da, 5, 2, 1, 24, 90, 165, 165, 90, 161, 88, 1, 2.07893
514, 2, triangle, attraction, a-b-db, 9, 2, 1, 25, 86, 157, 90, 165, 165, 90, 3, 3.64903
514, 2, triangle, attraction, a-b-db, 14, 1, 1, 26, 56, 125, 135, 60, 60, 135, 2, 1.93452
514, 2, triangle, attraction, a-b-da, 14, 2, 1, 27, 165, 90, 153, 83, 90, 165, 1, 1.59449
514, 2, triangle, attraction, a-b-db, 9, 3, 1, 28, 120, 195, 114, 186, 195, 120, 2, 1.15906
514, 2, triangle, attraction, a-b-db, 5, 3, 1, 29, 195, 120, 117, 190, 120, 195, 3, 1.15748
514, 2, triangle, attraction, a-b-da, 2, 1, 1, 30, 135, 60, 134, 59, 60, 135, 3, 4.98438
514, 2, triangle, filler, NA, 999, 999, 1, 31, 58, 108, 106, 91, 80, 58, 2, 1.6485
514, 2, triangle, attraction, a-b-db, 2, 2, 1, 32, 165, 90, 89, 163, 90, 165, 1, 2.22708
514, 2, triangle, attraction, a-b-da, 14, 1, 1, 33, 125, 56, 60, 135, 135, 60, 2, 2.27527
514, 2, triangle, filler, NA, 999, 999, 1, 34, 74, 149, 174, 58, 109, 190, 3, 1.60943
514, 2, triangle, attraction, a-b-da, 9, 3, 2, 1, 186, 114, 195, 120, 120, 195, 3, 2.09811
514, 2, triangle, filler, NA, 999, 999, 2, 2, 117, 105, 67, 102, 70, 175, 1, 1.85722
514, 2, triangle, attraction, a-b-da, 9, 1, 2, 3, 129, 57, 135, 60, 60, 135, 2, 1.64156
514, 2, triangle, attraction, a-b-da, 2, 2, 2, 4, 165, 90, 163, 89, 90, 165, 3, 1.65759
514, 2, triangle, attraction, a-b-db, 14, 3, 2, 5, 120, 195, 195, 120, 111, 181, 2, 9.3209
514, 2, triangle, attraction, a-b-db, 2, 3, 2, 6, 120, 195, 119, 193, 195, 120, 2, 3.00555
514, 2, triangle, filler, NA, 999, 999, 2, 7, 122, 101, 104, 97, 161, 162, 3, 1.22404
514, 2, triangle, filler, NA, 999, 999, 2, 8, 151, 148, 88, 141, 134, 79, 1, 1.4576
514, 2, triangle, filler, NA, 999, 999, 2, 9, 168, 87, 87, 66, 80, 59, 1, 1.21756
514, 2, triangle, attraction, a-b-db, 2, 2, 2, 10, 90, 165, 89, 163, 165, 90, 3, 1.5062
514, 2, triangle, attraction, a-b-db, 14, 1, 2, 11, 135, 60, 60, 135, 56, 125, 2, 2.24807
514, 2, triangle, attraction, a-b-db, 9, 3, 2, 12, 120, 195, 114, 186, 195, 120, 3, 1.12711
514, 2, triangle, filler, NA, 999, 999, 2, 13, 111, 60, 103, 89, 63, 126, 2, 1.64657
514, 2, triangle, attraction, a-b-da, 2, 1, 2, 14, 134, 59, 60, 135, 135, 60, 2, 1.63966
514, 2, triangle, attraction, a-b-da, 5, 1, 2, 15, 135, 60, 132, 58, 60, 135, 3, 1.27201
514, 2, triangle, attraction, a-b-db, 5, 3, 2, 16, 120, 195, 195, 120, 117, 190, 3, 1.32592
514, 2, triangle, attraction, a-b-db, 9, 1, 2, 17, 135, 60, 60, 135, 57, 129, 1, 1.67678
514, 2, triangle, attraction, a-b-da, 14, 3, 2, 18, 195, 120, 120, 195, 181, 111, 1, 1.63564
514, 2, triangle, attraction, a-b-db, 5, 1, 2, 19, 60, 135, 58, 132, 135, 60, 3, 1.40626
514, 2, triangle, attraction, a-b-da, 14, 2, 2, 20, 90, 165, 165, 90, 153, 83, 2, 2.42391
514, 2, triangle, attraction, a-b-da, 9, 2, 2, 21, 157, 86, 90, 165, 165, 90, 1, 3.03228
514, 2, triangle, attraction, a-b-db, 5, 2, 2, 22, 88, 161, 90, 165, 165, 90, 3, 1.75978
514, 2, triangle, filler, NA, 999, 999, 2, 23, 76, 191, 188, 141, 147, 79, 2, 1.41197
514, 2, triangle, attraction, a-b-db, 9, 2, 2, 24, 90, 165, 165, 90, 86, 157, 1, 2.7121
514, 2, triangle, attraction, a-b-da, 5, 2, 2, 25, 90, 165, 165, 90, 161, 88, 2, 1.66744
514, 2, triangle, filler, NA, 999, 999, 2, 26, 80, 149, 142, 151, 64, 61, 2, 1.44363
514, 2, triangle, attraction, a-b-da, 14, 1, 2, 27, 135, 60, 125, 56, 60, 135, 1, 1.47562
514, 2, triangle, attraction, a-b-db, 2, 1, 2, 28, 59, 134, 60, 135, 135, 60, 3, 3.58857
514, 2, triangle, filler, NA, 999, 999, 2, 29, 96, 166, 154, 172, 86, 124, 2, 2.10948
514, 2, triangle, filler, NA, 999, 999, 2, 30, 127, 140, 124, 97, 137, 141, 3, 4.84423
514, 2, triangle, filler, NA, 999, 999, 2, 31, 115, 152, 131, 168, 75, 123, 2, 1.39648
