sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
10, 1, triangle, practice, NA, 999, 999, 0, 1, 168, 110, 190, 73, 119, 174, 3, 3.01232
10, 1, triangle, practice, NA, 999, 999, 0, 2, 161, 61, 109, 143, 91, 163, 2, 2.10167
10, 1, triangle, practice, NA, 999, 999, 0, 3, 126, 97, 134, 110, 85, 175, 2, 2.18078
10, 1, triangle, attraction, a-b-db, 2, 3, 1, 1, 120, 195, 195, 120, 119, 193, 2, 3.45791
10, 1, triangle, filler, NA, 999, 999, 1, 2, 147, 67, 139, 77, 116, 180, 3, 1.67537
10, 1, triangle, attraction, a-b-db, 2, 1, 1, 3, 135, 60, 59, 134, 60, 135, 1, 2.44915
10, 1, triangle, attraction, a-b-db, 14, 1, 1, 4, 135, 60, 56, 125, 60, 135, 1, 1.32129
10, 1, triangle, attraction, a-b-da, 2, 2, 1, 5, 165, 90, 90, 165, 163, 89, 3, 1.59922
10, 1, triangle, attraction, a-b-da, 9, 2, 1, 6, 90, 165, 157, 86, 165, 90, 3, 2.1304
10, 1, triangle, filler, NA, 999, 999, 1, 7, 94, 97, 163, 61, 130, 169, 3, 1.37684
10, 1, triangle, filler, NA, 999, 999, 1, 8, 133, 137, 158, 160, 99, 96, 2, 1.68044
10, 1, triangle, filler, NA, 999, 999, 1, 9, 136, 69, 85, 156, 181, 139, 3, 1.44912
10, 1, triangle, filler, NA, 999, 999, 1, 10, 158, 150, 104, 140, 108, 95, 1, 1.44747
10, 1, triangle, filler, NA, 999, 999, 1, 11, 100, 86, 191, 108, 151, 171, 3, 1.97628
10, 1, triangle, attraction, a-b-db, 5, 2, 1, 12, 90, 165, 88, 161, 165, 90, 3, 2.21378
10, 1, triangle, attraction, a-b-da, 5, 3, 1, 13, 190, 117, 120, 195, 195, 120, 2, 1.34237
10, 1, triangle, attraction, a-b-db, 9, 1, 1, 14, 135, 60, 60, 135, 57, 129, 2, 1.35849
10, 1, triangle, attraction, a-b-db, 5, 3, 1, 15, 117, 190, 120, 195, 195, 120, 2, 1.56882
10, 1, triangle, filler, NA, 999, 999, 1, 16, 191, 178, 194, 99, 87, 180, 1, 1.26845
10, 1, triangle, attraction, a-b-da, 9, 3, 1, 17, 186, 114, 195, 120, 120, 195, 3, 2.716
10, 1, triangle, attraction, a-b-da, 5, 2, 1, 18, 90, 165, 161, 88, 165, 90, 3, 5.07234
