sub_n, computer_n, disp_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
36, 2, triangle, practice, NA, 999, 999, 0, 1, 97, 60, 135, 84, 160, 169, 3, 2.30851
36, 2, triangle, practice, NA, 999, 999, 0, 2, 57, 182, 189, 67, 115, 119, 3, 2.14367
36, 2, triangle, practice, NA, 999, 999, 0, 3, 64, 192, 145, 75, 82, 195, 3, 1.58978
36, 2, triangle, attraction, a-b-da, 5, 1, 1, 1, 60, 135, 135, 60, 132, 58, 1, 6.34585
36, 2, triangle, attraction, a-b-da, 9, 3, 1, 2, 186, 114, 195, 120, 120, 195, 3, 4.46823
36, 2, triangle, filler, NA, 999, 999, 1, 3, 133, 99, 155, 117, 124, 111, 2, 1.85326
36, 2, triangle, attraction, a-b-db, 14, 3, 1, 4, 111, 181, 195, 120, 120, 195, 3, 4.26981
36, 2, triangle, filler, NA, 999, 999, 1, 5, 178, 69, 187, 80, 157, 139, 3, 1.53324
36, 2, triangle, filler, NA, 999, 999, 1, 6, 167, 80, 195, 177, 70, 115, 2, 1.44083
36, 2, triangle, attraction, a-b-db, 14, 2, 1, 7, 83, 153, 90, 165, 165, 90, 2, 1.87999
36, 2, triangle, attraction, a-b-db, 2, 2, 1, 8, 90, 165, 89, 163, 165, 90, 1, 1.88174
36, 2, triangle, attraction, a-b-db, 9, 3, 1, 9, 120, 195, 195, 120, 114, 186, 1, 5.14356
36, 2, triangle, attraction, a-b-da, 2, 3, 1, 10, 120, 195, 195, 120, 193, 119, 1, 6.84309
36, 2, triangle, filler, NA, 999, 999, 1, 11, 100, 130, 170, 57, 114, 80, 1, 1.61621
36, 2, triangle, attraction, a-b-da, 5, 2, 1, 12, 165, 90, 90, 165, 161, 88, 2, 1.61987
36, 2, triangle, attraction, a-b-da, 5, 3, 1, 13, 195, 120, 190, 117, 120, 195, 3, 1.83735
36, 2, triangle, attraction, a-b-db, 5, 1, 1, 14, 60, 135, 58, 132, 135, 60, 2, 2.83823
36, 2, triangle, attraction, a-b-da, 2, 1, 1, 15, 134, 59, 60, 135, 135, 60, 3, 8.254
36, 2, triangle, attraction, a-b-da, 9, 1, 1, 16, 60, 135, 135, 60, 129, 57, 1, 1.99671
36, 2, triangle, attraction, a-b-db, 5, 3, 1, 17, 120, 195, 117, 190, 195, 120, 1, 8.16854
36, 2, triangle, attraction, a-b-da, 14, 1, 1, 18, 60, 135, 135, 60, 125, 56, 1, 2.28626
36, 2, triangle, filler, NA, 999, 999, 1, 19, 182, 153, 146, 145, 164, 195, 1, 1.67113
36, 2, triangle, filler, NA, 999, 999, 1, 20, 93, 99, 96, 117, 130, 152, 3, 1.46786
36, 2, triangle, attraction, a-b-db, 2, 1, 1, 21, 59, 134, 60, 135, 135, 60, 2, 3.85266
36, 2, triangle, attraction, a-b-da, 14, 2, 1, 22, 153, 83, 90, 165, 165, 90, 3, 2.28415
36, 2, triangle, filler, NA, 999, 999, 1, 23, 186, 154, 63, 134, 96, 69, 1, 1.27555
36, 2, triangle, attraction, a-b-db, 14, 1, 1, 24, 135, 60, 56, 125, 60, 135, 3, 1.69022
36, 2, triangle, attraction, a-b-db, 2, 3, 1, 25, 120, 195, 119, 193, 195, 120, 2, 3.46625
36, 2, triangle, filler, NA, 999, 999, 1, 26, 145, 119, 193, 66, 135, 180, 3, 1.41576
36, 2, triangle, attraction, a-b-da, 14, 3, 1, 27, 181, 111, 120, 195, 195, 120, 2, 2.73688
36, 2, triangle, attraction, a-b-db, 9, 1, 1, 28, 57, 129, 135, 60, 60, 135, 3, 1.33488
36, 2, triangle, filler, NA, 999, 999, 1, 29, 139, 78, 170, 112, 93, 120, 2, 1.43608
36, 2, triangle, filler, NA, 999, 999, 1, 30, 65, 166, 57, 102, 136, 75, 1, 4.77144
36, 2, triangle, attraction, a-b-db, 5, 2, 1, 31, 90, 165, 88, 161, 165, 90, 1, 5.00605
36, 2, triangle, attraction, a-b-da, 2, 2, 1, 32, 165, 90, 90, 165, 163, 89, 2, 7.90475
36, 2, triangle, attraction, a-b-da, 9, 2, 1, 33, 157, 86, 90, 165, 165, 90, 2, 1.42878
36, 2, triangle, attraction, a-b-db, 9, 2, 1, 34, 86, 157, 90, 165, 165, 90, 2, 2.26093
36, 2, triangle, attraction, a-b-db, 2, 3, 2, 1, 120, 195, 119, 193, 195, 120, 3, 6.54081
36, 2, triangle, attraction, a-b-da, 5, 1, 2, 2, 60, 135, 135, 60, 132, 58, 1, 2.45651
36, 2, triangle, attraction, a-b-da, 9, 1, 2, 3, 135, 60, 129, 57, 60, 135, 3, 2.02481
36, 2, triangle, attraction, a-b-db, 5, 1, 2, 4, 60, 135, 58, 132, 135, 60, 1, 2.57004
36, 2, triangle, attraction, a-b-db, 2, 1, 2, 5, 59, 134, 135, 60, 60, 135, 3, 1.91718
36, 2, triangle, filler, NA, 999, 999, 2, 6, 97, 133, 104, 147, 56, 112, 2, 1.77989
36, 2, triangle, attraction, a-b-da, 14, 2, 2, 7, 165, 90, 90, 165, 153, 83, 2, 2.11727
36, 2, triangle, attraction, a-b-db, 14, 1, 2, 8, 56, 125, 135, 60, 60, 135, 3, 1.54882
36, 2, triangle, attraction, a-b-da, 2, 1, 2, 9, 134, 59, 60, 135, 135, 60, 2, 5.2152
